file FFTd=typical_B2_plus_noise.dat
Selected B range, Bmin=6.060 T Bmax=17.950 T
Subtracted Poly order =3
Padding =8
F[T]	Amp
 0.00000000000000E+0000	 0.00000000000000E+0000
 1.11342363798688E+0000	 5.73609709719172E-0004
 2.22684727597377E+0000	 6.76031806808611E-0004
 3.34027091396066E+0000	 8.22442708243535E-0004
 4.45369455194754E+0000	 9.95609923179376E-0004
 5.56711818993443E+0000	 1.18254949982217E-0003
 6.68054182792131E+0000	 1.37189559250881E-0003
 7.79396546590819E+0000	 1.55238154996450E-0003
 8.90738910389508E+0000	 1.71250819884788E-0003
 1.00208127418819E+0001	 1.84084747842767E-0003
 1.11342363798688E+0001	 1.92661870646400E-0003
 1.22476600178557E+0001	 1.96034338096838E-0003
 1.33610836558426E+0001	 1.93447273332953E-0003
 1.44745072938295E+0001	 1.84392577577415E-0003
 1.55879309318163E+0001	 1.68650156284804E-0003
 1.67013545698033E+0001	 1.46315728108797E-0003
 1.78147782077902E+0001	 1.17820998669444E-0003
 1.89282018457770E+0001	 8.39818521739392E-0004
 2.00416254837639E+0001	 4.63693358212243E-0004
 2.11550491217508E+0001	 1.60312113227119E-0004
 2.22684727597377E+0001	 4.63100748241083E-0004
 2.33818963977246E+0001	 9.02728769094479E-0004
 2.44953200357115E+0001	 1.34604485318422E-0003
 2.56087436736984E+0001	 1.77300201526650E-0003
 2.67221673116852E+0001	 2.17061365343828E-0003
 2.78355909496721E+0001	 2.52898477911082E-0003
 2.89490145876590E+0001	 2.84112393128360E-0003
 3.00624382256459E+0001	 3.10311216775682E-0003
 3.11758618636328E+0001	 3.31420438277885E-0003
 3.22892855016197E+0001	 3.47676053592610E-0003
 3.34027091396066E+0001	 3.59596463089012E-0003
 3.45161327775934E+0001	 3.67930584615363E-0003
 3.56295564155803E+0001	 3.73581004328510E-0003
 3.67429800535672E+0001	 3.77503955201929E-0003
 3.78564036915541E+0001	 3.80593622433334E-0003
 3.89698273295410E+0001	 3.83566236760058E-0003
 4.00832509675279E+0001	 3.86866257795953E-0003
 4.11966746055147E+0001	 3.90617207866281E-0003
 4.23100982435016E+0001	 3.94629979640830E-0003
 4.34235218814885E+0001	 3.98464780505351E-0003
 4.45369455194754E+0001	 4.01527861959471E-0003
 4.56503691574623E+0001	 4.03178104276143E-0003
 4.67637927954492E+0001	 4.02822021159544E-0003
 4.78772164334361E+0001	 3.99984097185246E-0003
 4.89906400714229E+0001	 3.94347472896643E-0003
 5.01040637094098E+0001	 3.85765469613153E-0003
 5.12174873473967E+0001	 3.74247459820378E-0003
 5.23309109853836E+0001	 3.59924304001997E-0003
 5.34443346233705E+0001	 3.42999979106024E-0003
 5.45577582613574E+0001	 3.23697468476216E-0003
 5.56711818993442E+0001	 3.02208163460004E-0003
 5.67846055373311E+0001	 2.78654191796663E-0003
 5.78980291753180E+0001	 2.53071447716948E-0003
 5.90114528133049E+0001	 2.25417395139667E-0003
 6.01248764512918E+0001	 1.95602722453811E-0003
 6.12383000892787E+0001	 1.63541624569763E-0003
 6.23517237272656E+0001	 1.29215493236143E-0003
 6.34651473652524E+0001	 9.27607751376896E-0004
 6.45785710032393E+0001	 5.47191968979197E-0004
 6.56919946412262E+0001	 1.91642540343851E-0004
 6.68054182792131E+0001	 3.36556549929407E-0004
 6.79188419172000E+0001	 7.44022359617963E-0004
 6.90322655551869E+0001	 1.16619902866336E-0003
 7.01456891931738E+0001	 1.58418746720311E-0003
 7.12591128311606E+0001	 1.98847686685406E-0003
 7.23725364691475E+0001	 2.37117116470166E-0003
 7.34859601071344E+0001	 2.72535790677007E-0003
 7.45993837451213E+0001	 3.04513797083740E-0003
 7.57128073831082E+0001	 3.32569533311940E-0003
 7.68262310210951E+0001	 3.56329110780384E-0003
 7.79396546590820E+0001	 3.75516132491394E-0003
 7.90530782970688E+0001	 3.89933088078195E-0003
 8.01665019350557E+0001	 3.99437419138953E-0003
 8.12799255730426E+0001	 4.03916420201904E-0003
 8.23933492110295E+0001	 4.03265590695147E-0003
 8.35067728490164E+0001	 3.97374744330594E-0003
 8.46201964870033E+0001	 3.86125092856090E-0003
 8.57336201249901E+0001	 3.69398796467151E-0003
 8.68470437629770E+0001	 3.47100431170780E-0003
 8.79604674009639E+0001	 3.19187881706725E-0003
 8.90738910389508E+0001	 2.85708735503926E-0003
 9.01873146769377E+0001	 2.46837666832369E-0003
 9.13007383149246E+0001	 2.02910992426750E-0003
 9.24141619529115E+0001	 1.54458277013863E-0003
 9.35275855908983E+0001	 1.02250195350084E-0003
 9.46410092288852E+0001	 4.75969603299914E-0004
 9.57544328668721E+0001	 1.60371301058187E-0004
 9.68678565048590E+0001	 7.01989564154642E-0004
 9.79812801428459E+0001	 1.27296707164509E-0003
 9.90947037808328E+0001	 1.82767511397856E-0003
 1.00208127418819E+0002	 2.35089471643720E-0003
 1.01321551056806E+0002	 2.82956082969438E-0003
 1.02434974694793E+0002	 3.25213009450670E-0003
 1.03548398332780E+0002	 3.60887893714799E-0003
 1.04661821970767E+0002	 3.89226360184023E-0003
 1.05775245608754E+0002	 4.09721276297410E-0003
 1.06888669246741E+0002	 4.22132158935916E-0003
 1.08002092884727E+0002	 4.26494562298512E-0003
 1.09115516522714E+0002	 4.23120998674652E-0003
 1.10228940160701E+0002	 4.12596304535121E-0003
 1.11342363798688E+0002	 3.95771505224592E-0003
 1.12455787436675E+0002	 3.73761052817705E-0003
 1.13569211074662E+0002	 3.47948324002728E-0003
 1.14682634712649E+0002	 3.20001831723003E-0003
 1.15796058350636E+0002	 2.91895151888873E-0003
 1.16909481988622E+0002	 2.65897277345226E-0003
 1.18022905626609E+0002	 2.44446970100702E-0003
 1.19136329264596E+0002	 2.29774024724572E-0003
 1.20249752902583E+0002	 2.23226607633782E-0003
 1.21363176540570E+0002	 2.24639934215963E-0003
 1.22476600178557E+0002	 2.32329643544860E-0003
 1.23590023816544E+0002	 2.43783880909202E-0003
 1.24703447454531E+0002	 2.56471921398727E-0003
 1.25816871092518E+0002	 2.68312678934796E-0003
 1.26930294730504E+0002	 2.77805565727485E-0003
 1.28043718368492E+0002	 2.83995821339630E-0003
 1.29157142006479E+0002	 2.86393589235006E-0003
 1.30270565644466E+0002	 2.84893032889168E-0003
 1.31383989282452E+0002	 2.79701155140584E-0003
 1.32497412920439E+0002	 2.71274217701109E-0003
 1.33610836558426E+0002	 2.60257865107746E-0003
 1.34724260196413E+0002	 2.47428108892201E-0003
 1.35837683834400E+0002	 2.33631826235174E-0003
 1.36951107472387E+0002	 2.19726903163429E-0003
 1.38064531110374E+0002	 2.06523753619535E-0003
 1.39177954748361E+0002	 1.94731765469215E-0003
 1.40291378386348E+0002	 1.84915720668313E-0003
 1.41404802024334E+0002	 1.77466915455395E-0003
 1.42518225662321E+0002	 1.72590001138487E-0003
 1.43631649300308E+0002	 1.70300351165668E-0003
 1.44745072938295E+0002	 1.70422925792679E-0003
 1.45858496576282E+0002	 1.72587366425263E-0003
 1.46971920214269E+0002	 1.76223921750051E-0003
 1.48085343852256E+0002	 1.80572200119707E-0003
 1.49198767490243E+0002	 1.84713156780710E-0003
 1.50312191128229E+0002	 1.87626525417898E-0003
 1.51425614766216E+0002	 1.88268052681843E-0003
 1.52539038404203E+0002	 1.85657330305284E-0003
 1.53652462042190E+0002	 1.78967133067986E-0003
 1.54765885680177E+0002	 1.67606991823591E-0003
 1.55879309318164E+0002	 1.51296585819772E-0003
 1.56992732956151E+0002	 1.30130386782550E-0003
 1.58106156594138E+0002	 1.04653262717055E-0003
 1.59219580232125E+0002	 7.60479940244152E-0004
 1.60333003870111E+0002	 4.70683925072639E-0004
 1.61446427508098E+0002	 2.86880411372432E-0004
 1.62559851146085E+0002	 4.27829167531163E-0004
 1.63673274784072E+0002	 7.10041303332747E-0004
 1.64786698422059E+0002	 9.92845217004962E-0004
 1.65900122060046E+0002	 1.24023986311073E-0003
 1.67013545698033E+0002	 1.43521247993077E-0003
 1.68126969336020E+0002	 1.56766791094216E-0003
 1.69240392974007E+0002	 1.63282363336598E-0003
 1.70353816611993E+0002	 1.63128960804724E-0003
 1.71467240249980E+0002	 1.56960774803090E-0003
 1.72580663887967E+0002	 1.46120629261996E-0003
 1.73694087525954E+0002	 1.32801438242893E-0003
 1.74807511163941E+0002	 1.20243475524618E-0003
 1.75920934801928E+0002	 1.12606416932423E-0003
 1.77034358439915E+0002	 1.13587665500963E-0003
 1.78147782077902E+0002	 1.23977681672551E-0003
 1.79261205715888E+0002	 1.41280234095832E-0003
 1.80374629353875E+0002	 1.61961449399648E-0003
 1.81488052991862E+0002	 1.83145115283559E-0003
 1.82601476629849E+0002	 2.02944284880365E-0003
 1.83714900267836E+0002	 2.20307700051383E-0003
 1.84828323905823E+0002	 2.34845066228165E-0003
 1.85941747543810E+0002	 2.46703091282731E-0003
 1.87055171181797E+0002	 2.56463611606415E-0003
 1.88168594819784E+0002	 2.65025511626675E-0003
 1.89282018457770E+0002	 2.73440843466583E-0003
 1.90395442095757E+0002	 2.82697043534748E-0003
 1.91508865733744E+0002	 2.93474109358217E-0003
 1.92622289371731E+0002	 3.05942392469451E-0003
 1.93735713009718E+0002	 3.19670590053309E-0003
 1.94849136647705E+0002	 3.33670745098762E-0003
 1.95962560285692E+0002	 3.46549092122084E-0003
 1.97075983923679E+0002	 3.56702854440070E-0003
 1.98189407561666E+0002	 3.62512880419747E-0003
 1.99302831199652E+0002	 3.62507439670523E-0003
 2.00416254837639E+0002	 3.55492252083419E-0003
 2.01529678475626E+0002	 3.40650850910015E-0003
 2.02643102113613E+0002	 3.17622406122222E-0003
 2.03756525751600E+0002	 2.86567805785097E-0003
 2.04869949389587E+0002	 2.48247675872325E-0003
 2.05983373027574E+0002	 2.04180689758694E-0003
 2.07096796665561E+0002	 1.57116996911006E-0003
 2.08210220303547E+0002	 1.12735251749462E-0003
 2.09323643941534E+0002	 8.50102910828109E-0004
 2.10437067579521E+0002	 9.39083941130351E-0004
 2.11550491217508E+0002	 1.30614505435044E-0003
 2.12663914855495E+0002	 1.74829850420009E-0003
 2.13777338493482E+0002	 2.17247160978198E-0003
 2.14890762131469E+0002	 2.53763245861614E-0003
 2.16004185769456E+0002	 2.82120829674740E-0003
 2.17117609407443E+0002	 3.00998645645186E-0003
 2.18231033045429E+0002	 3.09755697319866E-0003
 2.19344456683416E+0002	 3.08346961895563E-0003
 2.20457880321403E+0002	 2.97283145053627E-0003
 2.21571303959390E+0002	 2.77600892292959E-0003
 2.22684727597377E+0002	 2.50844193169509E-0003
 2.23798151235364E+0002	 2.19083237695373E-0003
 2.24911574873351E+0002	 1.85034286661123E-0003
 2.26024998511338E+0002	 1.52395325025814E-0003
 2.27138422149325E+0002	 1.26418078423234E-0003
 2.28251845787311E+0002	 1.13615233135296E-0003
 2.29365269425298E+0002	 1.17568125797825E-0003
 2.30478693063285E+0002	 1.34475424820072E-0003
 2.31592116701272E+0002	 1.57358624599525E-0003
 2.32705540339259E+0002	 1.81099613641461E-0003
 2.33818963977246E+0002	 2.02804873946359E-0003
 2.34932387615233E+0002	 2.20862292115090E-0003
 2.36045811253220E+0002	 2.34278839928724E-0003
 2.37159234891206E+0002	 2.42328350640416E-0003
 2.38272658529193E+0002	 2.44378928661309E-0003
 2.39386082167180E+0002	 2.39828466065843E-0003
 2.40499505805167E+0002	 2.28111952252438E-0003
 2.41612929443154E+0002	 2.08755581455501E-0003
 2.42726353081141E+0002	 1.81455445004662E-0003
 2.43839776719128E+0002	 1.46160701462800E-0003
 2.44953200357115E+0002	 1.03145595736370E-0003
 2.46066623995102E+0002	 5.30702862162688E-0004
 2.47180047633088E+0002	 4.48470853929096E-0005
 2.48293471271075E+0002	 6.41845178735225E-0004
 2.49406894909062E+0002	 1.28054704952374E-0003
 2.50520318547049E+0002	 1.93057421571790E-0003
 2.51633742185036E+0002	 2.57138982692103E-0003
 2.52747165823023E+0002	 3.18244569466474E-0003
 2.53860589461010E+0002	 3.74418685414301E-0003
 2.54974013098997E+0002	 4.23908901179660E-0003
 2.56087436736984E+0002	 4.65255904705996E-0003
 2.57200860374970E+0002	 4.97362344943729E-0003
 2.58314284012957E+0002	 5.19535792507743E-0003
 2.59427707650944E+0002	 5.31503593747309E-0003
 2.60541131288931E+0002	 5.33399837812618E-0003
 2.61654554926918E+0002	 5.25726980026072E-0003
 2.62767978564905E+0002	 5.09296701039700E-0003
