file FFTd=typical_B2_plus_noise.dat
Selected B range, Bmin=6.060 T Bmax=17.950 T
Subtracted Poly order =3
Padding =8
F[T]	Amp
 0.00000000000000E+0000	 0.00000000000000E+0000
 1.11342363798688E+0000	 1.35640328127393E-0002
 2.22684727597377E+0000	 2.25375018241029E-0002
 3.34027091396066E+0000	 3.17871869218649E-0002
 4.45369455194754E+0000	 4.04907376334251E-0002
 5.56711818993443E+0000	 4.82747424253468E-0002
 6.68054182792131E+0000	 5.48891451449609E-0002
 7.79396546590819E+0000	 6.01504626117534E-0002
 8.90738910389508E+0000	 6.39304698963021E-0002
 1.00208127418819E+0001	 6.61551789273239E-0002
 1.11342363798688E+0001	 6.68058675578505E-0002
 1.22476600178557E+0001	 6.59194944793354E-0002
 1.33610836558426E+0001	 6.35873839332807E-0002
 1.44745072938295E+0001	 5.99516565379356E-0002
 1.55879309318163E+0001	 5.51992192167754E-0002
 1.67013545698033E+0001	 4.95533918745654E-0002
 1.78147782077902E+0001	 4.32634876599041E-0002
 1.89282018457770E+0001	 3.65928840676438E-0002
 2.00416254837639E+0001	 2.98063260600005E-0002
 2.11550491217508E+0001	 2.31574232329398E-0002
 2.22684727597377E+0001	 1.68777246222476E-0002
 2.33818963977246E+0001	 1.11704011083890E-0002
 2.44953200357115E+0001	 6.22247524905198E-0003
 2.56087436736984E+0001	 2.39834665778466E-0003
 2.67221673116852E+0001	 2.29161720002498E-0003
 2.78355909496721E+0001	 4.45456867502407E-0003
 2.89490145876590E+0001	 6.08602439742623E-0003
 3.00624382256459E+0001	 7.04032138643794E-0003
 3.11758618636328E+0001	 7.39229848927492E-0003
 3.22892855016197E+0001	 7.25805200112522E-0003
 3.34027091396066E+0001	 6.76526940883919E-0003
 3.45161327775934E+0001	 6.03873620424699E-0003
 3.56295564155803E+0001	 5.19088393023598E-0003
 3.67429800535672E+0001	 4.31742424035945E-0003
 3.78564036915541E+0001	 3.50043918098635E-0003
 3.89698273295410E+0001	 2.82171581528494E-0003
 4.00832509675279E+0001	 2.38045295634529E-0003
 4.11966746055147E+0001	 2.27137728953995E-0003
 4.23100982435016E+0001	 2.48754059393290E-0003
 4.34235218814885E+0001	 2.90443368931049E-0003
 4.45369455194754E+0001	 3.38803841076649E-0003
 4.56503691574623E+0001	 3.84439360610758E-0003
 4.67637927954492E+0001	 4.21219260370675E-0003
 4.78772164334361E+0001	 4.45261286332398E-0003
 4.89906400714229E+0001	 4.54542604604195E-0003
 5.01040637094098E+0001	 4.48795393350918E-0003
 5.12174873473967E+0001	 4.29424903583708E-0003
 5.23309109853836E+0001	 3.99333198509038E-0003
 5.34443346233705E+0001	 3.62595445923206E-0003
 5.45577582613574E+0001	 3.23933609033554E-0003
 5.56711818993442E+0001	 2.87896934664787E-0003
 5.67846055373311E+0001	 2.57707409690564E-0003
 5.78980291753180E+0001	 2.34089540393552E-0003
 5.90114528133049E+0001	 2.14938028744893E-0003
 6.01248764512918E+0001	 1.96385200262855E-0003
 6.12383000892787E+0001	 1.74552420841280E-0003
 6.23517237272656E+0001	 1.46813257512462E-0003
 6.34651473652524E+0001	 1.12238084950039E-0003
 6.45785710032393E+0001	 7.17260764927304E-0004
 6.56919946412262E+0001	 3.08397872317583E-0004
 6.68054182792131E+0001	 3.75407309935110E-0004
 6.79188419172000E+0001	 8.45203651992360E-0004
 6.90322655551869E+0001	 1.33661037618681E-0003
 7.01456891931738E+0001	 1.80244724694143E-0003
 7.12591128311606E+0001	 2.22340605402066E-0003
 7.23725364691475E+0001	 2.58887577566211E-0003
 7.34859601071344E+0001	 2.89499661616467E-0003
 7.45993837451213E+0001	 3.14378748693409E-0003
 7.57128073831082E+0001	 3.34191732877597E-0003
 7.68262310210951E+0001	 3.49889748584366E-0003
 7.79396546590820E+0001	 3.62476935365584E-0003
 7.90530782970688E+0001	 3.72760504732651E-0003
 8.01665019350557E+0001	 3.81136149046700E-0003
 8.12799255730426E+0001	 3.87468253313377E-0003
 8.23933492110295E+0001	 3.91100987126939E-0003
 8.35067728490164E+0001	 3.90992563051183E-0003
 8.46201964870033E+0001	 3.85926491176494E-0003
 8.57336201249901E+0001	 3.74740419710933E-0003
 8.68470437629770E+0001	 3.56524025709412E-0003
 8.79604674009639E+0001	 3.30758202829972E-0003
 8.90738910389508E+0001	 2.97386427786748E-0003
 9.01873146769377E+0001	 2.56821702941864E-0003
 9.13007383149246E+0001	 2.09900321307764E-0003
 9.24141619529115E+0001	 1.57800737689648E-0003
 9.35275855908983E+0001	 1.01965873966503E-0003
 9.46410092288852E+0001	 4.42963711497223E-0004
 9.57544328668721E+0001	 1.93699704009139E-0004
 9.68678565048590E+0001	 7.58012106563640E-0004
 9.79812801428459E+0001	 1.32565508922160E-0003
 9.90947037808328E+0001	 1.86710108137621E-0003
 1.00208127418819E+0002	 2.37151438168950E-0003
 1.01321551056806E+0002	 2.83020464670103E-0003
 1.02434974694793E+0002	 3.23551324561393E-0003
 1.03548398332780E+0002	 3.58049958192184E-0003
 1.04661821970767E+0002	 3.85894900925313E-0003
 1.05775245608754E+0002	 4.06564319475678E-0003
 1.06888669246741E+0002	 4.19682807754172E-0003
 1.08002092884727E+0002	 4.25078108625811E-0003
 1.09115516522714E+0002	 4.22836766718975E-0003
 1.10228940160701E+0002	 4.13349354500783E-0003
 1.11342363798688E+0002	 3.97339664678626E-0003
 1.12455787436675E+0002	 3.75876921990160E-0003
 1.13569211074662E+0002	 3.50374078711191E-0003
 1.14682634712649E+0002	 3.22576211686322E-0003
 1.15796058350636E+0002	 2.94536322793789E-0003
 1.16909481988622E+0002	 2.68553471490309E-0003
 1.18022905626609E+0002	 2.47005161536149E-0003
 1.19136329264596E+0002	 2.31973928779021E-0003
 1.20249752902583E+0002	 2.24663752438131E-0003
 1.21363176540570E+0002	 2.24901074376236E-0003
 1.22476600178557E+0002	 2.31174563974022E-0003
 1.23590023816544E+0002	 2.41243049535131E-0003
 1.24703447454531E+0002	 2.52831632572558E-0003
 1.25816871092518E+0002	 2.64038543372356E-0003
 1.26930294730504E+0002	 2.73449020991559E-0003
 1.28043718368492E+0002	 2.80103319893824E-0003
 1.29157142006479E+0002	 2.83427430704662E-0003
 1.30270565644466E+0002	 2.83170798172635E-0003
 1.31383989282452E+0002	 2.79359570677705E-0003
 1.32497412920439E+0002	 2.72260742998873E-0003
 1.33610836558426E+0002	 2.62349671596572E-0003
 1.34724260196413E+0002	 2.50274253068611E-0003
 1.35837683834400E+0002	 2.36811050026745E-0003
 1.36951107472387E+0002	 2.22811155294020E-0003
 1.38064531110374E+0002	 2.09136664318624E-0003
 1.39177954748361E+0002	 1.96592444925131E-0003
 1.40291378386348E+0002	 1.85861941703327E-0003
 1.41404802024334E+0002	 1.77457854966680E-0003
 1.42518225662321E+0002	 1.71695105338733E-0003
 1.43631649300308E+0002	 1.68683249781978E-0003
 1.44745072938295E+0002	 1.68324751356972E-0003
 1.45858496576282E+0002	 1.70305847289917E-0003
 1.46971920214269E+0002	 1.74081599882536E-0003
 1.48085343852256E+0002	 1.78872963393610E-0003
 1.49198767490243E+0002	 1.83695310885817E-0003
 1.50312191128229E+0002	 1.87424673734122E-0003
 1.51425614766216E+0002	 1.88893109609111E-0003
 1.52539038404203E+0002	 1.86997829721545E-0003
 1.53652462042190E+0002	 1.80809576026573E-0003
 1.54765885680177E+0002	 1.69669729229487E-0003
 1.55879309318164E+0002	 1.53270291223073E-0003
 1.56992732956151E+0002	 1.31717686540812E-0003
 1.58106156594138E+0002	 1.05599503913960E-0003
 1.59219580232125E+0002	 7.61526130116537E-0004
 1.60333003870111E+0002	 4.61732010058814E-0004
 1.61446427508098E+0002	 2.72705453604450E-0004
 1.62559851146085E+0002	 4.29332649312993E-0004
 1.63673274784072E+0002	 7.20429146456121E-0004
 1.64786698422059E+0002	 1.00634072733801E-0003
 1.65900122060046E+0002	 1.25325873572777E-0003
 1.67013545698033E+0002	 1.44508042904796E-0003
 1.68126969336020E+0002	 1.57249568786824E-0003
 1.69240392974007E+0002	 1.63159200362895E-0003
 1.70353816611993E+0002	 1.62393599845937E-0003
 1.71467240249980E+0002	 1.55707175484738E-0003
 1.72580663887967E+0002	 1.44543949305912E-0003
 1.73694087525954E+0002	 1.31194915824727E-0003
 1.74807511163941E+0002	 1.18974441645454E-0003
 1.75920934801928E+0002	 1.12011423215691E-0003
 1.77034358439915E+0002	 1.13752204716218E-0003
 1.78147782077902E+0002	 1.24636830050619E-0003
 1.79261205715888E+0002	 1.42038190458498E-0003
 1.80374629353875E+0002	 1.62519688798910E-0003
 1.81488052991862E+0002	 1.83357063219428E-0003
 1.82601476629849E+0002	 2.02791475389005E-0003
 1.83714900267836E+0002	 2.19866772007399E-0003
 1.84828323905823E+0002	 2.34257626967172E-0003
 1.85941747543810E+0002	 2.46145048896588E-0003
 1.87055171181797E+0002	 2.56110545346392E-0003
 1.88168594819784E+0002	 2.65014304141890E-0003
 1.89282018457770E+0002	 2.73833247940320E-0003
 1.90395442095757E+0002	 2.83456352885475E-0003
 1.91508865733744E+0002	 2.94467064753768E-0003
 1.92622289371731E+0002	 3.06970604891545E-0003
 1.93735713009718E+0002	 3.20521949773529E-0003
 1.94849136647705E+0002	 3.34171975507733E-0003
 1.95962560285692E+0002	 3.46602740441705E-0003
 1.97075983923679E+0002	 3.56301692294968E-0003
 1.98189407561666E+0002	 3.61733602599164E-0003
 1.99302831199652E+0002	 3.61489782010001E-0003
 2.00416254837639E+0002	 3.54410200671147E-0003
 2.01529678475626E+0002	 3.39681659065292E-0003
 2.02643102113613E+0002	 3.16917892931485E-0003
 2.03756525751600E+0002	 2.86231115462678E-0003
 2.04869949389587E+0002	 2.48317041471609E-0003
 2.05983373027574E+0002	 2.04618864947899E-0003
 2.07096796665561E+0002	 1.57797515306852E-0003
 2.08210220303547E+0002	 1.13392630448467E-0003
 2.09323643941534E+0002	 8.51392630104815E-0004
 2.10437067579521E+0002	 9.33267106854192E-0004
 2.11550491217508E+0002	 1.29889964556155E-0003
 2.12663914855495E+0002	 1.74309399264546E-0003
 2.13777338493482E+0002	 2.17058306575916E-0003
 2.14890762131469E+0002	 2.53931249326888E-0003
 2.16004185769456E+0002	 2.82605044128385E-0003
 2.17117609407443E+0002	 3.01711047112963E-0003
 2.18231033045429E+0002	 3.10578373654475E-0003
 2.19344456683416E+0002	 3.09150830992372E-0003
 2.20457880321403E+0002	 2.97946696642164E-0003
 2.21571303959390E+0002	 2.78027061714589E-0003
 2.22684727597377E+0002	 2.50973847801945E-0003
 2.23798151235364E+0002	 2.18904894941230E-0003
 2.24911574873351E+0002	 1.84591788767493E-0003
 2.26024998511338E+0002	 1.51798064772504E-0003
 2.27138422149325E+0002	 1.25853308157746E-0003
 2.28251845787311E+0002	 1.13307990925950E-0003
 2.29365269425298E+0002	 1.17602233662696E-0003
 2.30478693063285E+0002	 1.34722020408446E-0003
 2.31592116701272E+0002	 1.57648625355777E-0003
 2.32705540339259E+0002	 1.81323617593159E-0003
 2.33818963977246E+0002	 2.02913955661591E-0003
 2.34932387615233E+0002	 2.20849518535771E-0003
 2.36045811253220E+0002	 2.34162428320900E-0003
 2.37159234891206E+0002	 2.42138130773007E-0003
 2.38272658529193E+0002	 2.44146343580925E-0003
 2.39386082167180E+0002	 2.39580494754268E-0003
 2.40499505805167E+0002	 2.27868847917550E-0003
 2.41612929443154E+0002	 2.08531582285463E-0003
 2.42726353081141E+0002	 1.81261136929214E-0003
 2.43839776719128E+0002	 1.46005761015941E-0003
 2.44953200357115E+0002	 1.03041488189085E-0003
 2.46066623995102E+0002	 5.30377337363993E-0004
 2.47180047633088E+0002	 4.89256866576791E-0005
 2.48293471271075E+0002	 6.41539280520504E-0004
 2.49406894909062E+0002	 1.27943475185473E-0003
 2.50520318547049E+0002	 1.92883036617311E-0003
 2.51633742185036E+0002	 2.56919389400675E-0003
 2.52747165823023E+0002	 3.18003089001450E-0003
 2.53860589461010E+0002	 3.74182812596483E-0003
 2.54974013098997E+0002	 4.23707280612824E-0003
 2.56087436736984E+0002	 4.65114529055548E-0003
 2.57200860374970E+0002	 4.97300743496099E-0003
 2.58314284012957E+0002	 5.19563906294434E-0003
 2.59427707650944E+0002	 5.31619905812907E-0003
 2.60541131288931E+0002	 5.33591118947668E-0003
 2.61654554926918E+0002	 5.25969745847723E-0003
 2.62767978564905E+0002	 5.09560196370164E-0003
 2.63881402202892E+0002	 4.85406453890402E-0003
 2.64994825840879E+0002	 4.54711465884377E-0003
 2.66108249478866E+0002	 4.18756194731288E-0003
 2.67221673116852E+0002	 3.78826082110864E-0003
 2.68335096754839E+0002	 3.36152614602917E-0003
 2.69448520392826E+0002	 2.91878144645717E-0003
 2.70561944030813E+0002	 2.47054994866149E-0003
 2.71675367668800E+0002	 2.02700579258517E-0003
 2.72788791306787E+0002	 1.59966380818439E-0003
 2.73902214944774E+0002	 1.20600391416662E-0003
 2.75015638582761E+0002	 8.82438396091656E-0004
 2.76129062220747E+0002	 7.09457218937381E-0004
 2.77242485858734E+0002	 7.68949476402947E-0004
 2.78355909496721E+0002	 9.98918364735310E-0004
 2.79469333134708E+0002	 1.29240405569199E-0003
 2.80582756772695E+0002	 1.59602812337022E-0003
 2.81696180410682E+0002	 1.88641220581044E-0003
 2.82809604048669E+0002	 2.15083716598119E-0003
 2.83923027686656E+0002	 2.38065591230042E-0003
 2.85036451324643E+0002	 2.56925489167053E-0003
 2.86149874962629E+0002	 2.71152221067025E-0003
 2.87263298600616E+0002	 2.80383739496741E-0003
 2.88376722238603E+0002	 2.84421908619389E-0003
 2.89490145876590E+0002	 2.83247191806964E-0003
 2.90603569514577E+0002	 2.77025577005915E-0003
 2.91716993152564E+0002	 2.66104320610947E-0003
 2.92830416790551E+0002	 2.50995903600299E-0003
 2.93943840428538E+0002	 2.32351663938432E-0003
 2.95057264066525E+0002	 2.10928031018360E-0003
 2.96170687704511E+0002	 1.87549122558519E-0003
 2.97284111342498E+0002	 1.63069695890355E-0003
 2.98397534980485E+0002	 1.38342305618910E-0003
 2.99510958618472E+0002	 1.14192725661667E-0003
 3.00624382256459E+0002	 9.14101481170104E-0004
 3.01737805894446E+0002	 7.07683740951947E-0004
 3.02851229532433E+0002	 5.31228709148397E-0004
 3.03964653170420E+0002	 3.96782860045394E-0004
 3.05078076808406E+0002	 3.23318368113547E-0004
 3.06191500446393E+0002	 3.26590367278346E-0004
 3.07304924084380E+0002	 3.94998847024035E-0004
 3.08418347722367E+0002	 5.06237428313375E-0004
 3.09531771360354E+0002	 6.50310658721758E-0004
 3.10645194998341E+0002	 8.25412879460036E-0004
 3.11758618636328E+0002	 1.03084124176221E-0003
 3.12872042274315E+0002	 1.26407649983102E-0003
 3.13985465912302E+0002	 1.52027753067437E-0003
 3.15098889550288E+0002	 1.79270617657258E-0003
 3.16212313188275E+0002	 2.07342366500159E-0003
 3.17325736826262E+0002	 2.35402901452723E-0003
 3.18439160464249E+0002	 2.62637550233552E-0003
 3.19552584102236E+0002	 2.88324785498099E-0003
 3.20666007740223E+0002	 3.11898737934165E-0003
 3.21779431378210E+0002	 3.33004401754043E-0003
 3.22892855016197E+0002	 3.51542028889383E-0003
 3.24006278654184E+0002	 3.67695221050108E-0003
 3.25119702292170E+0002	 3.81934768034102E-0003
 3.26233125930157E+0002	 3.94988218129003E-0003
 3.27346549568144E+0002	 4.07765667112041E-0003
 3.28459973206131E+0002	 4.21238539418979E-0003
 3.29573396844118E+0002	 4.36282264549989E-0003
 3.30686820482105E+0002	 4.53512403790428E-0003
 3.31800244120092E+0002	 4.73156196423384E-0003
 3.32913667758079E+0002	 4.94995797051580E-0003
 3.34027091396065E+0002	 5.18395056287265E-0003
 3.35140515034052E+0002	 5.42392939259990E-0003
 3.36253938672039E+0002	 5.65830420226227E-0003
