Data recorded as Sample1: B00KOD1A_MR_AB_
Osc Amp:  1.10000000000000E+0000	Osc Freq:  3.36600000000000E+0001	Phase:  0.00000000000000E+0000	Time Constant: 9	Conductance Ratio:  1.00000000000000E-0003	Current:  1.10000000000000E-0003
Time(s)	HeLevel(mm)	VTIRes(Ohms)	VTITemp(K)	ProbeRes(Ohms)	ProbeTemp(K)	X(V)	Y(V)	Resistance(Ohms)	Field(T)	Angle(°)
 2.68545303942261E-0001	 5.58512500000000E+0002	 3.18290000000000E+0002	 1.80940000000000E+0001	 4.95558000000000E+0002	 2.49970000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.12900000000000E-0002	-4.29000000000000E+0001
 1.95914089639884E+0000	 5.58459375000000E+0002	 3.18296000000000E+0002	 1.80960000000000E+0001	 4.95466000000000E+0002	 2.50040000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 5.08100000000000E-0002	-4.29000000000000E+0001
 3.63504244254507E+0000	 5.58459375000000E+0002	 3.18275000000000E+0002	 1.80960000000000E+0001	 4.95424000000000E+0002	 2.50050000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 9.03300000000000E-0002	-4.29000000000000E+0001
 5.30802350578076E+0000	 5.58353125000000E+0002	 3.18180000000000E+0002	 1.81040000000000E+0001	 4.95373000000000E+0002	 2.50080000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 1.29480000000000E-0001	-4.29000000000000E+0001
 6.98103110870236E+0000	 5.58565625000000E+0002	 3.18222000000000E+0002	 1.81000000000000E+0001	 4.95448000000000E+0002	 2.50030000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 1.69000000000000E-0001	-4.29000000000000E+0001
 8.65693880088112E+0000	 5.58406250000000E+0002	 3.18234000000000E+0002	 1.80990000000000E+0001	 4.95479000000000E+0002	 2.50020000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.08520000000000E-0001	-4.29000000000000E+0001
 1.03357848553377E+0001	 5.58725000000000E+0002	 3.18390000000000E+0002	 1.80860000000000E+0001	 4.95668000000000E+0002	 2.49910000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.48040000000000E-0001	-4.29000000000000E+0001
 1.20077945660691E+0001	 5.58565625000000E+0002	 3.18366000000000E+0002	 1.80860000000000E+0001	 4.95771000000000E+0002	 2.49860000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 2.87180000000000E-0001	-4.29000000000000E+0001
 1.36818103976902E+0001	 5.58406250000000E+0002	 3.18354000000000E+0002	 1.80890000000000E+0001	 4.95648000000000E+0002	 2.49920000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 3.26700000000000E-0001	-4.29000000000000E+0001
 1.53596253155079E+0001	 5.58618750000000E+0002	 3.18284000000000E+0002	 1.80950000000000E+0001	 4.95379000000000E+0002	 2.50080000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 3.66230000000000E-0001	-4.29000000000000E+0001
 1.70287151020591E+0001	 5.58618750000000E+0002	 3.18233000000000E+0002	 1.80990000000000E+0001	 4.95500000000000E+0002	 2.50000000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 4.05370000000000E-0001	-4.29000000000000E+0001
 1.87095181091452E+0001	 5.58353125000000E+0002	 3.18270000000000E+0002	 1.80960000000000E+0001	 4.95386000000000E+0002	 2.50070000000000E+0001	 6.48311000000000E-0003	-3.62399000000000E-0005	 5.89373636363636E+0000	 4.44890000000000E-0001	-4.29000000000000E+0001
 2.03805424991165E+0001	 5.58512500000000E+0002	 3.18267000000000E+0002	 1.80960000000000E+0001	 4.95381000000000E+0002	 2.50080000000000E+0001	 6.48311000000000E-0003	-3.62399000000000E-0005	 5.89373636363636E+0000	 4.84410000000000E-0001	-4.29000000000000E+0001
 2.20613513728700E+0001	 5.58671875000000E+0002	 3.18248000000000E+0002	 1.80970000000000E+0001	 4.95522000000000E+0002	 2.49990000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 5.23560000000000E-0001	-4.29000000000000E+0001
 2.37431248943651E+0001	 5.58512500000000E+0002	 3.18380000000000E+0002	 1.80870000000000E+0001	 4.95486000000000E+0002	 2.50020000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 5.63080000000000E-0001	-4.29000000000000E+0001
 2.54083069216898E+0001	 5.58565625000000E+0002	 3.18277000000000E+0002	 1.80950000000000E+0001	 4.95664000000000E+0002	 2.49910000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 6.02600000000000E-0001	-4.29000000000000E+0001
 2.70871549317022E+0001	 5.58459375000000E+0002	 3.18238000000000E+0002	 1.81000000000000E+0001	 4.95622000000000E+0002	 2.49930000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 6.41740000000000E-0001	-4.29000000000000E+0001
 2.87552593974933E+0001	 5.58671875000000E+0002	 3.18381000000000E+0002	 1.80870000000000E+0001	 4.95626000000000E+0002	 2.49930000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 6.81260000000000E-0001	-4.29000000000000E+0001
 3.04243421999165E+0001	 5.58512500000000E+0002	 3.18354000000000E+0002	 1.80890000000000E+0001	 4.95714000000000E+0002	 2.49880000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 7.20410000000000E-0001	-4.29000000000000E+0001
 3.21031851813568E+0001	 5.58671875000000E+0002	 3.18352000000000E+0002	 1.80890000000000E+0001	 4.95553000000000E+0002	 2.49970000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 7.59930000000000E-0001	-4.29000000000000E+0001
 3.37761726699902E+0001	 5.58512500000000E+0002	 3.18545000000000E+0002	 1.80730000000000E+0001	 4.95262000000000E+0002	 2.50150000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 7.99450000000000E-0001	-4.29000000000000E+0001
 3.54530726670568E+0001	 5.58459375000000E+0002	 3.18415000000000E+0002	 1.80840000000000E+0001	 4.95420000000000E+0002	 2.50050000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 8.38590000000000E-0001	-4.29000000000000E+0001
 3.71280087273662E+0001	 5.71806451612903E+0002	 3.18568000000000E+0002	 1.80690000000000E+0001	 4.95456000000000E+0002	 2.50030000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 8.78110000000000E-0001	-4.29000000000000E+0001
 3.88010004064762E+0001	 5.71854838709677E+0002	 3.18443000000000E+0002	 1.80810000000000E+0001	 4.95668000000000E+0002	 2.49910000000000E+0001	 6.48120000000000E-0003	-3.62399000000000E-0005	 5.89200000000000E+0000	 9.17630000000000E-0001	-4.29000000000000E+0001
 4.04798478577585E+0001	 5.71806451612903E+0002	 3.18377000000000E+0002	 1.80870000000000E+0001	 4.95758000000000E+0002	 2.49860000000000E+0001	 6.48120000000000E-0003	-3.81472000000000E-0005	 5.89200000000000E+0000	 9.57160000000000E-0001	-4.29000000000000E+0001
