Field	T\dRuOx\n	T\dCernox\n	T\dRuOx\n Corrected	T\dCernox\n Corrected
1.802250000000000100e+01	1.441100000000000000e+00	1.828700000000000000e+00	1.603034973144531300e+00	1.889971733093261700e+00
1.802250000000000100e+01	1.440900000000000100e+00	1.828600000000000000e+00	1.602952599525451700e+00	1.889976024627685500e+00
1.802250000000000100e+01	1.442700000000000100e+00	1.828900000000000000e+00	1.603595614433288600e+00	1.890154838562011700e+00
1.802250000000000100e+01	1.441000000000000100e+00	1.828900000000000000e+00	1.602946519851684600e+00	1.890154838562011700e+00
1.802250000000000100e+01	1.439600000000000000e+00	1.828800000000000000e+00	1.602448344230651900e+00	1.890132427215576200e+00
1.802250000000000100e+01	1.441500000000000000e+00	1.828700000000000000e+00	1.603133797645568800e+00	1.889971733093261700e+00
1.802250000000000100e+01	1.439500000000000000e+00	1.828700000000000000e+00	1.602413892745971700e+00	1.889971733093261700e+00
1.802250000000000100e+01	1.440700000000000100e+00	1.828600000000000000e+00	1.602855205535888700e+00	1.889976024627685500e+00
1.802250000000000100e+01	1.439500000000000000e+00	1.828500000000000000e+00	1.602413892745971700e+00	1.889590263366699200e+00
1.802250000000000100e+01	1.440499999999999900e+00	1.828300000000000000e+00	1.602783203125000000e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.440399999999999900e+00	1.828400000000000000e+00	1.602746367454528800e+00	1.889549255371093700e+00
1.802250000000000100e+01	1.440600000000000100e+00	1.828300000000000000e+00	1.602810025215148900e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.442299999999999900e+00	1.828300000000000000e+00	1.603395700454711900e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.439800000000000000e+00	1.828400000000000000e+00	1.602523684501647900e+00	1.889549255371093700e+00
1.802250000000000100e+01	1.442600000000000100e+00	1.828300000000000000e+00	1.603541970252990700e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.439100000000000000e+00	1.828200000000000000e+00	1.602285623550415000e+00	1.889049053192138700e+00
1.802250000000000100e+01	1.441400000000000000e+00	1.828300000000000000e+00	1.603104352951049800e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.441300000000000000e+00	1.828300000000000000e+00	1.603067159652710000e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.439999999999999900e+00	1.828300000000000000e+00	1.602633595466613800e+00	1.889401435852050800e+00
1.802250000000000100e+01	1.441800000000000000e+00	1.828400000000000000e+00	1.603258728981018100e+00	1.889549255371093700e+00
1.802250000000000100e+01	1.437500000000000000e+00	1.828500000000000000e+00	1.601677775382995600e+00	1.889590263366699200e+00
1.801950000000000100e+01	1.442600000000000100e+00	1.828600000000000000e+00	1.603563547134399400e+00	1.890102386474609400e+00
1.801579999999999900e+01	1.441700000000000000e+00	1.828600000000000000e+00	1.603305935859680200e+00	1.890184879302978500e+00
1.801210000000000000e+01	1.440099999999999900e+00	1.828500000000000000e+00	1.602784872055053700e+00	1.890013694763183600e+00
1.800850000000000200e+01	1.440199999999999900e+00	1.828600000000000000e+00	1.602938771247863800e+00	1.890415668487548800e+00
1.800489999999999900e+01	1.440299999999999900e+00	1.828600000000000000e+00	1.602975130081176800e+00	1.890493392944335900e+00
1.800120000000000100e+01	1.440900000000000100e+00	1.828600000000000000e+00	1.603263258934021000e+00	1.890877723693847700e+00
1.799749999999999900e+01	1.441800000000000000e+00	1.828700000000000000e+00	1.603637695312500000e+00	1.890928745269775400e+00
1.799390000000000000e+01	1.439700000000000000e+00	1.828700000000000000e+00	1.602921366691589400e+00	1.890964984893798800e+00
1.799020000000000200e+01	1.439200000000000000e+00	1.828600000000000000e+00	1.602778792381286600e+00	1.891307353973388700e+00
1.798649999999999900e+01	1.442800000000000100e+00	1.828700000000000000e+00	1.604176044464111300e+00	1.891546249389648400e+00
1.798280000000000100e+01	1.438099999999999900e+00	1.828600000000000000e+00	1.602546095848083500e+00	1.891593933105468800e+00
1.797909999999999900e+01	1.441700000000000000e+00	1.828700000000000000e+00	1.603864192962646500e+00	1.891675472259521500e+00
1.797550000000000000e+01	1.440600000000000100e+00	1.828600000000000000e+00	1.603554487228393600e+00	1.891841411590576200e+00
1.797180000000000200e+01	1.443000000000000100e+00	1.828500000000000000e+00	1.604428291320800800e+00	1.891849040985107400e+00
1.796820000000000000e+01	1.442199999999999900e+00	1.828200000000000000e+00	1.604243874549865700e+00	1.891393661499023400e+00
1.796450000000000100e+01	1.441800000000000000e+00	1.828300000000000000e+00	1.604125380516052200e+00	1.891963481903076200e+00
1.796089999999999900e+01	1.440600000000000100e+00	1.828000000000000100e+00	1.603721857070922900e+00	1.891738414764404300e+00
1.795710000000000100e+01	1.438900000000000100e+00	1.828000000000000100e+00	1.603136420249939000e+00	1.891765594482421900e+00
1.795349999999999800e+01	1.441300000000000000e+00	1.827800000000000100e+00	1.604031562805175800e+00	1.891184329986572300e+00
1.794990000000000000e+01	1.440399999999999900e+00	1.827700000000000100e+00	1.603790879249572800e+00	1.891493797302246100e+00
1.794620000000000100e+01	1.440099999999999900e+00	1.827499999999999900e+00	1.603744387626647900e+00	1.891270160675048800e+00
1.794249999999999900e+01	1.440499999999999900e+00	1.827399999999999900e+00	1.603924989700317400e+00	1.891428470611572300e+00
1.793890000000000000e+01	1.440299999999999900e+00	1.827299999999999900e+00	1.603904843330383300e+00	1.891514778137207000e+00
1.793519999999999800e+01	1.441200000000000000e+00	1.827099999999999900e+00	1.604262709617614700e+00	1.891401290893554700e+00
1.793160000000000000e+01	1.441800000000000000e+00	1.826900000000000000e+00	1.604542851448059100e+00	1.891008377075195300e+00
1.792790000000000100e+01	1.441700000000000000e+00	1.827000000000000000e+00	1.604512333869934100e+00	1.891330242156982400e+00
1.792429999999999900e+01	1.438900000000000100e+00	1.826900000000000000e+00	1.603564977645874000e+00	1.891394615173339800e+00
1.792070000000000000e+01	1.442099999999999900e+00	1.826900000000000000e+00	1.604764580726623500e+00	1.891622543334960900e+00
1.791700000000000200e+01	1.441500000000000000e+00	1.826900000000000000e+00	1.604646563529968300e+00	1.891756057739257800e+00
1.791330000000000000e+01	1.442299999999999900e+00	1.826900000000000000e+00	1.604933857917785600e+00	1.892104148864746100e+00
1.790970000000000100e+01	1.443600000000000000e+00	1.827000000000000000e+00	1.605459570884704600e+00	1.892319202423095700e+00
1.790589999999999900e+01	1.441200000000000000e+00	1.826900000000000000e+00	1.604653120040893600e+00	1.892623424530029300e+00
1.790230000000000000e+01	1.440600000000000100e+00	1.826900000000000000e+00	1.604446291923522900e+00	1.892984390258789100e+00
1.789870000000000200e+01	1.440600000000000100e+00	1.826800000000000000e+00	1.604451537132263200e+00	1.892994403839111300e+00
1.789500000000000000e+01	1.439999999999999900e+00	1.826800000000000000e+00	1.604311943054199200e+00	1.893273830413818400e+00
1.789120000000000100e+01	1.440299999999999900e+00	1.826900000000000000e+00	1.604464173316955600e+00	1.893610477447509800e+00
1.788749999999999900e+01	1.440800000000000100e+00	1.826900000000000000e+00	1.604715824127197300e+00	1.893856048583984400e+00
1.788299999999999900e+01	1.442600000000000100e+00	1.826400000000000000e+00	1.605406761169433600e+00	1.892999172210693400e+00
1.787900000000000100e+01	1.439999999999999900e+00	1.826400000000000000e+00	1.604525446891784700e+00	1.893324851989746100e+00
1.787529999999999900e+01	1.441800000000000000e+00	1.826000000000000100e+00	1.605213522911071800e+00	1.892976284027099600e+00
1.787160000000000100e+01	1.439600000000000000e+00	1.825900000000000100e+00	1.604403853416442900e+00	1.893361091613769500e+00
1.786789999999999900e+01	1.440399999999999900e+00	1.825700000000000100e+00	1.604766130447387700e+00	1.892967224121093800e+00
1.786420000000000000e+01	1.440600000000000100e+00	1.825700000000000100e+00	1.604825496673584000e+00	1.893208503723144500e+00
1.786060000000000200e+01	1.442199999999999900e+00	1.825599999999999900e+00	1.605461955070495600e+00	1.893237590789794900e+00
1.785699999999999900e+01	1.441800000000000000e+00	1.825499999999999900e+00	1.605381965637207000e+00	1.893473625183105500e+00
1.785330000000000100e+01	1.441200000000000000e+00	1.825499999999999900e+00	1.605202555656433100e+00	1.893644809722900400e+00
1.784969999999999900e+01	1.441400000000000000e+00	1.825399999999999900e+00	1.605311512947082500e+00	1.893784999847412100e+00
1.784600000000000000e+01	1.441500000000000000e+00	1.825399999999999900e+00	1.605346083641052200e+00	1.894119739532470700e+00
1.784230000000000200e+01	1.441200000000000000e+00	1.825299999999999900e+00	1.605316519737243700e+00	1.893996715545654300e+00
1.783860000000000000e+01	1.442700000000000100e+00	1.825399999999999900e+00	1.605890512466430700e+00	1.894491672515869100e+00
1.783490000000000100e+01	1.439000000000000100e+00	1.825299999999999900e+00	1.604526281356811500e+00	1.894701480865478500e+00
1.783129999999999900e+01	1.441700000000000000e+00	1.825299999999999900e+00	1.605576038360595700e+00	1.894771575927734400e+00
1.782770000000000000e+01	1.442800000000000100e+00	1.825199999999999900e+00	1.606023669242858900e+00	1.895095348358154300e+00
1.782400000000000200e+01	1.441500000000000000e+00	1.825000000000000000e+00	1.605609416961669900e+00	1.894709110260009800e+00
1.782030000000000000e+01	1.440199999999999900e+00	1.824700000000000000e+00	1.605138063430786100e+00	1.894275665283203100e+00
1.781670000000000100e+01	1.441500000000000000e+00	1.824400000000000000e+00	1.605685234069824200e+00	1.894118309020996100e+00
1.781299999999999900e+01	1.439800000000000000e+00	1.824200000000000000e+00	1.605044126510620100e+00	1.894364356994628900e+00
1.780940000000000000e+01	1.439200000000000000e+00	1.824100000000000100e+00	1.604828000068664600e+00	1.894370079040527300e+00
1.780580000000000100e+01	1.441900000000000000e+00	1.824000000000000100e+00	1.605907678604126000e+00	1.894338130950927700e+00
1.780209999999999900e+01	1.438900000000000100e+00	1.823900000000000100e+00	1.604827880859375000e+00	1.894308567047119100e+00
1.779850000000000100e+01	1.439999999999999900e+00	1.824000000000000100e+00	1.605258584022522000e+00	1.894835472106933600e+00
1.779479999999999900e+01	1.441000000000000100e+00	1.823800000000000100e+00	1.605679035186767600e+00	1.894694805145263700e+00
1.779110000000000000e+01	1.441400000000000000e+00	1.823900000000000100e+00	1.605886936187744100e+00	1.895322799682617200e+00
1.778750000000000100e+01	1.438399999999999900e+00	1.823900000000000100e+00	1.604781508445739700e+00	1.895555496215820300e+00
1.778379999999999900e+01	1.440600000000000100e+00	1.823900000000000100e+00	1.605582118034362800e+00	1.895803451538085900e+00
1.778010000000000100e+01	1.442199999999999900e+00	1.823900000000000100e+00	1.606253147125244100e+00	1.896011829376220700e+00
1.777649999999999900e+01	1.438900000000000100e+00	1.823800000000000100e+00	1.605000972747802700e+00	1.896225452423095700e+00
