T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
1.000000000000000000e+01	1.504505275283379184e+00	2.144049496510690937e-03	3.129971117773647227e-02	1.082207182034999882e+00
1.500000000000000000e+01	1.359597682978640254e+00	6.101613618014668393e-04	2.858109595648902421e-02	1.170608318310000007e+00
2.000000000000000000e+01	1.272247603486236223e+00	4.795430927809756372e-04	2.680271110938718671e-02	1.219100211135000000e+00
3.000000000000000000e+01	1.263223438739877302e+00	2.310274678280698716e-04	2.672159732364972826e-02	1.261063165489999971e+00
4.000000000000000000e+01	1.280514862887535799e+00	2.218855167427948559e-04	2.718778948181135163e-02	1.278412392104999906e+00
5.000000000000000000e+01	1.288902726451639058e+00	3.106372744186242183e-04	2.742978804011629232e-02	1.287617014214999855e+00
6.000000000000000000e+01	1.292220468965853630e+00	2.596090433402148271e-04	2.753186806505565978e-02	1.291197821104999921e+00
7.000000000000000000e+01	1.290934010488617112e+00	2.807438877484781008e-04	2.751668636201046528e-02	1.289403113000000101e+00
8.000000000000000000e+01	1.285113912096426780e+00	3.097034206576939393e-04	2.740548228525557795e-02	1.283638028359999961e+00
9.000000000000000000e+01	1.277880350011671773e+00	2.950844407611368262e-04	2.722080836687677807e-02	1.276619671135000189e+00
1.000000000000000000e+02	1.266403374926911685e+00	2.422059405939949739e-04	2.701848567180584887e-02	1.265115980175000043e+00
1.100000000000000000e+02	1.252572210418177789e+00	3.943987376541746278e-04	2.669133604827221562e-02	1.250717863405000019e+00
1.200000000000000000e+02	1.239483990626569998e+00	4.694236993736539956e-04	2.639426013932032536e-02	1.236740299145000055e+00
1.300000000000000000e+02	1.224004656341225683e+00	4.640313092960395209e-04	2.606602100496875976e-02	1.222678232784999874e+00
1.400000000000000000e+02	1.207373975795716259e+00	1.170514002451768465e-04	2.567830671657645586e-02	1.205843533879999985e+00
1.500000000000000000e+02	1.191010884062571051e+00	1.213175559007635088e-04	2.531808080991328896e-02	1.189189342945000005e+00
1.600000000000000000e+02	1.175337326708194130e+00	1.280513083375596245e-04	2.497530953570892623e-02	1.173435828799999969e+00
1.700000000000000000e+02	1.158856239384559395e+00	1.196023459932271898e-04	2.459806161663084453e-02	1.157262732530000005e+00
1.800000000000000000e+02	1.142735952046492365e+00	1.422123591375675444e-04	2.425316862084320874e-02	1.140904845215000130e+00
1.900000000000000000e+02	1.126685301734996481e+00	1.485255402951720922e-04	2.389007613076495062e-02	1.124729069534999848e+00
2.000000000000000000e+02	1.111000660918756822e+00	1.579301992523881627e-04	2.354861684391251417e-02	1.109423827510000127e+00
2.100000000000000000e+02	1.095926595734006970e+00	1.696906105502029888e-04	2.318620209313778865e-02	1.094990339229999998e+00
2.200000000000000000e+02	1.079891795024767287e+00	1.532896395147563930e-04	2.282810973287225861e-02	1.077588385204999888e+00
2.300000000000000000e+02	1.071095473055646119e+00	1.811828656490247120e-04	2.255169777430703071e-02	1.074363626020000018e+00
2.400000000000000000e+02	1.050306935338170433e+00	1.763485117867779955e-04	2.225159067853582293e-02	1.048972487214999916e+00
2.500000000000000000e+02	1.037370938064051895e+00	1.978654763525803501e-04	2.189705621660487794e-02	1.036823426980000074e+00
2.600000000000000000e+02	1.024898624382854617e+00	2.155088424387223216e-04	2.166158573144371519e-02	1.024898003250000134e+00
2.700000000000000000e+02	1.001850655427110715e+00	1.503698745613427752e-04	2.101010930238960198e-02	1.000120915972499969e+00
2.800000000000000000e+02	9.929053136889922637e-01	2.492967001062232997e-04	2.084932025178360543e-02	9.894223484605000341e-01
2.900000000000000000e+02	9.822893731274195961e-01	3.244896653594049585e-04	2.052088876509320856e-02	9.889314454709999813e-01
3.000000000000000000e+02	9.664322660237174567e-01	3.943177680627040264e-04	2.027813362068018113e-02	9.736036800339999964e-01
