T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
3.000000000000000000e+01	1.972660814667417384e+00	3.032134479352573825e-03	1.941660789753825445e-01	1.762619037369999919e+00
4.000000000000000000e+01	2.158791850428754877e+00	1.772489468788695935e-03	2.126742409551552471e-01	2.127113720925000173e+00
5.000000000000000000e+01	2.370170759608779321e+00	3.040957584681263856e-03	2.317204719142427483e-01	2.366039582920000051e+00
6.000000000000000000e+01	2.557308769015623096e+00	2.522903500787598407e-03	2.477476753016447930e-01	2.551163053829999861e+00
7.000000000000000000e+01	2.713233728683820178e+00	2.049553209970673626e-03	2.607028692926006141e-01	2.706122892955000303e+00
8.000000000000000000e+01	2.836415610402746701e+00	1.660345169917562796e-03	2.701990930841198235e-01	2.831218905454999657e+00
9.000000000000000000e+01	2.933608976110339661e+00	1.101195406176892809e-03	2.774209888140004021e-01	2.927794559279999653e+00
1.000000000000000000e+02	3.007263217923481946e+00	1.118290233077345484e-03	2.827514291980795513e-01	3.001846345745000200e+00
1.100000000000000000e+02	3.056219907717658835e+00	1.127761591590216396e-03	2.857236154421290419e-01	3.051554592055000015e+00
1.200000000000000000e+02	3.084554799695288896e+00	8.355350828428051956e-04	2.869899280952021292e-01	3.081023511059999720e+00
1.300000000000000000e+02	3.096093319800558685e+00	9.333482055856322538e-04	2.866754239263403781e-01	3.092952347445000250e+00
1.400000000000000000e+02	3.092684323148423786e+00	7.482976460459813415e-04	2.854267050733050315e-01	3.087159665340000192e+00
1.500000000000000000e+02	3.057070228723922867e+00	1.350970953949449547e-03	2.793688166939224393e-01	3.040865383389999899e+00
1.600000000000000000e+02	3.043197122835478385e+00	3.953276984390675453e-04	2.793452173402156680e-01	3.046611037309999936e+00
1.700000000000000000e+02	2.999851303865252117e+00	3.291542783708898291e-04	2.740558698213207967e-01	3.011627563440000266e+00
1.800000000000000000e+02	2.954158376527981744e+00	2.906394889140464350e-04	2.693071692518378968e-01	2.956879948820000159e+00
1.900000000000000000e+02	2.896691288815927301e+00	6.758466660744681708e-04	2.636734646710632846e-01	2.893592746189999954e+00
2.000000000000000000e+02	2.847161588092075313e+00	2.414075884870982324e-04	2.589742721410968618e-01	2.844478771934999983e+00
2.100000000000000000e+02	2.795343417877586667e+00	2.709720509013919545e-04	2.535947399853496487e-01	2.792527233574999990e+00
2.200000000000000000e+02	2.735476460398202914e+00	3.264424970722776828e-04	2.476465054423445111e-01	2.734241939014999900e+00
2.300000000000000000e+02	2.662225774991712868e+00	1.097924541725152922e-03	2.393256340943507310e-01	2.673737516140000103e+00
2.400000000000000000e+02	2.620528354720474962e+00	4.571197904478837681e-04	2.370602220486657252e-01	2.618872689189999825e+00
2.500000000000000000e+02	2.566821208388639253e+00	4.320243269980901545e-04	2.327191634341824467e-01	2.566443893129999765e+00
2.600000000000000000e+02	2.518725841035441171e+00	5.856837994109336453e-04	2.271378965299676589e-01	2.520622438744999805e+00
2.700000000000000000e+02	2.463459544586257266e+00	6.179992472525226450e-04	2.218717087591580150e-01	2.451000390504999960e+00
2.800000000000000000e+02	2.391543876185921125e+00	7.064558013913764751e-04	2.150086601375690853e-01	2.402855191995000084e+00
2.900000000000000000e+02	2.345750549589194378e+00	8.212162090257048861e-04	2.113134020989417272e-01	2.352634184414999829e+00
3.000000000000000000e+02	2.296625637147650778e+00	1.054988105038590866e-03	2.075470982136166653e-01	2.290248586105000150e+00
