T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
3.000000000000000000e+01	1.689367185336527299e+00	1.454503725793629843e-03	4.721821705701909760e-02	1.483034728430000060e+00
4.000000000000000000e+01	1.685162245641640855e+00	1.881088860333096809e-03	4.720105050986706657e-02	1.667583312349999902e+00
5.000000000000000000e+01	1.760309110259519416e+00	9.113436296785875973e-04	4.897549433461240859e-02	1.758061197960000044e+00
6.000000000000000000e+01	1.811916643119403147e+00	8.041755718464677115e-04	5.028536054429564445e-02	1.805648506035000045e+00
7.000000000000000000e+01	1.839656610017758931e+00	8.203351554233476390e-04	5.092725976586622710e-02	1.834110456464999928e+00
8.000000000000000000e+01	1.849652866829906150e+00	7.684544385893458431e-04	5.101736350920166307e-02	1.848834801879999823e+00
9.000000000000000000e+01	1.850615183850903733e+00	8.897867042532096177e-04	5.091736801231588894e-02	1.844419429620000050e+00
1.000000000000000000e+02	1.841896269085296245e+00	7.608082395958732768e-04	5.060965430045566427e-02	1.836439339570000051e+00
1.100000000000000000e+02	1.823198019428050820e+00	7.422432296393752932e-04	4.994546676379190558e-02	1.820428169870000001e+00
1.200000000000000000e+02	1.808084826649734911e+00	8.718706037154756814e-04	4.960223321198874158e-02	1.801446611180000046e+00
1.300000000000000000e+02	1.778680890124775704e+00	1.382089699493376607e-03	4.871424747670569100e-02	1.785281306619999953e+00
1.400000000000000000e+02	1.752810080017214611e+00	1.289725751958486826e-03	4.790355976468439053e-02	1.745448742865000069e+00
1.500000000000000000e+02	1.724179453403229534e+00	1.091921612969357601e-03	4.714175383287896176e-02	1.679460655879999820e+00
1.600000000000000000e+02	1.692788064986273433e+00	1.595478752979695089e-03	4.630094154285885333e-02	1.689995904224999901e+00
1.700000000000000000e+02	1.653928677693602189e+00	1.496096998237183597e-03	4.507929656999298818e-02	1.654664249245000107e+00
1.800000000000000000e+02	1.634458792117036374e+00	1.269121009964896971e-03	4.468264520568537845e-02	1.622867422160000128e+00
1.900000000000000000e+02	1.609150039778188823e+00	1.760300299491478074e-03	4.400281779320777686e-02	1.575418359479999975e+00
2.000000000000000000e+02	1.577590974452748984e+00	1.876108418634358111e-03	4.313432674838474368e-02	1.580534401159999991e+00
2.100000000000000000e+02	1.539042815850744983e+00	8.763915771258410595e-04	4.188037813695750372e-02	1.533614444724999970e+00
2.200000000000000000e+02	1.508781871006351860e+00	1.216391552141654056e-03	4.109587126177791094e-02	1.454153496695000047e+00
2.300000000000000000e+02	1.484269101407313052e+00	1.002903385795390944e-03	4.047057637889881626e-02	1.512846068019999990e+00
2.400000000000000000e+02	1.457892759865254906e+00	6.936493356466325163e-04	3.976895290018891277e-02	1.457904549639999825e+00
2.500000000000000000e+02	1.426061519751279594e+00	8.008207459117524423e-04	3.880058286556684055e-02	1.423704353234999997e+00
2.600000000000000000e+02	1.401742279956248449e+00	9.150672322483446733e-04	3.824896577788305246e-02	1.394057247034999891e+00
2.700000000000000000e+02	1.376821064270931316e+00	1.027844315945653951e-03	3.744572682169627909e-02	1.373332399135000159e+00
2.800000000000000000e+02	1.343362568968015980e+00	1.220272473172079753e-03	3.632172996398417425e-02	1.345860705345000019e+00
2.900000000000000000e+02	1.333969374858178458e+00	1.524789317208104103e-03	3.631342445377767209e-02	1.321554260595000141e+00
3.000000000000000000e+02	1.309789773792186640e+00	1.440532664929165341e-03	3.534303810127076284e-02	1.354997484090000093e+00
