T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
3.000000000000000000e+01	1.771964595713556134e+00	7.931067330310160061e-04	1.335121294303532880e-01	1.516464897484500085e+00
4.000000000000000000e+01	1.875655273259671629e+00	2.866932973118251440e-04	1.401591293951737205e-01	1.827055697033999948e+00
5.000000000000000000e+01	2.031869367873637700e+00	1.098300099482246007e-04	1.505049976410001711e-01	2.026916654944999951e+00
6.000000000000000000e+01	2.164809241919877447e+00	1.271392650139483848e-04	1.592562745746707031e-01	2.160409608250000169e+00
7.000000000000000000e+01	2.257652171450147183e+00	1.349344482177988064e-04	1.654770159818730879e-01	2.252340619709999991e+00
8.000000000000000000e+01	2.316932858403331963e+00	1.189706852396362272e-04	1.695261148082491676e-01	2.312281034440000216e+00
9.000000000000000000e+01	2.350952793799822693e+00	1.151674410440880819e-04	1.720703502695597187e-01	2.346443563814999855e+00
1.000000000000000000e+02	2.360954885411407744e+00	1.064290904995530762e-04	1.732292951418206439e-01	2.356581042380000213e+00
1.100000000000000000e+02	2.356103545529580678e+00	1.023894672834019937e-04	1.732063442450301471e-01	2.349767566365000171e+00
1.200000000000000000e+02	2.337324489715289833e+00	1.154080136252656194e-04	1.724838245501804368e-01	2.332175289319999845e+00
1.300000000000000000e+02	2.308225394263348385e+00	1.161935121878408903e-04	1.708307506612958826e-01	2.303036497994999987e+00
1.400000000000000000e+02	2.271512023996000273e+00	1.156813234948506639e-04	1.684379748473363581e-01	2.266676429164999895e+00
1.500000000000000000e+02	2.227288820006916303e+00	1.391303262826261932e-04	1.660529754882921483e-01	2.219597289519999794e+00
1.600000000000000000e+02	2.182939741426905833e+00	1.864501779590087272e-04	1.629914271453336561e-01	2.178325889884999977e+00
1.700000000000000000e+02	2.135914400178678285e+00	1.667643405224264637e-04	1.598036953777983715e-01	2.128051522154999819e+00
1.800000000000000000e+02	2.082892647150692778e+00	2.066147764910969636e-04	1.565634037570496073e-01	2.074858660254999876e+00
1.900000000000000000e+02	2.029698199589611285e+00	2.801424417210489955e-04	1.537451718101880138e-01	2.018528676959999935e+00
2.000000000000000000e+02	1.985975898126567163e+00	1.738592574101525772e-04	1.497244001408508107e-01	1.980825450930000065e+00
2.100000000000000000e+02	1.937624532843593483e+00	1.631107339379734135e-04	1.466799040391283115e-01	1.932583754654999986e+00
2.200000000000000000e+02	1.890470518769329811e+00	1.450106609793751244e-04	1.429685080827096388e-01	1.884305710455000060e+00
2.300000000000000000e+02	1.834703103140461700e+00	1.883191121540096281e-04	1.399390433871496586e-01	1.879775835983499954e+00
2.400000000000000000e+02	1.793392272093089268e+00	1.909091888322502492e-04	1.362699937981297627e-01	1.786760220209000050e+00
2.500000000000000000e+02	1.752566708042060828e+00	2.132562472582753160e-04	1.335546450510182170e-01	1.741483404195000029e+00
2.600000000000000000e+02	1.709894284188794078e+00	2.989535441720039756e-04	1.301615431750068885e-01	1.702352242188500009e+00
2.700000000000000000e+02	1.669373778974838629e+00	2.663966152444654698e-04	1.272230322491030019e-01	1.658280692830000014e+00
2.800000000000000000e+02	1.631099238512733862e+00	3.392520632174811195e-04	1.252230584736664654e-01	1.623490165952500064e+00
2.900000000000000000e+02	1.595258195789251099e+00	3.746171491507499594e-04	1.222184862741174799e-01	1.591242478640499947e+00
3.000000000000000000e+02	1.550380459466847105e+00	2.854032253576496876e-04	1.190769154778794081e-01	1.552961145835499934e+00
