T	Rh (cm3 x10-3)	RelErrRh (cm3 x10-3)	ErrRh (cm3 x10-3)	MinRh (cm3 x10-3)
3.000000000000000000e+01	1.453775004869394705e+00	2.779129045726337188e-03	1.502891688408410087e-01	1.113203712185000027e+00
4.000000000000000000e+01	1.520458213701040950e+00	2.061616957834683152e-03	1.575843381904660501e-01	1.415264518934999938e+00
5.000000000000000000e+01	1.653105020004963954e+00	2.505677660569166198e-03	1.713575919448112606e-01	1.647738476724999845e+00
6.000000000000000000e+01	1.812847123023592744e+00	1.811567647614709944e-03	1.874180678951062884e-01	1.808899288454999921e+00
7.000000000000000000e+01	1.940165895311728228e+00	1.331901963876261277e-03	1.996894931110591576e-01	1.932772528950000179e+00
8.000000000000000000e+01	2.038086667713163713e+00	1.409874906700879504e-03	2.084969881359140242e-01	2.044021147170000052e+00
9.000000000000000000e+01	2.115457716665969379e+00	1.687226872972206245e-03	2.155380600399062485e-01	2.115917681985000076e+00
1.000000000000000000e+02	2.170979475557313521e+00	1.251318796546642626e-03	2.200613326514462842e-01	2.164784673434999807e+00
1.100000000000000000e+02	2.207566305371223780e+00	1.054971898238741667e-03	2.230563416505392527e-01	2.209539208975000335e+00
1.200000000000000000e+02	2.231310402191520215e+00	8.350440737074915631e-04	2.251013538887091936e-01	2.228678896919999985e+00
1.300000000000000000e+02	2.231356831760279658e+00	7.711103945880884219e-04	2.238351757482538174e-01	2.229227495930000025e+00
1.400000000000000000e+02	2.227873144463905497e+00	6.676724510894405541e-04	2.229631224399995504e-01	2.223343414829999976e+00
1.500000000000000000e+02	2.211037376216821837e+00	5.743102736322332679e-04	2.206804173623398979e-01	2.204712706580000070e+00
1.600000000000000000e+02	2.188204241636145131e+00	6.976247685615522779e-04	2.179433479359240422e-01	2.179913509834999985e+00
1.700000000000000000e+02	2.160661584343656738e+00	5.196139994015259870e-04	2.145331754806911184e-01	2.155438605070000069e+00
1.800000000000000000e+02	2.123460990670933413e+00	5.711183438943079034e-04	2.103110637421881368e-01	2.118424219045000001e+00
1.900000000000000000e+02	2.085788698726076973e+00	6.892470017434417992e-04	2.060777673456464509e-01	2.090502092489999963e+00
2.000000000000000000e+02	2.053123149357937827e+00	5.825781370980005324e-04	2.030191515434838501e-01	2.045999802594999917e+00
2.100000000000000000e+02	2.008166887989527361e+00	9.111476329952999031e-04	1.977653804269687565e-01	1.980589801669999872e+00
2.200000000000000000e+02	1.968371168007384764e+00	1.036940965310665687e-03	1.936040723703927324e-01	1.951496155704999902e+00
2.300000000000000000e+02	1.926468386198970872e+00	9.285154945254674337e-04	1.890667840374232467e-01	1.918918890820000112e+00
2.400000000000000000e+02	1.888170532075080343e+00	1.197907446059186557e-03	1.851799031048277921e-01	1.878063666504999896e+00
2.500000000000000000e+02	1.851071751801226295e+00	1.189398327671593349e-03	1.815985646294040190e-01	1.839728999154999878e+00
2.600000000000000000e+02	1.811170502370606172e+00	1.138128153106370650e-03	1.772473679907405342e-01	1.796135777995000016e+00
2.700000000000000000e+02	1.773657213880471595e+00	1.131832149920668695e-03	1.734160463956098686e-01	1.763115989049999888e+00
2.800000000000000000e+02	1.739817500416645846e+00	9.537210960603857051e-04	1.706279051149941217e-01	1.731277336420000257e+00
2.900000000000000000e+02	1.697752529583684833e+00	1.043816161685072593e-03	1.657874081059971527e-01	1.690153263970000097e+00
3.000000000000000000e+02	1.666715728080275127e+00	1.104431156487831276e-03	1.626795318735707319e-01	1.656323230739999985e+00
