T	Rh	Err	D	E	F	G	H	I	J
20.000	0.85258	0.00020220							
30.000	0.86335	0.00042489							
40.000	0.87193	0.00056407							
50.000	0.87755	0.00036667							
60.000	0.88079	0.00036235							
70.000	0.88127	0.00037307							
80.000	0.87877	0.00035542							
90.000	0.87401	0.00037063							
100.00	0.86740	0.00040835							
110.00	0.86125	0.00038639							
120.00	0.85343	0.00040316							
130.00	0.84384	0.00038243							
140.00	0.83117	0.00033591							
150.00	0.82322	0.00014760							
160.00	0.81308	0.00013513							
170.00	0.80217	0.00014737							
180.00	0.79151	0.00013304							
190.00	0.78113	9.8091e-05							
200.00	0.76999	0.00014671							
210.00	0.75981	0.00013552							
220.00	0.74983	0.00012397							
230.00	0.73496	0.00013254							
240.00	0.72635	0.00015587							
250.00	0.71812	0.00013291							
260.00	0.70809	0.00013023							
270.00	0.69902	0.00016225							
280.00	0.68944	0.00016974							
290.00	0.68191	0.00017451							
300.00	0.67271	0.00019397							
1.4000	0.79742	0.013878							
2.0000	0.80315	0.026626							
3.2000	0.83074	0.015879							
4.0000	0.82476	0.0082761							
7.0000	0.83964	0.0026350							
10.100	0.84207	0.0029135							
15.600	0.84234	0.0026435							
