T(K)	Rh	Rh Err
1.5000	1.0996	0.16889
4.2000	1.1826	0.12120
10.000	1.0766	0.12863
20.000	1.1858	0.015800
30.000	1.2466	0.015509
60.000	1.2830	0.040819
1.5000	1.1544	0.17737
4.2000	1.0392	0.079554
15.000	0.92038	0.025626
25.000	1.2232	0.021511
38.000	1.3014	0.024017
15.400	1.2715	0.027067
17.000	1.2163	0.015468
26.200	1.2340	0.025920
31.600	1.2543	0.017138
42.200	1.2923	0.020887
58.400	2.6047	0.029873
30.000	1.2632	0.00023103
40.000	1.2805	0.00022189
50.000	1.2889	0.00031064
60.000	1.2922	0.00025961
70.000	1.2909	0.00028074
80.000	1.2851	0.00030970
90.000	1.2779	0.00029508
100.00	1.2664	0.00024221
110.00	1.2526	0.00039440
120.00	1.2395	0.00046942
130.00	1.2240	0.00046403
140.00	1.2074	0.00011705
150.00	1.1910	0.00012132
160.00	1.1753	0.00012805
170.00	1.1589	0.00011960
180.00	1.1427	0.00014221
190.00	1.1267	0.00014853
200.00	1.1110	0.00015793
210.00	1.0959	0.00016969
220.00	1.0799	0.00015329
230.00	1.0711	0.00018118
240.00	1.0503	0.00017635
250.00	1.0374	0.00019787
260.00	1.0249	0.00021551
270.00	1.0019	0.00015037
280.00	0.99291	0.00024930
290.00	0.98229	0.00032449
300.00	0.96643	0.00039432
