T(K)	Rh	Rh Err
1.5000	1.5427	0.22639
4.2000	1.5662	0.30168
15.000	1.4739	0.28381
38.000	2.0821	0.37294
50.000	2.3702	0.0030410
60.000	2.5573	0.0025229
70.000	2.7132	0.0020496
80.000	2.8364	0.0016603
90.000	2.9336	0.0011012
100.00	3.0073	0.0011183
110.00	3.0562	0.0011278
120.00	3.0846	0.00083554
130.00	3.0961	0.00093335
140.00	3.0927	0.00074830
150.00	3.0571	0.0013510
160.00	3.0432	0.00039533
170.00	2.9999	0.00032915
180.00	2.9542	0.00029064
190.00	2.8967	0.00067585
200.00	2.8472	0.00024141
210.00	2.7953	0.00027097
220.00	2.7355	0.00032644
230.00	2.6622	0.0010979
240.00	2.6205	0.00045712
250.00	2.5668	0.00043202
260.00	2.5187	0.00058568
270.00	2.4635	0.00061800
280.00	2.3915	0.00070646
290.00	2.3458	0.00082122
300.00	2.2966	0.0010550
1.5000	1.2699	0.25114
4.2000	0.95278	0.19136
10.000	1.3599	0.19086
20.000	1.6413	0.098627
30.000	1.8019	0.19511
60.000	2.7155	0.16268
15.400	2.1156	0.042870
17.000	2.0847	0.095796
26.200	1.8525	0.058155
31.600	2.1759	0.039378
42.200	2.1515	0.076492
58.400	2.5703	0.052567
