T(K)	Rh	Rh Err
1.5000	1.3085	0.074690
4.2000	1.3901	0.031347
10.000	1.3225	0.030820
20.000	1.5198	0.033377
30.000	1.6336	0.012799
40.000	1.8473	0.014291
50.000	1.7438	0.014712
60.000	1.8195	0.014893
85.000	1.8539	0.014679
100.00	1.8441	0.014578
50.000	1.7603	0.00091134
60.000	1.8119	0.00080418
70.000	1.8397	0.00082034
80.000	1.8497	0.00076845
90.000	1.8506	0.00088979
100.00	1.8419	0.00076081
110.00	1.8232	0.00074224
120.00	1.8081	0.00087187
130.00	1.7787	0.0013821
140.00	1.7528	0.0012897
150.00	1.7242	0.0010919
160.00	1.6928	0.0015955
170.00	1.6539	0.0014961
180.00	1.6345	0.0012691
190.00	1.6092	0.0017603
200.00	1.5776	0.0018761
210.00	1.5390	0.00087639
220.00	1.5088	0.0012164
230.00	1.4843	0.0010029
240.00	1.4579	0.00069365
250.00	1.4261	0.00080082
260.00	1.4017	0.00091507
270.00	1.3768	0.0010278
280.00	1.3434	0.0012203
290.00	1.3340	0.0015248
300.00	1.3098	0.0014405
