T(K)	Rh	Rh Err
34.400	1.9390	0.19666
50.600	2.1242	0.16866
62.400	2.1549	0.19856
76.000	2.3346	0.18449
103.30	2.1405	0.21239
50.000	2.0319	0.00010983
60.000	2.1648	0.00012714
70.000	2.2577	0.00013493
80.000	2.3169	0.00011897
90.000	2.3510	0.00011517
100.00	2.3610	0.00010643
110.00	2.3561	0.00010239
120.00	2.3373	0.00011541
130.00	2.3082	0.00011619
140.00	2.2715	0.00011568
150.00	2.2273	0.00013913
160.00	2.1829	0.00018645
170.00	2.1359	0.00016676
180.00	2.0829	0.00020661
190.00	2.0297	0.00028014
200.00	1.9860	0.00017386
210.00	1.9376	0.00016311
220.00	1.8905	0.00014501
230.00	1.8347	0.00018832
240.00	1.7934	0.00019091
250.00	1.7526	0.00021326
260.00	1.7099	0.00029895
270.00	1.6694	0.00026640
280.00	1.6311	0.00033925
290.00	1.5953	0.00037462
300.00	1.5504	0.00028540
