T(K)	Rh	Rh Err
50.500	1.6423	0.047477
55.100	1.7484	0.057512
59.500	1.7399	0.071805
50.000	1.6531	0.0025057
60.000	1.8128	0.0018116
70.000	1.9402	0.0013319
80.000	2.0381	0.0014099
90.000	2.1155	0.0016872
100.00	2.1710	0.0012513
110.00	2.2076	0.0010550
120.00	2.2313	0.00083504
130.00	2.2314	0.00077111
140.00	2.2279	0.00066767
150.00	2.2110	0.00057431
160.00	2.1882	0.00069762
170.00	2.1607	0.00051961
180.00	2.1235	0.00057112
190.00	2.0858	0.00068925
200.00	2.0531	0.00058258
210.00	2.0082	0.00091115
220.00	1.9684	0.0010369
230.00	1.9265	0.00092852
240.00	1.8882	0.0011979
250.00	1.8511	0.0011894
260.00	1.8112	0.0011381
270.00	1.7737	0.0011318
280.00	1.7398	0.00095372
290.00	1.6978	0.0010438
300.00	1.6667	0.0011044
1.5000	0.68525	0.098900
4.2000	0.89928	0.034174
10.000	0.86417	0.12166
20.000	0.85184	0.067578
30.000	1.2135	0.18072
40.000	1.2804	0.13733
50.000	1.6421	0.014905
60.000	1.8245	0.016016
85.000	2.0618	0.017450
100.00	2.1793	0.018019
4.2000	0.90590	0.36189
140.00	2.1682	0.063628
160.00	2.2421	0.067049
35.500	1.1660	0.058820
40.000	1.3864	0.35880
45.200	1.9826	0.15914
50.500	1.3196	0.32654
55.100	1.8558	0.087700
