         0	     0.581
      2.71	     0.635
      4.88	     0.695
      7.05	     0.743
      9.22	     0.797
      11.9	     0.857
      14.1	     0.905
      16.3	     0.965
      19.5	      1.04
      22.2	      1.11
      24.4	      1.16
      27.1	      1.21
      29.8	      1.27
        32	      1.33
      36.3	      1.41
      38.5	      1.47
      41.2	      1.52
      44.5	      1.56
      48.8	      1.64
      52.6	      1.71
      56.4	      1.76
      60.8	      1.82
      65.6	      1.89
      70.5	      1.95
      75.4	         2
      80.3	      2.04
      86.8	      2.09
      93.3	      2.14
      99.8	      2.17
       107	       2.2
       116	      2.22
       126	      2.24
       133	      2.24
       139	      2.23
       146	      2.22
       154	      2.21
       164	      2.18
       171	      2.16
       182	      2.12
       193	      2.08
       201	      2.05
       209	      2.02
       220	      1.98
       229	      1.93
       240	      1.89
       248	      1.86
       258	      1.82
       267	      1.78
       278	      1.73
       287	       1.7
       298	      1.65

