T	B00KOD1A Rho_mr	Err
1.506199999999999983e+00	4.780182701129067485e-02	2.179772963267532365e-02
2.506199999999999761e+00	5.172126631342986725e-02	2.358500186809704691e-02
3.506199999999999761e+00	5.256015079738406148e-02	2.396753488655177858e-02
4.506199999999998873e+00	5.307278836815144257e-02	2.420129865387596682e-02
5.506199999999998873e+00	5.326581595542968089e-02	2.428931962341223175e-02
6.506199999999998873e+00	5.349595714374035665e-02	2.439426446995447695e-02
7.506199999999997985e+00	5.371888647782148418e-02	2.449592069640676648e-02
8.506199999999997985e+00	5.392575264029111221e-02	2.459025208417144406e-02
9.506199999999997985e+00	5.410917768913454245e-02	2.467389427679317696e-02
1.050619999999999798e+01	5.428220581878728801e-02	2.475279545327179961e-02
1.150619999999999798e+01	5.446726053176886156e-02	2.483718077603094820e-02
1.250619999999999798e+01	5.468371015369389437e-02	2.493588224065701811e-02
1.350619999999999621e+01	5.498493914754767203e-02	2.507324327005860595e-02
1.450619999999999621e+01	5.532106691357046441e-02	2.522651821003253636e-02
1.550619999999999621e+01	5.559557233870091042e-02	2.535169323813936740e-02
1.650619999999999621e+01	5.586082586976318098e-02	2.547264938387083094e-02
1.750619999999999621e+01	5.617042531944079625e-02	2.561382735802867835e-02
1.850619999999999621e+01	5.649157932889319750e-02	2.576027423477335321e-02
1.950619999999999621e+01	5.675293321628904764e-02	2.587945213511925330e-02
2.050619999999999621e+01	5.699758781729264562e-02	2.599101512715315532e-02
2.150619999999999621e+01	5.723477900255843909e-02	2.609917478654140768e-02
2.250619999999999621e+01	5.747717461045257631e-02	2.620970767315631764e-02
2.350619999999999621e+01	5.772167116783482460e-02	2.632119859697977515e-02
2.450619999999999621e+01	5.796645923511797860e-02	2.643282244990663096e-02
2.550619999999999266e+01	5.821309623132933653e-02	2.654528941815788301e-02
2.650619999999999266e+01	5.846757480174920307e-02	2.666133216008093748e-02
2.750619999999999266e+01	5.872590419599443140e-02	2.677913088544347023e-02
2.850619999999999266e+01	5.897775512380096230e-02	2.689397541702943928e-02
2.950619999999999266e+01	5.925575450859285609e-02	2.702074369779645935e-02
3.050619999999999266e+01	5.945593039020294346e-02	2.711202430398100202e-02
3.150619999999999266e+01	5.975115762156948951e-02	2.724664851757039805e-02
3.250619999999999266e+01	6.003984016529430312e-02	2.737828834038093587e-02
3.350619999999999266e+01	6.031109927537986470e-02	2.750198304227273807e-02
3.450619999999999266e+01	6.057800875564246096e-02	2.762369430418303712e-02
3.550619999999999266e+01	6.085601550149155603e-02	2.775046594160699917e-02
3.650619999999999266e+01	6.114929863518484693e-02	2.788420364273210342e-02
3.750619999999999266e+01	6.142979915149746756e-02	2.801211244452255986e-02
3.850619999999999266e+01	6.171166917834564752e-02	2.814064574588236167e-02
3.950619999999999266e+01	6.200169164681842982e-02	2.827289657708338677e-02
4.050619999999999266e+01	6.230881262431604145e-02	2.841294436292293030e-02
4.150619999999999266e+01	6.259628266979903877e-02	2.854403128408707080e-02
4.250619999999999266e+01	6.288631058828533793e-02	2.867628460050527031e-02
4.350619999999999266e+01	6.316351038610362734e-02	2.880268826799789808e-02
4.450619999999999266e+01	6.347842185512282687e-02	2.894628853370087226e-02
4.550619999999999266e+01	6.378259316420210878e-02	2.908499126478604480e-02
4.650619999999999266e+01	6.408382243488197627e-02	2.922235242042089259e-02
4.750619999999999266e+01	6.440065569977315718e-02	2.936682902892174749e-02
4.850619999999999266e+01	6.470752197997313437e-02	2.950676067227931201e-02
4.950619999999998555e+01	6.501771930842512037e-02	2.964821128036543296e-02
5.050619999999998555e+01	6.531045043360805824e-02	2.978169726449527224e-02
5.150619999999998555e+01	6.561775826399278422e-02	2.992183025562860504e-02
5.250619999999998555e+01	6.593679214524467147e-02	3.006731034963314522e-02
5.350619999999998555e+01	6.626332062082045116e-02	3.021620799378155198e-02
5.450619999999998555e+01	6.660716923930345978e-02	3.037300365806632971e-02
5.550619999999998555e+01	6.692652648802308035e-02	3.051863120828906054e-02
5.650619999999998555e+01	6.724128194352448074e-02	3.066216033151292555e-02
5.750619999999998555e+01	6.756006776658607382e-02	3.080752731048185672e-02
5.850619999999998555e+01	6.790038673273532388e-02	3.096271344617579704e-02
5.950619999999998555e+01	6.824454250838951630e-02	3.111964917475081721e-02
6.050619999999998555e+01	6.857116517137810952e-02	3.126858976854963307e-02
6.150619999999998555e+01	6.889959053114026732e-02	3.141835239571697663e-02
6.250619999999998555e+01	6.924407210979936778e-02	3.157543669112004153e-02
6.350619999999998555e+01	6.960106667989646168e-02	3.173822693588353172e-02
6.450619999999999266e+01	6.994177397448025912e-02	3.189359015012770138e-02
6.550619999999999266e+01	7.026675576417316937e-02	3.204178250239063386e-02
