T	B07KOD2 Rho_mr
3.067200000000000149e+00	0.000000000000000000e+00
3.659259719438877845e+00	-7.039667412756095140e-05
4.251319438877755985e+00	-7.039667412756095140e-05
4.843379158316633237e+00	-7.039667412756095140e-05
5.435438877755510489e+00	0.000000000000000000e+00
6.027498597194388630e+00	-7.039667412756095140e-05
6.619558316633266770e+00	-7.039667412756095140e-05
7.211618036072144022e+00	1.916485165918529890e-03
7.803677755511021275e+00	4.493380871586276359e-02
8.395737474949898527e+00	1.174223657999316633e-01
8.987797194388777555e+00	2.080001082202762863e-01
9.579856913827654807e+00	2.787060977169471543e-01
1.017191663326653206e+01	3.481512929337860496e-01
1.076397635270540931e+01	4.116166234429562421e-01
1.135603607214428834e+01	4.430446917083772362e-01
1.194809579158316559e+01	4.704998627641552300e-01
1.254015551102204284e+01	5.407673337264974345e-01
1.313221523046092010e+01	7.449822143126901830e-01
1.372427494989979735e+01	9.295067657126115934e-01
1.431633466933867638e+01	9.670239019179814877e-01
1.490839438877755363e+01	9.838872584481445083e-01
1.550045410821643088e+01	9.959577856056728296e-01
1.609251382765530991e+01	1.008168183655940409e+00
1.668457354709418894e+01	1.034926208897973154e+00
1.727663326653306441e+01	1.048725144869450565e+00
1.786869298597194344e+01	1.056815697831664957e+00
1.846075270541081892e+01	1.064493489109434865e+00
1.905281242484969795e+01	1.072028643031199380e+00
1.964487214428857698e+01	1.078621720484058466e+00
2.023693186372745245e+01	1.084297640497515536e+00
2.082899158316633148e+01	1.090368544760569991e+00
2.142105130260520696e+01	1.095797596793004702e+00
2.201311102204408598e+01	1.100225621122020714e+00
2.260517074148296501e+01	1.104646964547379984e+00
2.319723046092184049e+01	1.109172877911367872e+00
2.378929018036071952e+01	1.113554020610602935e+00
2.438134989979959499e+01	1.117810029004068006e+00
2.497340961923847402e+01	1.121923823634881634e+00
2.556546933867735305e+01	1.126914551817323584e+00
2.615752905811622853e+01	1.132628786732048143e+00
2.674958877755510755e+01	1.135735613534254229e+00
2.734164849699398658e+01	1.140448163653746017e+00
2.793370821643286206e+01	1.144410362693414118e+00
2.852576793587174109e+01	1.149377188580554598e+00
2.911782765531062012e+01	1.153891435883660721e+00
2.970988737474949559e+01	1.158045842468139242e+00
3.030194709418837462e+01	1.162469222171613525e+00
3.089400681362725010e+01	1.167305109025305931e+00
3.148606653306612913e+01	1.171190654630798855e+00
3.207812625250500815e+01	1.175976001292197592e+00
3.267018597194388718e+01	1.180472634040495183e+00
3.326224569138276621e+01	1.185098560331653283e+00
