T	B16KOD1A Rho_mr
3.722900000000000098e+00	-1.858764689638245697e-07
4.316445290581162553e+00	4.878356963755566317e-07
4.909990581162325007e+00	-9.196409463429687820e-06
5.503535871743487462e+00	-3.108879088175495436e-06
6.097081162324649029e+00	-7.991573036563414851e-06
6.690626452905812371e+00	1.389755721516169187e-06
7.284171743486973938e+00	-7.200834558206243996e-06
7.877717034068136392e+00	2.021018235482206009e-05
8.471262324649298847e+00	1.557958689113198708e-05
9.064807615230460414e+00	1.784286198454876092e-06
9.658352905811623756e+00	7.571315675348825153e-06
1.025189819639278710e+01	3.193164976024445907e-05
1.084544348697394867e+01	9.667281626872749518e-05
1.143898877755511023e+01	1.543981265301118898e-04
1.203253406813627180e+01	2.111539183530202596e-04
1.262607935871743692e+01	3.166316997482915892e-04
1.321962464929859848e+01	5.337768001021643387e-04
1.381316993987976005e+01	8.644063719954359374e-04
1.440671523046092162e+01	1.181940679714168010e-03
1.500026052104208318e+01	1.787784233354861854e-03
1.559380581162324830e+01	2.861323297090690842e-03
1.618735110220440987e+01	4.362659362138013655e-03
1.678089639278557144e+01	3.079631743525393026e-02
1.737444168336673300e+01	2.717801220292522246e-01
1.796798697394789457e+01	3.936262419614044439e-01
1.856153226452905969e+01	4.392076678951019608e-01
1.915507755511022125e+01	4.704478080321682354e-01
1.974862284569138282e+01	4.849178499540756637e-01
2.034216813627254439e+01	5.018451253299979209e-01
2.093571342685370595e+01	5.115654413252991306e-01
2.152925871743487107e+01	5.186973557619346531e-01
2.212280400801603264e+01	5.217676037242774401e-01
2.271634929859719421e+01	5.267277545469069011e-01
2.330989458917835577e+01	5.319375648788098321e-01
2.390343987975951734e+01	5.365901983885384974e-01
2.449698517034068246e+01	5.408942278736739162e-01
2.509053046092184402e+01	5.448596205437987727e-01
2.568407575150300559e+01	5.487236460407376448e-01
2.627762104208416716e+01	5.519824628136666966e-01
2.687116633266533228e+01	5.556977880620798116e-01
2.746471162324649384e+01	5.593012787507884997e-01
2.805825691382765541e+01	5.623400558806002092e-01
2.865180220440881698e+01	5.657257034182803235e-01
2.924534749498997854e+01	5.689589699960531100e-01
2.983889278557114366e+01	5.719762916884280068e-01
3.043243807615230523e+01	5.751844156158298915e-01
3.102598336673346680e+01	5.782536703757219509e-01
3.161952865731462836e+01	5.813043277355044447e-01
3.221307394789579348e+01	5.843610009906532454e-01
3.280661923847695505e+01	5.870844226901392737e-01
3.340016452905811661e+01	5.902446431709543750e-01
3.399370981963927818e+01	5.932057635319900601e-01
3.458725511022043975e+01	5.962391969845483031e-01
3.518080040080160842e+01	5.990917816499997661e-01
3.577434569138276999e+01	6.021936324645453809e-01
3.636789098196393155e+01	6.050489639630564076e-01
3.696143627254509312e+01	6.079726043927886625e-01
3.755498156312625468e+01	6.108563351687963383e-01
3.814852685370741625e+01	6.137444685558116619e-01
3.874207214428857782e+01	6.166020692183108443e-01
3.933561743486974649e+01	6.194776956320192651e-01
3.992916272545090806e+01	6.223976464080128723e-01
4.052270801603206962e+01	6.254094439980893982e-01
4.111625330661323119e+01	6.281882980334849709e-01
4.170979859719439276e+01	6.312140202276036449e-01
4.230334388777555432e+01	6.341716216374774229e-01
4.289688917835671589e+01	6.371345615614788516e-01
4.349043446893787745e+01	6.401507019579791846e-01
4.408397975951903902e+01	6.430684157854908989e-01
4.467752505010020769e+01	6.461360291683765356e-01
4.527107034068136926e+01	6.490778804700687576e-01
4.586461563126253083e+01	6.516704046042886000e-01
4.645816092184369239e+01	6.538953895650468917e-01
4.705170621242485396e+01	6.624749398082281360e-01
4.764525150300601553e+01	6.646988583656702199e-01
4.823879679358717709e+01	6.668253645038645372e-01
4.883234208416833866e+01	6.705488155681516016e-01
4.942588737474950022e+01	6.735041373332508741e-01
5.001943266533066890e+01	6.764673459767196473e-01
5.061297795591183046e+01	6.795922857804013173e-01
5.120652324649299203e+01	6.823359995705191583e-01
5.180006853707415360e+01	6.854809395853613818e-01
