T	B28KUD3A Rho_mr	Err
1.873599999999999932e+00	1.029481942882002921e-04	3.513156850353963350e-05
2.873599999999999710e+00	1.052574525100403286e-04	3.591961402462784115e-05
3.873599999999999710e+00	9.444056166349905953e-05	3.222829778155963438e-05
4.873599999999998822e+00	1.005640966646763936e-04	3.431798367517944825e-05
5.873599999999998822e+00	9.917800972362250612e-05	3.384497481224422083e-05
6.873599999999998822e+00	1.023837119159939284e-04	3.493893616777770815e-05
7.873599999999997934e+00	9.931114705489576535e-05	3.389040856954657176e-05
8.873599999999997934e+00	9.909658871886673490e-05	3.381718950113719256e-05
9.873599999999997934e+00	9.768392809696660884e-05	3.333511224127188509e-05
1.087359999999999793e+01	9.765914289079071983e-05	3.332665416996074696e-05
1.187359999999999793e+01	9.815444637324542308e-05	3.349567887548579869e-05
1.287359999999999793e+01	1.007936839417738166e-04	3.439633144231278469e-05
1.387359999999999616e+01	9.848317619580212860e-05	3.360785951507989672e-05
1.487359999999999616e+01	9.762019150813349257e-05	3.331336182250781830e-05
1.587359999999999616e+01	9.946895369337435775e-05	3.394426084707660349e-05
1.687359999999999616e+01	1.027184158543375392e-04	3.505315550323690593e-05
1.787359999999999616e+01	9.662828410571415775e-05	3.297486863087680100e-05
1.887359999999999616e+01	9.815859765212928795e-05	3.349709551945410983e-05
1.987359999999999616e+01	9.728554277597042401e-05	3.319916132642436544e-05
2.087359999999999616e+01	1.011725364038823169e-04	3.452561667472822172e-05
2.187359999999999616e+01	9.757292974023610069e-05	3.329723351595553109e-05
2.287359999999999616e+01	9.583462335666914351e-05	3.270402806716969294e-05
2.387359999999999616e+01	9.375605989577416013e-05	3.199470824742656623e-05
2.487359999999999616e+01	9.334656017232002595e-05	3.185496448906170654e-05
2.587359999999999260e+01	9.370928905128596525e-05	3.197874747085863704e-05
2.687359999999999260e+01	9.270989045553940544e-05	3.163769787332494697e-05
2.787359999999999260e+01	9.954376208354716587e-05	3.396978957152065249e-05
2.887359999999999260e+01	9.797259325752598021e-05	3.343362062146150644e-05
2.987359999999999260e+01	1.022187966103646847e-04	3.488265802325020979e-05
3.087359999999999260e+01	5.808965649469892932e-03	1.982337583093005551e-03
3.187359999999999260e+01	2.222239433350026855e-02	7.583499392465970802e-03
3.287359999999999616e+01	3.127797449346107067e-02	1.067375985724249195e-02
3.387359999999999616e+01	3.655361282235938813e-02	1.247409691641161722e-02
3.487359999999999616e+01	4.068385065499460773e-02	1.388356052435920154e-02
3.587359999999999616e+01	4.355540857554646844e-02	1.486349353333779599e-02
3.687359999999999616e+01	4.591982703097975682e-02	1.567036275054376968e-02
3.787359999999999616e+01	4.781619313555945244e-02	1.631750684249670680e-02
3.887359999999999616e+01	4.954005333821435292e-02	1.690578246227644743e-02
3.987359999999999616e+01	5.099707974955572376e-02	1.740299976205936239e-02
4.087359999999999616e+01	5.235971035396945472e-02	1.786800403683047600e-02
4.187359999999999616e+01	5.355886687418640046e-02	1.827722199084850715e-02
4.287359999999999616e+01	5.477912160031207789e-02	1.869363980952962537e-02
4.387359999999999616e+01	5.586079873029992093e-02	1.906276735424883989e-02
4.487359999999999616e+01	5.686884224177517211e-02	1.940676707102678006e-02
4.587359999999999616e+01	5.780441840089322464e-02	1.972603695382162126e-02
4.687359999999999616e+01	5.875879478528862193e-02	2.005172250429067618e-02
4.787359999999999616e+01	5.966952825052589116e-02	2.036251469781743401e-02
4.887359999999999616e+01	6.063090568283528020e-02	2.069058938969968106e-02
4.987359999999998905e+01	6.140470764468607817e-02	2.095465304636598067e-02
5.087359999999998905e+01	6.212184465394990363e-02	2.119937951429065950e-02
5.187359999999998905e+01	6.303831779706753347e-02	2.151213040061467074e-02
5.287359999999998905e+01	6.378245014912695132e-02	2.176606915964613559e-02
5.387359999999998905e+01	6.476173701562946972e-02	2.210025553244290147e-02
5.487359999999998905e+01	6.548333637601504165e-02	2.234650479923942779e-02
5.587359999999998905e+01	6.636455383861689095e-02	2.264722451431519512e-02
5.687359999999998905e+01	6.705614381338340091e-02	2.288323293333470107e-02
5.787359999999998905e+01	6.800763603552058278e-02	2.320793424950367070e-02
5.887359999999998905e+01	6.879651967972841287e-02	2.347714460311339096e-02
5.987359999999998905e+01	6.931567419250386775e-02	2.365430858792728908e-02
6.087359999999998905e+01	7.009382291756031946e-02	2.391985559853081894e-02
6.187359999999998905e+01	7.087698008016471429e-02	2.418711176263653451e-02
6.287359999999998905e+01	7.168450955419246318e-02	2.446268509572495364e-02
