T	B30KOD3 Rho_mr	Err
4.514499999999999957e+00	1.856752363220785784e-04	8.809693588114004604e-05
5.514499999999999957e+00	1.654301990140883240e-04	7.849131593438774597e-05
6.514499999999999957e+00	1.737249083199870071e-04	8.242688908000037648e-05
7.514499999999999957e+00	1.858123212150167053e-04	8.816197825977204231e-05
8.514499999999999957e+00	1.707047192127908149e-04	8.099390635491554656e-05
9.514499999999999957e+00	1.798204499653085261e-04	8.531902780633657984e-05
1.051449999999999996e+01	1.760796647379136320e-04	8.354414536724128685e-05
1.151449999999999996e+01	1.739986788754670959e-04	8.255678441526433813e-05
1.251449999999999996e+01	1.903930640353972289e-04	9.033539359791137899e-05
1.351449999999999996e+01	1.846535549987784704e-04	8.761218090889593736e-05
1.451449999999999996e+01	1.750228292689812214e-04	8.304271088202026417e-05
1.551449999999999996e+01	1.766255675561225933e-04	8.380315872047955979e-05
1.651449999999999818e+01	1.808171270279866540e-04	8.579191906003423226e-05
1.751449999999999818e+01	1.756401805070713319e-04	8.333562421562080308e-05
1.851449999999999818e+01	1.764240968430196368e-04	8.370756733820513228e-05
1.951449999999999818e+01	1.779703928557235435e-04	8.444123513032867321e-05
2.051449999999999818e+01	1.798683056680872429e-04	8.534173380021465129e-05
2.151449999999999818e+01	1.730785809487228155e-04	8.212022750190108630e-05
2.251449999999999818e+01	1.704277815318005519e-04	8.086250832032277724e-05
2.351449999999999818e+01	1.872400605170969248e-04	8.883939470066004877e-05
2.451449999999999818e+01	1.867172067116371276e-04	8.859131736365371418e-05
2.551449999999999818e+01	1.830326573750644501e-04	8.684311704849762546e-05
2.651449999999999818e+01	1.852870369625273753e-04	8.791274775371436996e-05
2.751449999999999818e+01	1.937964700532044619e-04	9.195020043843239786e-05
2.851449999999999818e+01	8.843729971497597472e-03	4.196065817294436680e-03
2.951449999999999818e+01	2.333569115339721722e-02	1.107203592684193917e-02
3.051449999999999818e+01	2.983208221395802426e-02	1.415436482571720556e-02
3.151449999999999818e+01	3.261195980292624225e-02	1.547332745403421674e-02
3.251449999999999818e+01	3.439735183256874274e-02	1.632043862660478850e-02
3.351449999999999818e+01	3.584037266701051161e-02	1.700510566376664534e-02
3.451449999999999818e+01	3.697819348508165488e-02	1.754496509596342041e-02
3.551449999999999818e+01	3.795171055783272407e-02	1.800686767832275145e-02
3.651449999999999818e+01	3.880723738972284564e-02	1.841278768115436892e-02
3.751449999999999818e+01	3.956105385488205284e-02	1.877044938183523859e-02
3.851449999999999818e+01	4.030874893319580377e-02	1.912520668107244720e-02
3.951449999999999818e+01	4.082777559611971974e-02	1.937146816187053713e-02
4.051449999999999818e+01	4.184787455359808422e-02	1.985547235235667063e-02
4.151449999999999818e+01	4.244701544341594052e-02	2.013974546060517609e-02
4.251449999999999818e+01	4.305055980998398479e-02	2.042610787713516896e-02
4.351449999999999818e+01	4.361766296587855918e-02	2.069518010966580820e-02
4.451449999999999818e+01	4.418758156627486389e-02	2.096558818018250114e-02
4.551449999999999818e+01	4.476177513939032931e-02	2.123802458794539841e-02
4.651449999999999818e+01	4.525834614023182406e-02	2.147363157834493441e-02
4.751449999999999818e+01	4.576987339287168916e-02	2.171633482983885075e-02
4.851449999999999818e+01	4.633257729949238901e-02	2.198331975988972870e-02
4.951449999999999818e+01	4.686547167295529448e-02	2.223616102391778176e-02
5.051449999999999818e+01	4.738375782947419623e-02	2.248207115821122815e-02
5.151449999999999818e+01	4.787489136621515817e-02	2.271509824654244572e-02
5.251449999999999818e+01	4.835678047938325730e-02	2.294373915281252077e-02
5.351449999999999818e+01	4.891469462037514870e-02	2.320845149291632034e-02
5.451449999999999818e+01	4.946876438014061184e-02	2.347133979760691533e-02
5.551449999999999818e+01	4.995015250526720768e-02	2.369974300114265769e-02
5.651449999999999818e+01	5.045807097999402413e-02	2.394073400342816571e-02
5.751449999999999818e+01	5.099361686055955967e-02	2.419483332241193635e-02
5.851449999999999818e+01	5.152363816824560849e-02	2.444631140900965088e-02
5.951449999999999818e+01	5.208919761122722536e-02	2.471465119934603688e-02
6.051449999999999818e+01	5.257583108296790680e-02	2.494554315137344561e-02
6.151449999999999818e+01	5.306184590070305018e-02	2.517614157194594804e-02
6.251449999999999818e+01	5.363650872006464621e-02	2.544880062198079038e-02
6.351449999999999818e+01	5.411192353972692215e-02	2.567436968393194824e-02
6.451449999999999818e+01	5.471306690800509936e-02	2.595959290389172544e-02
6.551449999999999818e+01	5.519936728629985107e-02	2.619032681377776728e-02
6.651449999999999818e+01	5.569889675745812174e-02	2.642733750331868747e-02
6.751449999999999818e+01	5.625288564184695306e-02	2.669018743524072604e-02
6.851449999999999818e+01	5.671033996927171000e-02	2.690723482050313975e-02
6.951449999999999818e+01	5.731963502158039792e-02	2.719632575270922864e-02
7.051449999999999818e+01	5.776362459219849116e-02	2.740698454334508996e-02
7.151449999999999818e+01	5.835154659898476870e-02	2.768593465193747855e-02
7.251449999999999818e+01	5.878500824502461142e-02	2.789159828051024706e-02
7.351449999999999818e+01	5.942167581385671138e-02	2.819367659262135561e-02
7.451449999999999818e+01	5.994117508987757692e-02	2.844016231315395563e-02
7.551449999999999818e+01	6.046150958408207793e-02	2.868704431788809267e-02
7.651449999999999818e+01	6.100758118895734106e-02	2.894613775497820174e-02
7.751449999999999818e+01	6.148436146692363297e-02	2.917235468303709667e-02
7.851449999999999818e+01	6.207420954178995143e-02	2.945221864906955034e-02
7.951449999999999818e+01	6.261260747379876479e-02	2.970767117485734188e-02
8.051449999999999818e+01	6.302737365875839270e-02	2.990446440763217667e-02
8.151449999999999818e+01	6.361960345916013726e-02	3.018545842593191655e-02
8.251449999999999818e+01	6.407194520806754057e-02	3.040008005690015766e-02
8.351449999999999818e+01	6.470730329994479890e-02	3.070153706425562609e-02
8.451449999999999818e+01	6.530084880471576092e-02	3.098315534201907806e-02
