T	B30KUD3 Rho_mr	Err
3.227199999999999847e+00	-2.226047466000705179e-07	1.012893955612221716e-07
4.227199999999999847e+00	-9.173208844745483443e-08	4.173984577743199398e-08
5.227199999999999847e+00	-4.474682789590223327e-09	2.036065816242813694e-09
6.227199999999999847e+00	-1.088188767338961627e-07	4.951465958553820385e-08
7.227199999999999847e+00	1.180076875050897399e-07	5.369574333669820446e-08
8.227199999999999847e+00	2.636053379883781510e-08	1.199454448270333535e-08
9.227199999999999847e+00	-1.640605218460250164e-07	7.465065928309945947e-08
1.022719999999999985e+01	2.092875311005804315e-07	9.522980910089706424e-08
1.122719999999999985e+01	-1.421891668173569701e-06	6.469877656364096196e-07
1.222719999999999985e+01	-3.188258451014499625e-08	1.450718263327970358e-08
1.322719999999999985e+01	-2.973849569361661961e-08	1.353158142273630213e-08
1.422719999999999985e+01	-3.379864704525095419e-07	1.537902754675345733e-07
1.522719999999999985e+01	-9.448567133075941842e-08	4.299277838618148671e-08
1.622719999999999985e+01	-1.103103270796089290e-07	5.019329787305967262e-08
1.722719999999999985e+01	-4.727514993814783139e-07	2.151109280209583247e-07
1.822719999999999985e+01	-2.691370553237445662e-07	1.224624814754990704e-07
1.922719999999999985e+01	-2.058112933498272210e-07	9.364805477634314085e-08
2.022719999999999985e+01	-1.762643833771483373e-07	8.020364850224284085e-08
2.122719999999999985e+01	1.956103230078371687e-07	8.900641916048425635e-08
2.222719999999999985e+01	-9.327705798978567669e-08	4.244283631781043345e-08
2.322719999999999985e+01	2.617412535210385720e-08	1.190972509234634974e-08
2.422719999999999985e+01	-4.624830135676370322e-07	2.104385715806817444e-07
2.522719999999999985e+01	-3.559713584265838248e-07	1.619737417230995650e-07
2.622719999999999985e+01	-3.628803095903797277e-07	1.651174459703416297e-07
2.722719999999999985e+01	3.126594619623433925e-08	1.422660046668235175e-08
2.822719999999999985e+01	-4.768086392025659497e-07	2.169570038412715212e-07
2.922719999999999985e+01	9.415592171340127822e-09	4.284273603560774353e-09
3.022719999999999985e+01	1.160771966823826188e-03	5.281733327781571894e-04
3.122719999999999985e+01	5.924945342893186973e-02	2.695962874471514656e-02
3.222719999999999629e+01	1.274917319589663756e-01	5.801116403136467176e-02
3.322719999999999629e+01	1.515653065160342261e-01	6.896509854141455453e-02
3.422719999999999629e+01	1.662802113359592993e-01	7.566066023861803269e-02
3.522719999999999629e+01	1.782499603002252742e-01	8.110712378500534170e-02
3.622719999999999629e+01	1.854775184622703965e-01	8.439580027909811266e-02
3.722719999999999629e+01	1.910331840642236212e-01	8.692373384456296426e-02
3.822719999999999629e+01	1.961032785518452282e-01	8.923072331326510620e-02
3.922719999999999629e+01	2.005893152831044746e-01	9.127195538901702876e-02
4.022719999999999629e+01	2.046157604712396938e-01	9.310406456726075253e-02
4.122719999999999629e+01	2.078421102635793771e-01	9.457211511571682327e-02
4.222719999999999629e+01	2.110456377751838697e-01	9.602978109216221692e-02
4.322719999999999629e+01	2.141317935572937259e-01	9.743404069826702707e-02
4.422719999999999629e+01	2.171952414560655020e-01	9.882796778535364590e-02
4.522719999999999629e+01	2.198675734537185456e-01	1.000439296950405427e-01
4.622719999999999629e+01	2.224232025066602281e-01	1.012067895441893239e-01
4.722719999999999629e+01	2.251497271912917819e-01	1.024474101576627882e-01
4.822719999999999629e+01	2.276550530687585783e-01	1.035873811047711562e-01
4.922719999999999629e+01	2.300458538052969071e-01	1.046752409335031803e-01
5.022719999999999629e+01	2.324941239809260041e-01	1.057892504505848763e-01
5.122719999999999629e+01	2.346544682142689686e-01	1.067722481850968547e-01
5.222719999999999629e+01	2.369286566207008948e-01	1.078070471846603179e-01
5.322719999999999629e+01	2.393505377000822998e-01	1.089090491608015604e-01
5.422719999999999629e+01	2.418437550897146737e-01	1.100435105155376375e-01
5.522719999999999629e+01	2.441439507044164681e-01	1.110901432897447999e-01
5.622719999999999629e+01	2.462746594253759913e-01	1.120596563021998143e-01
5.722719999999999629e+01	2.485717591605169918e-01	1.131048803922965335e-01
5.822719999999999629e+01	2.509230832619157581e-01	1.141747776008547322e-01
5.922719999999999629e+01	2.532760045269749072e-01	1.152454015492701683e-01
6.022719999999999629e+01	2.554331586995665093e-01	1.162269477454378752e-01
6.122719999999999629e+01	2.576219088466027984e-01	1.172228707112052404e-01
6.222719999999999629e+01	2.599190220402610163e-01	1.182681009251834309e-01
6.322719999999999629e+01	2.624647701258630006e-01	1.194264647461716206e-01
6.422719999999999629e+01	2.647244695386229418e-01	1.204546709779089619e-01
6.522719999999999629e+01	2.668748807179681659e-01	1.214331489838397643e-01
6.622719999999999629e+01	2.690561002896774134e-01	1.224256453945369999e-01
6.722719999999999629e+01	2.712699407191792589e-01	1.234329849162593279e-01
6.822719999999999629e+01	2.735840636669988335e-01	1.244859548920528719e-01
6.922719999999999629e+01	2.759999079004005762e-01	1.255852099884006146e-01
7.022719999999999629e+01	2.782883706320552486e-01	1.266265040775609585e-01
7.122719999999999629e+01	2.804226352054434712e-01	1.275976350705339268e-01
7.222719999999999629e+01	2.827987015572263618e-01	1.286787904738274091e-01
7.322719999999999629e+01	2.850271304414704332e-01	1.296927680200554434e-01
7.422719999999999629e+01	2.873670096699359466e-01	1.307574575936489569e-01
7.522719999999999629e+01	2.895599156690825682e-01	1.317552715512066708e-01
7.622719999999999629e+01	2.919557356647532464e-01	1.328454152383534426e-01
7.722719999999999629e+01	2.941573487724576941e-01	1.338471910959890543e-01
7.822719999999999629e+01	2.964598251852655908e-01	1.348948616767349229e-01
7.922719999999999629e+01	2.988453541084176712e-01	1.359803227300609707e-01
8.022719999999999629e+01	3.010197435688627410e-01	1.369697113101654706e-01
8.122719999999999629e+01	3.033290647592677414e-01	1.380204963949646368e-01
8.222719999999999629e+01	3.055082322176678189e-01	1.390120590550573410e-01
8.322719999999999629e+01	3.080415892706874770e-01	1.401647847204364750e-01
8.422719999999999629e+01	3.104765378694163136e-01	1.412727326665375038e-01
8.522719999999999629e+01	3.126690211848466849e-01	1.422703542949612099e-01
8.622719999999999629e+01	3.149873900360612988e-01	1.433252562375930683e-01
8.722719999999999629e+01	3.172354792863152917e-01	1.443481796244650006e-01
8.822719999999999629e+01	3.195706337556142862e-01	1.454107193427321698e-01
8.922719999999999629e+01	3.219483355501868704e-01	1.464926189036152016e-01
9.022719999999999629e+01	3.241105120618407720e-01	1.474764503596243947e-01
9.122719999999999629e+01	3.263837247404729469e-01	1.485108053844721998e-01
9.222719999999999629e+01	3.286296316403810591e-01	1.495327357604096796e-01
9.322719999999999629e+01	3.310763536379018324e-01	1.506460408269924001e-01
9.422719999999999629e+01	3.332631151768505884e-01	1.516410589382395091e-01
9.522719999999999629e+01	3.354909763273453693e-01	1.526547781548084348e-01
9.622719999999999629e+01	3.377965238702771988e-01	1.537038461582000415e-01
9.722719999999999629e+01	3.399835961888215685e-01	1.546990056800768287e-01
9.822719999999999629e+01	3.424154903770460501e-01	1.558055638112772201e-01
9.922719999999999629e+01	3.446169729543870353e-01	1.568072802751136752e-01
1.002271999999999963e+02	3.468188353897520559e-01	1.578091695815792006e-01
1.012271999999999963e+02	3.489816607399765513e-01	1.587932962714844465e-01
1.022271999999999963e+02	3.512180840956593553e-01	1.598109114543407872e-01
1.032271999999999963e+02	3.534884852382612630e-01	1.608439871767952112e-01
1.042271999999999963e+02	3.556252667010504354e-01	1.618162634023385116e-01
1.052271999999999963e+02	3.580019377457419050e-01	1.628976939524118817e-01
1.062271999999999963e+02	3.602443819244355860e-01	1.639180487243059869e-01
1.072271999999999963e+02	3.625153418543236028e-01	1.649513787056085534e-01
1.082271999999999963e+02	3.647788923527949256e-01	1.659813372546253829e-01
1.092271999999999963e+02	3.670998823710379111e-01	1.670374318781323586e-01
1.102271999999999963e+02	3.693374350343594514e-01	1.680555609174533838e-01
1.112271999999999963e+02	3.714806925631349843e-01	1.690307838762510062e-01
1.122271999999999963e+02	3.736851609125421692e-01	1.700338589231926711e-01
1.132271999999999963e+02	3.760452936135228463e-01	1.711077642121759668e-01
1.142271999999999963e+02	3.781940771232350507e-01	1.720855015974515068e-01
1.152271999999999963e+02	3.804999018598599902e-01	1.731346957292480837e-01
1.162271999999999963e+02	3.828525946234515032e-01	1.742052157051476868e-01
1.172271999999999963e+02	3.851692868194808717e-01	1.752593547377658267e-01
1.182271999999999963e+02	3.876264285132604015e-01	1.763774009644186458e-01
1.192271999999999963e+02	3.899550518811584765e-01	1.774369689072706480e-01
1.202271999999999963e+02	3.921538639025948236e-01	1.784374702173535387e-01
1.212271999999999963e+02	3.943029466054996379e-01	1.794153437412249197e-01
1.222271999999999963e+02	3.964482409945980224e-01	1.803914935102280404e-01
1.232271999999999963e+02	3.987610131731511021e-01	1.814438488603020150e-01
1.242271999999999963e+02	4.009499501692693202e-01	1.824398568459572045e-01
1.252271999999999963e+02	4.031658453520202690e-01	1.834481313195069629e-01
1.262271999999999963e+02	4.055025089869819244e-01	1.845113577368679980e-01
1.272271999999999963e+02	4.078614900874977800e-01	1.855847390257265028e-01
1.282272000000000105e+02	4.102659975388400770e-01	1.866788356705140484e-01
1.292272000000000105e+02	4.126334921889844298e-01	1.877560907864544160e-01
1.302272000000000105e+02	4.148679774987627522e-01	1.887728241215458902e-01
1.312272000000000105e+02	4.169662721572246489e-01	1.897275881187700242e-01
1.322272000000000105e+02	4.191394795112322047e-01	1.907164388179516390e-01
1.332272000000000105e+02	4.213930510367506210e-01	1.917418567443889277e-01
1.342272000000000105e+02	4.236362123991265771e-01	1.927625378485054719e-01
1.352272000000000105e+02	4.259367440561827589e-01	1.938093235283783189e-01
1.362272000000000105e+02	4.282340153874193422e-01	1.948546256979638014e-01
1.372272000000000105e+02	4.305346614418724682e-01	1.959014634308290648e-01
1.382272000000000105e+02	4.329871128423680715e-01	1.970173754847879266e-01
1.392272000000000105e+02	4.353523362275228403e-01	1.980935971319390532e-01
1.402272000000000105e+02	4.375291470995411602e-01	1.990840875003855037e-01
1.412272000000000105e+02	4.396535639636564019e-01	2.000507375982510938e-01
1.422272000000000105e+02	4.418481636309345428e-01	2.010493222070367514e-01
1.432272000000000105e+02	4.440660622347692987e-01	2.020585082753019734e-01
1.442272000000000105e+02	4.463371746945201668e-01	2.030919076605945672e-01
1.452272000000000105e+02	4.486493880857870264e-01	2.041440087518203994e-01
1.462272000000000105e+02	4.509103974954078442e-01	2.051728110570568975e-01
1.472272000000000105e+02	4.531986909775801986e-01	2.062140281344821691e-01
1.482272000000000105e+02	4.556519167604565768e-01	2.073302925471596780e-01
1.492272000000000105e+02	4.579906659479665576e-01	2.083944679306153069e-01
1.502272000000000105e+02	4.601779441818259486e-01	2.093897211478787934e-01
1.512272000000000105e+02	4.623439884988107540e-01	2.103753125289124781e-01
1.522272000000000105e+02	4.644911264459636868e-01	2.113523011519107542e-01
1.532272000000000105e+02	4.667568812942804457e-01	2.123832627220529345e-01
1.542272000000000105e+02	4.689630042993732650e-01	2.133870906688173086e-01
1.552272000000000105e+02	4.711506617246050688e-01	2.143825164253707061e-01
1.562272000000000105e+02	4.734031544746682973e-01	2.154074434884482303e-01
1.572272000000000105e+02	4.758695007590199033e-01	2.165296779789619153e-01
1.582272000000000105e+02	4.781797561948353814e-01	2.175808881632002034e-01
1.592272000000000105e+02	4.805427400309453811e-01	2.186560907729204473e-01
1.602272000000000105e+02	4.826624666017767518e-01	2.196206066980921634e-01
1.612272000000000105e+02	4.848042718702616494e-01	2.205951688508230313e-01
1.622272000000000105e+02	4.869794239800211977e-01	2.215849044508778065e-01
1.632272000000000105e+02	4.891687613670294699e-01	2.225810946220068698e-01
1.642272000000000105e+02	4.913650593956655488e-01	2.235804520175277699e-01
1.652272000000000105e+02	4.936281435047483734e-01	2.246101983504980859e-01
1.662272000000000105e+02	4.958711332710287190e-01	2.256308013751259778e-01
1.672272000000000105e+02	4.980967346329394085e-01	2.266434923448884253e-01
1.682272000000000105e+02	5.004484503254283956e-01	2.277135677348441078e-01
1.692272000000000105e+02	5.027317091488187062e-01	2.287524939467210083e-01
1.702272000000000105e+02	5.049550873879778967e-01	2.297641733533286879e-01
1.712272000000000105e+02	5.070937687275399730e-01	2.307373140589556726e-01
1.722272000000000105e+02	5.092596326486293901e-01	2.317228233564242457e-01
1.732272000000000105e+02	5.114154031993686234e-01	2.327037399783206673e-01
1.742272000000000105e+02	5.136409385627808133e-01	2.337164009175105306e-01
1.752272000000000105e+02	5.158787804461886228e-01	2.347346615574742723e-01
1.762272000000000105e+02	5.180794475754164630e-01	2.357360069769024735e-01
1.772272000000000105e+02	5.203492591314328175e-01	2.367688144262414807e-01
1.782272000000000105e+02	5.226155067685375188e-01	2.378000002246592470e-01
1.792272000000000105e+02	5.248938541303426186e-01	2.388366916280565966e-01
