T	B32KOP1 Rho_mr
1.833099999999999952e+01	2.231518672734788496e-06
1.893058316633266358e+01	-4.963332136970472840e-06
1.953016633266533120e+01	-1.964986832640823450e-05
2.012974949899799526e+01	-2.105071098255825160e-05
2.072933266533065932e+01	3.845019357387149378e-06
2.132891583166332694e+01	-2.204704520610008104e-05
2.192849899799599100e+01	-7.479211323059296538e-06
2.252808216432865862e+01	7.959184730442929036e-06
2.312766533066132268e+01	-2.771297111330049698e-05
2.372724849699398675e+01	-1.886674322942382155e-05
2.432683166332665436e+01	5.572522529204024292e-06
2.492641482965931843e+01	-1.885728315909576921e-05
2.552599799599198604e+01	-3.230600619952003554e-05
2.612558116232465011e+01	-1.297094763195859001e-05
2.672516432865731417e+01	-8.198042299745147512e-07
2.732474749498997824e+01	-9.396916320781780591e-06
2.792433066132264585e+01	-1.371728216568344837e-05
2.852391382765531347e+01	-2.503581977612091462e-05
2.912349699398797753e+01	-1.729550621220359022e-05
2.972308016032064160e+01	7.293407767793066181e-06
3.032266332665330566e+01	-1.577114199582295906e-05
3.092224649298597328e+01	-3.317676783584602078e-05
3.152182965931863734e+01	-2.219965238048625354e-05
3.212141282565130496e+01	-4.473763347970046243e-06
3.272099599198396902e+01	6.283224895705665298e-06
3.332057915831663308e+01	-2.035298569837509943e-05
3.392016232464929715e+01	-2.154506869465560681e-05
3.451974549098196121e+01	-5.397626385386641843e-06
3.511932865731462527e+01	1.321461494161564870e-03
3.571891182364729644e+01	3.842462485323151072e-02
3.631849498997996051e+01	1.255241269040131835e-01
3.691807815631263168e+01	1.591721279099912734e-01
3.751766132264529574e+01	1.783345904618301447e-01
3.811724448897795980e+01	1.916764405590900833e-01
3.871682765531062387e+01	2.021593308392000132e-01
3.931641082164328793e+01	2.108026686812361494e-01
3.991599398797595200e+01	2.176981627573274514e-01
4.051557715430861606e+01	2.235172172785536426e-01
4.111516032064128012e+01	2.285963063379610194e-01
4.171474348697395129e+01	2.329256399207270678e-01
4.231432665330661536e+01	2.365849211766423710e-01
4.291390981963927942e+01	2.399708803149739889e-01
4.351349298597195059e+01	2.430826668101517540e-01
4.411307615230461465e+01	2.457176447970131905e-01
4.471265931863727872e+01	2.481688045334468073e-01
4.531224248496994278e+01	2.504868350136543187e-01
4.591182565130260684e+01	2.525929296263290103e-01
4.651140881763527091e+01	2.545526920415807082e-01
4.711099198396793497e+01	2.564635488569245170e-01
4.771057515030059903e+01	2.582907912652781524e-01
4.831015831663327020e+01	2.598924252867209073e-01
4.890974148296593427e+01	2.615139186983552744e-01
4.950932464929860544e+01	2.630643881432693787e-01
5.010890781563126950e+01	2.646221269431329182e-01
5.070849098196393356e+01	2.659927823752294973e-01
5.130807414829659763e+01	2.673633190356446976e-01
5.190765731462926169e+01	2.686933869890369975e-01
5.250724048096192575e+01	2.700084760916787729e-01
5.310682364729458982e+01	2.713476189337075128e-01
5.370640681362725388e+01	2.727143958648815536e-01
5.430598997995991795e+01	2.740976918570757204e-01
5.490557314629258201e+01	2.754254291049527681e-01
5.550515631262526028e+01	2.766609542963758828e-01
5.610473947895792435e+01	2.778467270069910344e-01
5.670432264529058841e+01	2.790217118799407925e-01
5.730390581162325248e+01	2.802425583169289580e-01
5.790348897795591654e+01	2.815099689811524364e-01
5.850307214428858060e+01	2.827402581998739728e-01
5.910265531062124467e+01	2.839468937472607868e-01
5.970223847695390873e+01	2.851931841239326304e-01
6.030182164328657279e+01	2.864532159591988147e-01
6.090140480961923686e+01	2.875994763230227402e-01
6.150098797595191513e+01	2.887415956869702760e-01
6.210057114228457920e+01	2.899050745928589690e-01
6.270015430861724326e+01	2.911096450953850057e-01
6.329973747494990732e+01	2.923207724206418612e-01
6.389932064128257139e+01	2.935114312008306192e-01
6.449890380761523545e+01	2.947566588694998657e-01
6.509848697394789951e+01	2.960263099814742227e-01
6.569807014028056358e+01	2.971590482092582586e-01
6.629765330661322764e+01	2.983522669218060530e-01
6.689723647294589171e+01	2.995267408776967621e-01
6.749681963927855577e+01	3.006889033471479289e-01
6.809640280561123404e+01	3.019072683071257757e-01
6.869598597194389811e+01	3.031248064095012351e-01
6.929556913827656217e+01	3.044033862694539572e-01
6.989515230460922623e+01	3.056583637280521071e-01
