T	B32KOP4 Rho_mr	Err
2.974399999999999977e+01	7.048111788834089967e-07	3.938649052494918734e-07
3.074399999999999977e+01	-1.231867738882362353e-06	6.883963886944366499e-07
3.174399999999999977e+01	2.774359970561185922e-07	1.550376979922766524e-07
3.274399999999999977e+01	2.143861395490587255e-06	1.198039688786809308e-06
3.374399999999999977e+01	1.075099448940840252e-02	6.007906163771441210e-03
3.474399999999999977e+01	5.181088300980869754e-02	2.895312835400767892e-02
3.574399999999999977e+01	7.408902362037207701e-02	4.140267229372703028e-02
3.674399999999999977e+01	8.945915381115511489e-02	4.999185908962281571e-02
3.774399999999999977e+01	9.927518936917288650e-02	5.547728842278023403e-02
3.874399999999999977e+01	1.070735229914701742e-01	5.983517891213943618e-02
3.974399999999999977e+01	1.133004065360096735e-01	6.331490649131189807e-02
4.074399999999999977e+01	1.185195183138049724e-01	6.623146773130877962e-02
4.174399999999999977e+01	1.227241195412250713e-01	6.858109684285790264e-02
4.274399999999999977e+01	1.265902396620248449e-01	7.074157482715198730e-02
4.374399999999999977e+01	1.297911809228824431e-01	7.253033536925089508e-02
4.474399999999999977e+01	1.328817698427536831e-01	7.425742845256248781e-02
4.574399999999999977e+01	1.355630823556547848e-01	7.575580834561573829e-02
4.674399999999999977e+01	1.381190728219936770e-01	7.718415535968843610e-02
4.774399999999999977e+01	1.404169774421301364e-01	7.846827799082527199e-02
4.874399999999999977e+01	1.428659777353378235e-01	7.983683640382935320e-02
4.974399999999999977e+01	1.448827725271079336e-01	8.096386831445631649e-02
5.074399999999999977e+01	1.469399956277153974e-01	8.211349250583405146e-02
5.174399999999999977e+01	1.489522268777241087e-01	8.323797420301758121e-02
5.274399999999999977e+01	1.509670192169484670e-01	8.436388709651508611e-02
5.374399999999999977e+01	1.530761545270074853e-01	8.554252103982286359e-02
5.474399999999999977e+01	1.549921143016091685e-01	8.661320399391682356e-02
5.574399999999999977e+01	1.569526727578820502e-01	8.770880973024941518e-02
5.674399999999999977e+01	1.587271847026236471e-01	8.870044834200779826e-02
5.774399999999999977e+01	1.606704356723413218e-01	8.978638225167760722e-02
5.874399999999999977e+01	1.627208782563031031e-01	9.093221733240242077e-02
5.974399999999999977e+01	1.645133156290801979e-01	9.193387309091768933e-02
6.074399999999999977e+01	1.663283809840820637e-01	9.294817389301622546e-02
6.174399999999999977e+01	1.681685185580833186e-01	9.397648563514585107e-02
6.274399999999999977e+01	1.701079718234665139e-01	9.506029729916648519e-02
6.374399999999999977e+01	1.720622038475795867e-01	9.615236767783470750e-02
6.474399999999999977e+01	1.739111306385218159e-01	9.718559103913468333e-02
6.574399999999999977e+01	1.757135269241036080e-01	9.819281207011684720e-02
6.674399999999999977e+01	1.775466239676941338e-01	9.921718939984466856e-02
6.774399999999999977e+01	1.794782314263204115e-01	1.002966166442824519e-01
6.874399999999999977e+01	1.813881664179209374e-01	1.013639328092887787e-01
6.974399999999999977e+01	1.832289559055407246e-01	1.023926088559346803e-01
7.074399999999999977e+01	1.851510938258712213e-01	1.034667443017810301e-01
7.174399999999999977e+01	1.869945751905579545e-01	1.044969246320389122e-01
7.274399999999999977e+01	1.888704147728779148e-01	1.055451874880908997e-01
7.374399999999999977e+01	1.908674896169820223e-01	1.066611994325883245e-01
7.474399999999999977e+01	1.927896277081493637e-01	1.077353349739022942e-01
7.574399999999999977e+01	1.946233372020340358e-01	1.087600545551214576e-01
7.674399999999999977e+01	1.965283599981610674e-01	1.098246256708682034e-01
7.774399999999999977e+01	1.984302564789791334e-01	1.108874497287931638e-01
7.874399999999999977e+01	2.004038773688418817e-01	1.119903550573035922e-01
7.974399999999999977e+01	2.023748156312356883e-01	1.130917612710928555e-01
8.074399999999999977e+01	2.042798384273628032e-01	1.141563323868396845e-01
8.174399999999999977e+01	2.062451939838475801e-01	1.152546188545185285e-01
8.274399999999999977e+01	2.082024928720277168e-01	1.163484030682696846e-01
8.374399999999999977e+01	2.102393129214132905e-01	1.174866255593380593e-01
8.474399999999999977e+01	2.122659032570990700e-01	1.186191314480910669e-01
8.574399999999999977e+01	2.141521681613717532e-01	1.196732202169068227e-01
8.674399999999999977e+01	2.161240033175017838e-01	1.207751276358089570e-01
8.774399999999999977e+01	2.181572980253854988e-01	1.219113800839236872e-01
