min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.406260000000000000e+03,-8.216354999999999600e-01,-8.235122999999999700e-01,-2.500887000000000000e-01,-2.500887000000000000e-01,3.200000000000000000e+01,1.801119000000000000e-02,-1.956861999999999900e+04,8.139762000000000400e-01,0.000000000000000000e+00,1.406260000000000100e+00,1.406260000000000100e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.406260000000000000e+03,-8.216354999999999600e-01,-8.235122999999999700e-01,2.500887000000000000e-01,2.500887000000000000e-01,7.700000000000000000e+01,1.801119000000000000e-02,-1.956861999999999900e+04,8.139762000000000400e-01,0.000000000000000000e+00,1.406260000000000100e+00,1.406260000000000100e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.406751000000000000e+03,-8.198581000000000300e-01,-8.194660999999999800e-01,-2.527196999999999900e-01,-2.383794999999999900e-01,3.300000000000000000e+01,1.801093000000000100e-02,-2.297127000000000000e+04,8.236689000000000400e-01,0.000000000000000000e+00,1.406751000000000100e+00,1.406536745008948800e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.406886000000000000e+03,-8.172663999999999500e-01,-8.229079999999999700e-01,2.523477000000000100e-01,2.666709999999999900e-01,7.800000000000000000e+01,1.801093000000000100e-02,-2.477818999999999900e+04,8.202753999999999900e-01,0.000000000000000000e+00,1.406885999999999900e+00,1.406671724447794600e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.406788000000000000e+03,8.147379999999999600e-01,8.224759000000000400e-01,-2.524168000000000000e-01,-2.667325999999999900e-01,3.100000000000000000e+01,1.801093000000000100e-02,-2.310350000000000000e+04,8.209296999999999800e-01,0.000000000000000000e+00,1.406787999999999900e+00,1.406573739373669300e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.406904000000000000e+03,8.195143000000000300e-01,8.176533000000000300e-01,2.523634000000000200e-01,2.380549000000000100e-01,7.600000000000000000e+01,1.801093000000000100e-02,-2.443856000000000100e+04,8.226978999999999800e-01,0.000000000000000000e+00,1.406903999999999900e+00,1.406689721706307500e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.406516000000000100e+03,8.167457999999999700e-01,-8.214839000000000400e-01,-2.491458000000000000e-01,-2.347710000000000100e-01,3.400000000000000000e+01,1.801093000000000100e-02,-2.233174000000000200e+04,8.221842999999999800e-01,0.000000000000000000e+00,1.406516000000000100e+00,1.406301780800586900e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.407457000000000100e+03,8.180332000000000200e-01,-8.198585999999999900e-01,2.552324000000000300e-01,2.695020000000000200e-01,7.800000000000000000e+01,1.801093000000000100e-02,-3.014743999999999900e+04,8.236976000000000300e-01,0.000000000000000000e+00,1.407457000000000200e+00,1.407242637481729100e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.406565000000000100e+03,-8.211235999999999500e-01,8.184225000000000500e-01,-2.488018999999999900e-01,-2.630473999999999900e-01,3.100000000000000000e+01,1.801093000000000100e-02,-2.321391999999999800e+04,8.202675000000000400e-01,0.000000000000000000e+00,1.406565000000000100e+00,1.406350773337649500e+00
1.000000000000000000e+00,0.000000000000000000e+00,-1.745241000000000200e-02,9.998477000000000100e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.407368999999999900e+03,-8.194097999999999700e-01,8.219075000000000100e-01,2.537042999999999900e-01,2.393213999999999900e-01,7.600000000000000000e+01,1.801093000000000100e-02,-2.825529000000000100e+04,8.235755999999999600e-01,0.000000000000000000e+00,1.407368999999999900e+00,1.407154650884555200e+00
