Run=1 T=0.100K BTarget=18.00T Rate=0.15T/min Mangle=26.43 deg
Field(T)	Vx1	Vy1	Vx2	Vy2	Tcx	TRox	Time(mins)	MField(T)
-2.25000000000000E-0002	 5.02208000000000E-0003	-1.10150000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26100000000000E-0001	 3.27700000000000E-0001	 2.06240038887624E-0002	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02303000000000E-0003	-1.10150000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.28000000000000E-0001	 4.51586956815275E-0002	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02303000000000E-0003	-1.10055000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.27600000000000E-0001	 6.94422522043072E-0002	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02113000000000E-0003	-1.10341000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26300000000000E-0001	 3.28000000000000E-0001	 9.40283983951405E-0002	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.01826000000000E-0003	-1.10055000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26400000000000E-0001	 3.27700000000000E-0001	 1.18311908357067E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.01922000000000E-0003	-1.10150000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.27700000000000E-0001	 1.42546599265177E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02017000000000E-0003	-1.10436000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26100000000000E-0001	 3.27700000000000E-0001	 1.66914863946861E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02303000000000E-0003	-1.10245000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.27500000000000E-0001	 1.91283058787267E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02113000000000E-0003	-1.10341000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26300000000000E-0001	 3.27500000000000E-0001	 2.15451125771572E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.01731000000000E-0003	-1.10341000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26400000000000E-0001	 3.27700000000000E-0001	 2.39852471938938E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02208000000000E-0003	-1.10150000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26300000000000E-0001	 3.27700000000000E-0001	 2.64371915052518E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02494000000000E-0003	-1.10341000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.27500000000000E-0001	 2.88640050620959E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02303000000000E-0003	-1.10436000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26200000000000E-0001	 3.27900000000000E-0001	 3.12841445863464E-0001	 0.00000000000000E+0000
-2.25000000000000E-0002	 5.02113000000000E-0003	-1.10150000000000E-0003	 1.97984000000000E-0003	-8.36854000000000E-0005	 3.26300000000000E-0001	 3.27400000000000E-0001	 3.37109465029773E-0001	 0.00000000000000E+0000
