file FFTd=BaFe2P2_00828a_1.dat
Selected B range, Bmin=4.000 T Bmax=5.000 T
Subtracted Poly order =3
Padding =8
F[T]	Amp
 0.00000000000000E+0000	 0.00000000000000E+0000
 1.51794433593750E+0000	 5.55694499928747E-0005
 3.03588867187500E+0000	 9.62886989730487E-0005
 4.55383300781250E+0000	 1.39790767687377E-0004
 6.07177734375000E+0000	 1.83960758698416E-0004
 7.58972167968750E+0000	 2.28229313349943E-0004
 9.10766601562500E+0000	 2.72338460283642E-0004
 1.06256103515625E+0001	 3.16116597336855E-0004
 1.21435546875000E+0001	 3.59416554039220E-0004
 1.36614990234375E+0001	 4.02093343074463E-0004
 1.51794433593750E+0001	 4.43994578713263E-0004
 1.66973876953125E+0001	 4.84955890868022E-0004
 1.82153320312500E+0001	 5.24798742554801E-0004
 1.97332763671875E+0001	 5.63329663558791E-0004
 2.12512207031250E+0001	 6.00340492127944E-0004
 2.27691650390625E+0001	 6.35609444552157E-0004
 2.42871093750000E+0001	 6.68902925084288E-0004
 2.58050537109375E+0001	 6.99978023183190E-0004
 2.73229980468750E+0001	 7.28585652209166E-0004
 2.88409423828125E+0001	 7.54474276950225E-0004
 3.03588867187500E+0001	 7.77394163354791E-0004
 3.18768310546875E+0001	 7.97102066389395E-0004
 3.33947753906250E+0001	 8.13366253553678E-0004
 3.49127197265625E+0001	 8.25971744167106E-0004
 3.64306640625000E+0001	 8.34725629611025E-0004
 3.79486083984375E+0001	 8.39462328490176E-0004
 3.94665527343750E+0001	 8.40048624114887E-0004
 4.09844970703125E+0001	 8.36388330460193E-0004
 4.25024414062500E+0001	 8.28426437203072E-0004
 4.40203857421875E+0001	 8.16152594662622E-0004
 4.55383300781250E+0001	 7.99603815296959E-0004
 4.70562744140625E+0001	 7.78866289450009E-0004
 4.85742187500000E+0001	 7.54076238737857E-0004
 5.00921630859375E+0001	 7.25419760199504E-0004
 5.16101074218750E+0001	 6.93131647568348E-0004
 5.31280517578125E+0001	 6.57493212505465E-0004
 5.46459960937500E+0001	 6.18829168814790E-0004
 5.61639404296875E+0001	 5.77503688372484E-0004
 5.76818847656250E+0001	 5.33915793413563E-0004
 5.91998291015625E+0001	 4.88494326472689E-0004
 6.07177734375000E+0001	 4.41692860037734E-0004
 6.22357177734375E+0001	 3.93985125848905E-0004
 6.37536621093750E+0001	 3.45861985060987E-0004
 6.52716064453125E+0001	 2.97831947223939E-0004
 6.67895507812500E+0001	 2.50429671683914E-0004
 6.83074951171875E+0001	 2.04243493071434E-0004
 6.98254394531250E+0001	 1.59993291648254E-0004
 7.13433837890625E+0001	 1.18761272173672E-0004
 7.28613281250000E+0001	 8.27576761830866E-0005
 7.43792724609375E+0001	 5.78429838343231E-0005
 7.58972167968750E+0001	 5.51291404489385E-0005
 7.74151611328125E+0001	 7.30319416126135E-0005
 7.89331054687500E+0001	 9.81020776792160E-0005
 8.04510498046875E+0001	 1.23785092522599E-0004
