min F=100; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)]
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.326396000000000186e+03,8.170095000000000551e-01,8.201500999999999930e-01,-3.096361000000000165e-03,-3.096361000000000165e-03,5.400000000000000000e+01,1.801118999999999984e-02,-1.446488999999999942e+04,1.447739000000000109e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.325969000000000051e+03,-8.161882000000000303e-01,-8.182700000000000529e-01,-1.625937000000000042e-03,-1.625937000000000042e-03,5.400000000000000000e+01,1.801118999999999984e-02,-1.604784000000000015e+04,1.466752000000000056e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.326255000000000109e+03,-8.156634000000000384e-01,-8.221823000000000325e-01,-8.480169999999999549e-04,1.081123999999999974e-02,5.600000000000000000e+01,1.799419000000000018e-02,-1.324526000000000022e+04,1.491755999999999915e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,2.326338999999999942e+03,8.183709000000000122e-01,-8.206980999999999860e-01,5.044009000000000409e-01,5.209097000000000310e-01,1.010000000000000000e+02,1.799419000000000018e-02,-2.125968000000000029e+04,1.497928000000000037e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.325728000000000065e+03,-8.198294999999999888e-01,8.181656999999999957e-01,-5.095401999999999987e-01,-5.260091000000000072e-01,8.000000000000000000e+00,1.799419000000000018e-02,-1.809916999999999825e+04,1.498664000000000107e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.326284999999999854e+03,-8.194749999999999535e-01,8.211199000000000137e-01,5.051752999999999938e-01,4.885020999999999947e-01,9.800000000000000000e+01,1.799419000000000018e-02,-2.087779999999999927e+04,1.498077999999999910e-01,0.000000000000000000e+00
1.000000000000000000e+00,3.030578999999999825e-03,-1.718727000000000102e-02,9.998477000000000059e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.326471000000000004e+03,8.178881000000000068e-01,8.166016000000000385e-01,-2.549445999999999917e-03,-1.410552999999999980e-02,5.300000000000000000e+01,1.799419000000000018e-02,-1.422311000000000058e+04,1.496289000000000091e-01,0.000000000000000000e+00
2.000000000000000000e+00,6.060234000000000280e-03,-3.436928999999999679e-02,9.993908000000000236e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.326791999999999916e+03,-8.184805000000000552e-01,-8.210859999999999825e-01,-2.001160999999999999e-03,2.126002000000000100e-02,5.600000000000000000e+01,1.797690999999999872e-02,-1.258363999999999942e+04,1.500612000000000057e-01,0.000000000000000000e+00
2.000000000000000000e+00,6.060234000000000280e-03,-3.436928999999999679e-02,9.993908000000000236e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,2.327092999999999847e+03,8.176949999999999497e-01,8.175362000000000462e-01,-4.167134999999999763e-03,-2.730731999999999951e-02,5.200000000000000000e+01,1.797690999999999872e-02,-1.456369000000000051e+04,1.508607999999999894e-01,0.000000000000000000e+00
3.000000000000000000e+00,9.088043000000000510e-03,-5.154086000000000084e-02,9.986294999999999478e-01,3.000000000000000000e+00,2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,2.328146000000000186e+03,-8.198562999999999823e-01,-8.183491999999999988e-01,-3.964737000000000296e-03,3.076821999999999890e-02,5.700000000000000000e+01,1.795936000000000060e-02,-1.349972999999999956e+04,1.511418999999999957e-01,0.000000000000000000e+00
