Angle	Freq	Sheet	Upper	Lower	Average	Stdev
12	1210	alpha1	17	11	1.75130211563	0.0299693961831
28	1269	alpha1	17	11	1.72144412106	0.0181406611688
12	1270	delta	17	12	1.7094013634	0.0125593897581
46	1320	gamma1	16.8	11.3	2.00448618043	0.367040434119
28	1365	alpha3	17	9.5	1.96862597164	0.030198328601
12	1372	alpha2	17	8	1.56512790839	0.0137107006809
28	1530	alpha2	17	8	1.75263937567	0.017155656704
46	1532	alpha1	17	9	1.92102386609	0.0247758598737
46	1626	delta	17	10.5	2.1695553593	0.149254652165
46	1930	alpha3	17	10.7	2.7518294178	0.238008727409
46	2017	alpha2	16.8	10.5	2.55046461928	0.108499108144
12	2180	beta1	17	8	1.62918223746	0.0192356969693
12	2350	beta2	17	9	1.57544416456	0.034788645489
28	2475	beta3	17	8	1.59276223622	0.0175060817763
28	2605	beta2	17	8.5	1.80566636287	0.0205457325155
46	2970	beta3	17	8.5	1.85594108703	0.0137750983445
46	3347	beta2	17.3	10	2.86103416098	0.0802444569947
46	3381	beta2	17.3	10	2.78130829555	0.313626623618
46	4497	gamma2	16.8	12.2	3.30973498648	0.133227404512
28	912	gamma1	16.8	11.3	2.17377235831	0.182546089191
