B[T]	M*	Amp-other
6.009999999999999800e+00	3.035329072589850000e-05	2.929296056444023800e-05
6.092710000000000300e+00	3.870561116277359100e-06	1.554264505275551800e-05
6.177730000000000400e+00	1.391525477297743200e-06	2.251384365818502000e-06
6.265150000000000200e+00	3.584073389461877800e-06	1.128258894977126400e-06
6.355080000000000100e+00	-2.094799103348847600e-05	7.753006785042447900e-07
6.447639999999999800e+00	-1.899781350138483400e-05	5.920315923981639800e-07
6.542930000000000100e+00	9.966768005053859300e-06	4.581384299092137100e-07
6.641070000000000000e+00	-1.353485343399464000e-05	3.920718203509937000e-07
6.742210000000000000e+00	5.835282939435438400e-06	3.558296088640762900e-07
6.846479999999999700e+00	-1.597686606145841100e-04	3.342090510371349500e-07
6.954019999999999900e+00	-1.921409420001617400e-01	3.405549092999172000e-07
7.064989999999999900e+00	1.830072215480206000e-05	3.427934512058480500e-07
7.179560000000000400e+00	-1.472238064123829200e-01	3.498050151802758800e-07
7.297909999999999900e+00	-1.992843986828119800e-01	3.625417661000541400e-07
7.420230000000000100e+00	-1.972170292217821100e-01	3.521500954785479000e-07
7.546710000000000000e+00	-4.240774650088904700e-05	3.379404334034894400e-07
7.677590000000000400e+00	-2.581632196822260300e-05	3.294047835858099600e-07
7.813080000000000200e+00	4.010113070896914200e-05	3.315966147417687000e-07
7.953439999999999600e+00	-3.226275368329777300e-01	3.597297391052917100e-07
8.098940000000000700e+00	-3.719835658123554200e-01	3.751000647633920800e-07
8.249860000000000000e+00	-3.919597024372032400e-01	3.784180027684160400e-07
8.406510000000000800e+00	-4.696729523538170100e-01	3.766504463649562700e-07
8.569219999999999600e+00	-4.865173631578539300e-01	3.613587498326732100e-07
8.738360000000000100e+00	-4.730256483333230000e-01	3.461189821333867200e-07
8.914310000000000400e+00	4.895910614795819200e-01	3.241684498293461700e-07
9.097490000000000500e+00	5.220755045146238100e-01	2.985105428681851100e-07
9.288349999999999400e+00	5.818278936184567700e-01	2.830773411573402900e-07
9.487399999999999200e+00	5.941208797712906900e-01	2.666338584826701000e-07
9.695169999999999200e+00	-4.746601732811751000e-01	2.711836366691506100e-07
9.912229999999999200e+00	-5.967775863350423000e-01	3.458769423095888400e-07
1.013925000000000100e+01	7.768242666640080600e-01	4.584891387087499700e-07
1.037689999999999900e+01	8.961695137176626200e-01	5.546739316774097800e-07
1.062595999999999900e+01	1.036792952221129700e+00	6.214582395518396600e-07
1.088726999999999900e+01	1.233704564024995700e+00	6.594566262740014900e-07
1.116175000000000000e+01	1.392749693399353500e+00	6.624689167874740500e-07
1.145044000000000000e+01	1.393822097612007500e+00	6.332605085701271100e-07
1.175445000000000000e+01	1.406846462867654200e+00	6.204438085372182700e-07
1.207504999999999900e+01	1.589580904441531000e+00	6.527898934729561900e-07
1.241362999999999900e+01	2.190840208387544700e+00	8.443292873935507200e-07
1.277173999999999900e+01	2.689706302091015000e+00	1.177611328274707200e-06
1.315113000000000000e+01	2.525846964017213600e+00	1.370623434977770900e-06
1.355373999999999900e+01	2.220229558951099900e+00	1.497498382496833200e-06
1.398179000000000000e+01	2.063417683445769600e+00	1.634283971073657300e-06
1.443776000000000100e+01	1.983541859389761100e+00	1.742153385209281700e-06
1.492446000000000000e+01	1.917703994737361500e+00	1.792505825286157400e-06
1.544513000000000100e+01	1.933710731642214400e+00	1.833421459119865000e-06
1.600344000000000100e+01	2.094476098750091000e+00	1.939171591273083800e-06
1.660361999999999900e+01	2.048597479250907000e+00	2.161398907429702900e-06
1.725057999999999900e+01	1.725961457274034700e+00	4.208652607139125800e-06
1.794999999999999900e+01	1.710766572945636300e+00	1.266058361059343100e-05
