B[T]	M*	Amp-other
6.009999999999999800e+00	-4.082961975317601600e-01	2.194608719113476100e-04
6.092710000000000300e+00	-4.942036251221501400e-05	1.464597324479070900e-05
6.177730000000000400e+00	-5.394558835643764600e-01	3.106694058585704700e-06
6.265150000000000200e+00	-3.283457348076976300e-01	1.321550483546728500e-06
6.355080000000000100e+00	4.544900565995951200e-05	7.640382715348080600e-07
6.447639999999999800e+00	-2.096752769628189300e-01	6.414748074462788000e-07
6.542930000000000100e+00	-4.443659915009907600e-01	6.711400180414643000e-07
6.641070000000000000e+00	5.743114298035716400e-01	6.848281261833864000e-07
6.742210000000000000e+00	-5.472001555736293300e-01	5.659330825645024600e-07
6.846479999999999700e+00	-6.615354089632655700e-01	5.737610950766850900e-07
6.954019999999999900e+00	-7.598238506336960600e-01	6.589009753694037700e-07
7.064989999999999900e+00	-7.215747549012844200e-01	7.663217575139816200e-07
7.179560000000000400e+00	-7.838421047264227900e-01	9.198314914132501800e-07
7.297909999999999900e+00	9.429842399889788500e-01	1.109375436048410200e-06
7.420230000000000100e+00	1.093540055122711900e+00	1.278477793575427300e-06
7.546710000000000000e+00	1.232696981488592600e+00	1.427242845585081600e-06
7.677590000000000400e+00	1.409207445806041300e+00	1.623862212897236800e-06
7.813080000000000200e+00	1.579904158000122100e+00	1.907619545146228600e-06
7.953439999999999600e+00	1.626415530445403800e+00	2.181164993621953400e-06
8.098940000000000700e+00	1.583228596104868400e+00	2.377475094173034200e-06
8.249860000000000000e+00	1.550252522432257600e+00	2.561770994698941700e-06
8.406510000000000800e+00	1.566172532685716100e+00	2.797298028407532900e-06
8.569219999999999600e+00	1.650306788292219100e+00	3.134168298087824600e-06
8.738360000000000100e+00	1.788039799043532400e+00	3.583162820807340200e-06
8.914310000000000400e+00	1.934638799263612900e+00	4.088909493803587300e-06
9.097490000000000500e+00	2.031276739513178800e+00	4.541714299429891600e-06
9.288349999999999400e+00	2.056180938030653000e+00	4.882436506510578900e-06
9.487399999999999200e+00	2.028110391396547000e+00	5.143030929353998400e-06
9.695169999999999200e+00	1.991871982572201500e+00	5.422677939352768400e-06
9.912229999999999200e+00	1.985755900816204900e+00	5.792263491760639200e-06
1.013925000000000100e+01	1.991703627106759000e+00	6.171771660339862700e-06
1.037689999999999900e+01	1.994633151980904600e+00	6.469489965080884400e-06
1.062595999999999900e+01	1.999540627259277300e+00	6.696075379834171500e-06
1.088726999999999900e+01	1.987246344483325500e+00	6.889223997907198300e-06
1.116175000000000000e+01	1.947373453113920000e+00	7.070540418781855600e-06
1.145044000000000000e+01	1.913512841522389700e+00	7.256162101160891900e-06
1.175445000000000000e+01	1.907136267120896900e+00	7.428751905396543800e-06
1.207504999999999900e+01	1.923498477732755100e+00	7.555414180012574900e-06
1.241362999999999900e+01	1.951180251480517000e+00	7.662558674740630300e-06
1.277173999999999900e+01	1.973704551522228500e+00	7.914011866762500300e-06
1.315113000000000000e+01	1.974128914075237200e+00	8.612957642192438100e-06
1.355373999999999900e+01	1.957112027342668500e+00	1.006196168604094500e-05
1.398179000000000000e+01	1.944514506701065000e+00	1.241243893890566500e-05
1.443776000000000100e+01	1.948532292732685100e+00	1.570792323044606300e-05
1.492446000000000000e+01	1.967277880596189700e+00	2.000918715179154600e-05
1.544513000000000100e+01	1.992553576279131300e+00	2.556635313691749000e-05
1.600344000000000100e+01	2.012530482007248700e+00	3.329511518394495500e-05
1.660361999999999900e+01	2.008712276349202200e+00	4.714236701367360600e-05
1.725057999999999900e+01	1.955524743235004000e+00	9.091042371460381700e-05
1.794999999999999900e+01	1.931733192876379200e+00	2.087617081123728200e-04
