B[T]	M*	Amp-other
6.009999999999999800e+00	1.436087037477716800e+00	3.823583870084073200e-04
6.092710000000000300e+00	1.403718551969481000e+00	8.593053188843108400e-05
6.177730000000000400e+00	1.391218237111738100e+00	1.553370804693581500e-05
6.265150000000000200e+00	1.463822057458380700e+00	6.749460064544911900e-06
6.355080000000000100e+00	1.508775307291235800e+00	4.181084962517755600e-06
6.447639999999999800e+00	1.337509567457545900e+00	2.868728636470926900e-06
6.542930000000000100e+00	1.259923390090571700e+00	2.042366700411508500e-06
6.641070000000000000e+00	1.260361236784569600e+00	1.476575233216163700e-06
6.742210000000000000e+00	1.146264312229200400e+00	1.124602570848079000e-06
6.846479999999999700e+00	9.954582471703044000e-01	8.426345305982057900e-07
6.954019999999999900e+00	9.901416428290708000e-01	6.948583358761166300e-07
7.064989999999999900e+00	1.007207447032425900e+00	7.597994930794100500e-07
7.179560000000000400e+00	9.246810219996288700e-01	7.191230223815667400e-07
7.297909999999999900e+00	9.335596871955039700e-01	6.951551989265699100e-07
7.420230000000000100e+00	1.315347710211637100e+00	9.581868945914906100e-07
7.546710000000000000e+00	1.464563535181640000e+00	1.169113868458109200e-06
7.677590000000000400e+00	1.531328110696519800e+00	1.190724675616188200e-06
7.813080000000000200e+00	1.626530689584054800e+00	1.311641404603774300e-06
7.953439999999999600e+00	1.956687718159138400e+00	1.878733085464797000e-06
8.098940000000000700e+00	2.110724091131838800e+00	2.293076884449804700e-06
8.249860000000000000e+00	1.995412842339538300e+00	2.127724386436498700e-06
8.406510000000000800e+00	1.818382585993785900e+00	1.702294760507521000e-06
8.569219999999999600e+00	1.438203324021056100e+00	1.292765486972194400e-06
8.738360000000000100e+00	1.204337229512715700e+00	1.136036914167857000e-06
8.914310000000000400e+00	1.223355241812702500e+00	1.103061161345379300e-06
9.097490000000000500e+00	1.367211950134489000e+00	1.006889597341766000e-06
9.288349999999999400e+00	2.207692144927057200e+00	1.183367595400788700e-06
9.487399999999999200e+00	3.488416961156792800e+00	2.005638890430536400e-06
9.695169999999999200e+00	2.857179094905554000e+00	1.978976628129687000e-06
9.912229999999999200e+00	2.477131920377404900e+00	2.455805172266639600e-06
1.013925000000000100e+01	2.474148720049341100e+00	3.405492128535543900e-06
1.037689999999999900e+01	2.480939104809230900e+00	4.270693384240353400e-06
1.062595999999999900e+01	2.483942361199790800e+00	4.951370515715305400e-06
1.088726999999999900e+01	2.441428446924347900e+00	5.523857436326834400e-06
1.116175000000000000e+01	2.427962709704263800e+00	6.226942027031221300e-06
1.145044000000000000e+01	2.470233160700147800e+00	6.978605274679395700e-06
1.175445000000000000e+01	2.588810408367008700e+00	7.731454298171455200e-06
1.207504999999999900e+01	2.766425555727407100e+00	8.518355194117195000e-06
1.241362999999999900e+01	2.937940185185514300e+00	9.249568361142206900e-06
1.277173999999999900e+01	3.079548642682400600e+00	9.724305249286868100e-06
1.315113000000000000e+01	3.230610081787385300e+00	9.881182008897724000e-06
1.355373999999999900e+01	3.445409633364683500e+00	1.001455129052870900e-05
1.398179000000000000e+01	3.410863047530931600e+00	1.018695758705515900e-05
1.443776000000000100e+01	2.949511162259012700e+00	1.141987954830553000e-05
1.492446000000000000e+01	2.705271456099560100e+00	1.531495540137735200e-05
1.544513000000000100e+01	2.634764705420537200e+00	2.314184105010706900e-05
1.600344000000000100e+01	2.689237656359125200e+00	3.918054702904938500e-05
1.660361999999999900e+01	2.777942809279071200e+00	7.562223049144173100e-05
1.725057999999999900e+01	2.849867767992328500e+00	2.042666259357210200e-04
1.794999999999999900e+01	2.934061545633396500e+00	9.432298540516657200e-04
