Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.472699999999999800e+03	1.279700000000000000e-01	3.490570749801976700e-01	2.347839079192191000e-03
2.000000000000000000e+00	2.481349999999999900e+03	1.276700000000000100e-01	3.509652695218146200e-01	1.175125834301940900e-03
3.000000000000000000e+00	2.472710000000000000e+03	1.280600000000000100e-01	3.628398291744403000e-01	1.392298728594358800e-03
4.000000000000000000e+00	2.481469999999999800e+03	1.274000000000000100e-01	3.639729312868331100e-01	1.093709875338751100e-03
5.000000000000000000e+00	2.472630000000000100e+03	1.224800000000000100e-01	5.084294794851954600e-01	2.344135798680459700e-03
6.000000000000000000e+00	2.481409999999999900e+03	1.221100000000000000e-01	5.106387299615979800e-01	1.691895361592936000e-03
7.000000000000000000e+00	2.472650000000000100e+03	1.080900000000000100e-01	7.320346567844898700e-01	9.950883049848343500e-04
8.000000000000000000e+00	2.481400000000000100e+03	1.075200000000000000e-01	7.360525003449489600e-01	2.258290779307839700e-03
9.000000000000000000e+00	2.472659999999999900e+03	8.952899999999999700e-02	9.951806154699751600e-01	1.971496880221117000e-03
1.000000000000000000e+01	2.481329999999999900e+03	8.844399999999999500e-02	1.006920042825401500e+00	6.147757591029547600e-03
1.100000000000000000e+01	2.472579999999999900e+03	7.327200000000000400e-02	1.266036914121047000e+00	2.523128338927393000e-03
1.200000000000000000e+01	2.481300000000000200e+03	7.256100000000000000e-02	1.274510627245381000e+00	3.918683642030038600e-03
1.300000000000000000e+01	2.472590000000000100e+03	6.225300000000000300e-02	1.458789996450986300e+00	8.213871416942153700e-03
1.400000000000000000e+01	2.481219999999999800e+03	6.125699999999999900e-02	1.467548016323659400e+00	4.712439392649948700e-03
1.500000000000000000e+01	2.472550000000000200e+03	6.164000000000000000e-02	1.467629387042273900e+00	9.079944918788515300e-03
1.600000000000000000e+01	2.481360000000000100e+03	6.085399999999999800e-02	1.475010162685629600e+00	6.765423349194854000e-03
1.700000000000000000e+01	2.472599999999999900e+03	6.235000000000000300e-02	1.462496714927370000e+00	7.664870909464005700e-03
1.800000000000000000e+01	2.481280000000000200e+03	6.112800000000000200e-02	1.474038804951531400e+00	4.250204799324988600e-03
1.900000000000000000e+01	2.472199999999999800e+03	5.019400000000000300e-02	1.712000000000000000e+00	2.000000000000000000e-02
2.000000000000000000e+01	2.480929999999999800e+03	5.101100000000000100e-02	1.597000000000000000e+00	1.400000000000000000e-02
2.100000000000000000e+01	2.472239999999999800e+03	5.198500000000000300e-02	1.622000000000000100e+00	8.000000000000000200e-03
2.200000000000000000e+01	2.480840000000000100e+03	5.172999999999999800e-02	1.570000000000000100e+00	2.000000000000000000e-03
2.300000000000000000e+01	2.472139999999999900e+03	4.363000000000000200e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	2.480860000000000100e+03	4.339500000000000300e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	2.471719999999999800e+03	3.497600000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	2.480639999999999900e+03	3.481100000000000200e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	2.471929999999999800e+03	2.700400000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	2.480579999999999900e+03	2.705700000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	2.472300000000000200e+03	2.154800000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+01	2.480280000000000200e+03	2.117000000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.100000000000000000e+01	2.472760000000000200e+03	1.636299999999999900e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000000000e+01	2.480190000000000100e+03	1.648000000000000200e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.300000000000000000e+01	2.472889999999999900e+03	1.223300000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.400000000000000000e+01	2.479780000000000200e+03	1.272399999999999900e-02	0.000000000000000000e+00	0.000000000000000000e+00
