Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.972500000000000000e+03	2.775800000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	2.983020000000000000e+03	2.767599999999999900e-02	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.973699999999999800e+03	2.779399999999999900e-02	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	2.982699999999999800e+03	2.764000000000000100e-02	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	2.973139999999999900e+03	2.780099999999999900e-02	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	2.983349999999999900e+03	2.797399999999999900e-02	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	2.974079999999999900e+03	2.769800000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	2.983889999999999900e+03	1.666200000000000000e-02	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	2.974780000000000200e+03	1.345300000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	2.984150000000000100e+03	1.332200000000000100e-02	1.348992209996341600e+00	3.470509194511540200e-03
1.100000000000000000e+01	2.974880000000000100e+03	1.336500000000000000e-02	1.354759439897309100e+00	2.491990430430880500e-03
1.200000000000000000e+01	2.984059999999999900e+03	1.331600000000000000e-02	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	2.974949999999999800e+03	1.001100000000000100e-02	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	2.984280000000000200e+03	9.927500000000000600e-03	1.587000000000000000e+00	4.000000000000000100e-03
1.500000000000000000e+01	2.975250000000000000e+03	6.063599999999999700e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	2.984380000000000100e+03	6.021799999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	2.975219999999999800e+03	3.501700000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	2.984170000000000100e+03	3.452000000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	2.977010000000000200e+03	2.747700000000000100e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	2.986750000000000000e+03	2.730000000000000100e-02	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	2.977599999999999900e+03	2.427000000000000000e-02	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	2.986829999999999900e+03	2.408600000000000000e-02	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	2.977599999999999900e+03	2.394599999999999900e-02	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	2.986829999999999900e+03	2.378200000000000100e-02	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	2.977670000000000100e+03	1.962900000000000100e-02	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	2.986929999999999800e+03	1.945399999999999900e-02	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	2.977619999999999900e+03	1.579300000000000100e-02	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	2.986869999999999900e+03	1.563600000000000100e-02	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	2.977469999999999800e+03	2.408899999999999900e-02	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	2.986969999999999800e+03	2.515200000000000100e-02	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	2.977670000000000100e+03	1.092800000000000000e-02	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	2.986880000000000100e+03	1.085500000000000000e-02	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	2.977670000000000100e+03	1.071800000000000000e-02	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	2.986960000000000000e+03	4.643100000000000000e-02	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	2.977679999999999800e+03	6.544500000000000300e-02	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	2.986909999999999900e+03	2.341599999999999900e-02	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	2.977599999999999900e+03	2.646700000000000100e-02	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	2.986820000000000200e+03	2.633699999999999900e-02	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	2.977630000000000100e+03	2.604499999999999900e-02	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	2.986980000000000000e+03	2.594000000000000100e-02	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	2.977599999999999900e+03	2.550399999999999900e-02	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	2.986940000000000100e+03	2.521299999999999900e-02	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	2.977710000000000000e+03	2.390499999999999900e-02	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	2.986829999999999900e+03	2.378699999999999900e-02	6.662421788864698600e-01	1.138412815060495500e-03
