Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.355179999999999800e+03	1.361600000000000000e-02	3.439699354065919900e-01	3.211109834396877700e-03
2.000000000000000000e+00	2.363760000000000200e+03	1.352400000000000000e-02	3.449772291336719600e-01	5.385564928240615500e-04
3.000000000000000000e+00	2.355400000000000100e+03	1.311900000000000000e-02	4.779295160324361100e-01	6.583115012897816800e-04
4.000000000000000000e+00	2.363679999999999800e+03	1.308200000000000000e-02	4.800545505944922000e-01	1.017857668212000500e-03
5.000000000000000000e+00	2.355280000000000200e+03	1.179700000000000000e-02	6.894715767280728000e-01	8.720327903771562100e-04
6.000000000000000000e+00	2.363710000000000000e+03	1.171299999999999900e-02	6.935897577761449600e-01	1.987502394496004800e-03
7.000000000000000000e+00	2.355329999999999900e+03	9.998899999999999800e-03	9.432264127229389400e-01	8.137775880004944400e-04
8.000000000000000000e+00	2.363690000000000100e+03	9.892800000000000200e-03	9.480461486556998100e-01	2.763218962518856700e-03
9.000000000000000000e+00	2.355400000000000100e+03	8.401099999999999900e-03	1.188224227340133100e+00	2.227871619268383700e-03
1.000000000000000000e+01	2.363699999999999800e+03	8.264699999999999800e-03	1.197626566915941800e+00	6.505971415150287600e-03
1.100000000000000000e+01	2.355290000000000000e+03	7.157300000000000100e-03	1.402738047871700900e+00	4.381524019376569300e-03
1.200000000000000000e+01	2.363590000000000100e+03	7.158399999999999700e-03	1.397933009213798300e+00	2.150582910040865000e-03
1.300000000000000000e+01	2.355520000000000000e+03	7.263200000000000000e-03	1.395422492871444300e+00	5.137007786336614600e-03
1.400000000000000000e+01	2.363770000000000000e+03	7.226200000000000300e-03	1.395947161987378700e+00	2.315514271131365500e-03
1.500000000000000000e+01	2.355559999999999900e+03	7.169199999999999700e-03	1.396588291827966000e+00	3.077979862582960600e-03
1.600000000000000000e+01	2.363670000000000100e+03	7.170199999999999800e-03	1.399250383602080000e+00	2.521943896780558700e-03
1.700000000000000000e+01	2.355559999999999900e+03	5.577200000000000000e-03	1.560000000000000100e+00	6.000000000000000100e-03
1.800000000000000000e+01	2.363659999999999900e+03	5.527100000000000100e-03	1.598000000000000100e+00	1.400000000000000000e-02
1.900000000000000000e+01	2.355460000000000000e+03	5.547200000000000400e-03	1.607000000000000000e+00	7.000000000000000100e-03
2.000000000000000000e+01	2.363739999999999800e+03	5.521100000000000100e-03	1.556999999999999900e+00	7.000000000000000100e-03
2.100000000000000000e+01	2.355500000000000000e+03	4.836799999999999600e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	2.363829999999999900e+03	4.795500000000000300e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	2.356349999999999900e+03	3.033500000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
