Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	4.497739999999999800e+03	3.392500000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	4.505529999999999700e+03	3.363699999999999800e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	4.496069999999999700e+03	3.393699999999999900e-03	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	4.508810000000000400e+03	3.399999999999999800e-03	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	4.496880000000000100e+03	3.383300000000000100e-03	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	4.508119999999999900e+03	3.431899999999999900e-03	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	4.494630000000000100e+03	3.851100000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	4.511430000000000300e+03	8.821900000000000400e-04	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	4.495390000000000300e+03	5.974399999999999700e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	4.517590000000000100e+03	5.382400000000000500e-04	1.348992209996341600e+00	3.470509194511540200e-03
1.100000000000000000e+01	4.497010000000000200e+03	6.134800000000000100e-04	1.354759439897309100e+00	2.491990430430880500e-03
1.200000000000000000e+01	4.514840000000000100e+03	6.026799999999999700e-04	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	4.484729999999999600e+03	3.366199999999999900e-04	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	4.526399999999999600e+03	2.861599999999999800e-04	1.587000000000000000e+00	4.000000000000000100e-03
1.500000000000000000e+01	4.505010000000000200e+03	1.946800000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	4.491739999999999800e+03	3.487800000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	4.506970000000000300e+03	3.429999999999999900e-03	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	4.492350000000000400e+03	2.548700000000000100e-03	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	4.505859999999999700e+03	2.557100000000000100e-03	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	4.492800000000000200e+03	2.570199999999999900e-03	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	4.509149999999999600e+03	2.436100000000000100e-03	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	4.486069999999999700e+03	1.552900000000000100e-03	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	4.500000000000000000e+03	1.639000000000000000e-03	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	4.492250000000000000e+03	9.957099999999999100e-04	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	4.509329999999999900e+03	9.710199999999999600e-04	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	4.495260000000000200e+03	2.483099999999999800e-03	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	4.507920000000000100e+03	2.899800000000000100e-03	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	4.492079999999999900e+03	1.011800000000000000e-03	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	4.508869999999999900e+03	9.730900000000000200e-04	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	4.497590000000000100e+03	9.942900000000001000e-04	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	4.505779999999999700e+03	4.743599999999999700e-03	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	4.493569999999999700e+03	6.089400000000000000e-03	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	4.507600000000000400e+03	2.430400000000000100e-03	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	4.495100000000000400e+03	3.201400000000000100e-03	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	4.504680000000000300e+03	3.144399999999999900e-03	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	4.496119999999999900e+03	3.066500000000000200e-03	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	4.504930000000000300e+03	3.060799999999999800e-03	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	4.493510000000000200e+03	2.899600000000000000e-03	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	4.507829999999999900e+03	2.853000000000000100e-03	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	4.492109999999999700e+03	2.568000000000000000e-03	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	4.508369999999999900e+03	2.447400000000000200e-03	6.662421788864698600e-01	1.138412815060495500e-03
