Angle	Freq	Label	m*	m*_retro	alpha	Field lim
12	1195	$alpha_1$	1.49(2)	1.69	58.681	8
12	1195	$alpha_1$	1.71(3)	1.75	58.681	12
28	1270	$alpha_1$	1.64(2)	1.68	59.602	12
46	1540	$alpha_1$	1.86(3)	1.9	48.794	12
12	1370	$alpha_2$	1.54(2)	1.58	45.989	12
28	1526	$alpha_2$	1.69(2)	1.74	72.351	12
46	2030	$alpha_2$	2.49(5)	2.56	61.058	12
28	1370	$alpha_3$	1.85(3)	1.93	115.49	12
46	1930	$alpha_3$	2.87(7)	3.04	149.39	12
12	2176	$beta_1$	1.61(2)	1.65	51.119	12
12	2353	$beta_2$	1.56(3)	1.62	102.36	12
12	2353	$beta_2$	1.30(2)	1.87	102.36	6
28	2603	$beta_2$	1.73(2)	1.76	34.082	12
46	3335	$beta_2$	2.59(6)	2.69	94.572	12
28	2472	$beta_3$	1.58(2)	1.61	48.807	12
46	2972	$beta_3$	1.82(3)	1.86	40.033	12
46	1320	$gamma_1$	2.13(5)	2.22	104.38	12
28	920	$gamma_1$	2.19(3)	2.3	129.82	12
46	4500	$gamma_2$	3.31(8)	3.32	91.057	16
12	1285	$delta$	1.54(2)	1.64	173	12
28	1370	$delta$	1.85(3)	1.93	115.49	12
46	1630	$delta$	2.22(4)	2.33	126.02	12
