Angle	Freq	Label	m_b	m*/m_b	m*_retro/m_b	m*_micro/m_b	
12	1210	$alpha_1$	1.04	1.43	1.63	NA	
12	1210	$alpha_1$	1.04	1.64	1.68	1.68	
28	1269	$alpha_1$	0.9	1.83	1.88	1.92	
46	1532	$alpha_1$	1	1.86	1.9	1.92	
12	1372	$alpha_2$	0.84	1.83	1.88	1.86	
28	1530	$alpha_2$	0.93	1.81	1.87	1.88	
46	2017	$alpha_2$	1.83	1.36	1.4	1.4	
28	1365	$alpha_3$	1.18	1.56	1.63	1.67	
46	1930	$alpha_3$	1	2.87	3.04	2.75	
12	2180	$beta_1$	0.98	1.64	1.68	1.66	
12	2350	$beta_2$	0.86	1.81	1.88	1.82	
28	2605	$beta_2$	1.03	1.68	1.71	1.76	
46	3347	$beta_2$	1.8	1.44	1.5	1.59	
46	3381	$beta_2$	1.8	0.88	0.9	1.55	
28	2475	$beta_3$	0.93	1.95	2	1.71	
46	2970	$beta_3$	1.03	2.07	2.15	1.8	
28	912	$gamma_1$	-1.49	-1.03	-1.1	-1.46	 
46	1320	$gamma_1$	-2.04	-0.91	-0.95	-0.98	 
46	4497	$gamma_2$	-1.89	-1.17	-1.23	-1.75	 
12	1270	$delta$	-0.91	-2.41	-2.53	-1.88	 
28	1370	$delta$	-0.98	-1.89	-1.97	NA	
46	1626	$delta$	-1.1	-3	-3.01	-1.96	 
