file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=8.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 0.00000000000000E+0000	 0.00000000000000E+0000
 2.49103655133928E+0000	 1.12033032571644E-0005
 4.98207310267857E+0000	 1.47360198941929E-0005
 7.47310965401785E+0000	 2.05181863761862E-0005
 9.96414620535714E+0000	 2.85529929403726E-0005
 1.24551827566964E+0001	 3.88825001708225E-0005
 1.49462193080357E+0001	 5.15455273235609E-0005
 1.74372558593750E+0001	 6.65572576410999E-0005
 1.99282924107143E+0001	 8.38960953766959E-0005
 2.24193289620536E+0001	 1.03492385421329E-0004
 2.49103655133928E+0001	 1.25218603882110E-0004
 2.74014020647321E+0001	 1.48881869476724E-0004
 2.98924386160714E+0001	 1.74219731992470E-0004
 3.23834751674107E+0001	 2.00900019509532E-0004
 3.48745117187500E+0001	 2.28525278797792E-0004
 3.73655482700893E+0001	 2.56642072852698E-0004
 3.98565848214286E+0001	 2.84755122940614E-0004
 4.23476213727678E+0001	 3.12346010627917E-0004
 4.48386579241071E+0001	 3.38895895826247E-0004
 4.73296944754464E+0001	 3.63911462374141E-0004
 4.98207310267857E+0001	 3.86953066825781E-0004
 5.23117675781250E+0001	 4.07663820183675E-0004
 5.48028041294643E+0001	 4.25798042111363E-0004
 5.72938406808035E+0001	 4.41247143586213E-0004
 5.97848772321428E+0001	 4.54060463047791E-0004
 6.22759137834821E+0001	 4.64457875086020E-0004
 6.47669503348214E+0001	 4.72830175600616E-0004
 6.72579868861607E+0001	 4.79722595440284E-0004
 6.97490234375000E+0001	 4.85796908133353E-0004
 7.22400599888393E+0001	 4.91769411186020E-0004
 7.47310965401785E+0001	 4.98326474738925E-0004
 7.72221330915178E+0001	 5.06026322466409E-0004
 7.97131696428571E+0001	 5.15203191544322E-0004
 8.22042061941964E+0001	 5.25894017635604E-0004
 8.46952427455357E+0001	 5.37804659600830E-0004
 8.71862792968750E+0001	 5.50322490566865E-0004
 8.96773158482142E+0001	 5.62569675179800E-0004
 9.21683523995535E+0001	 5.73482745735613E-0004
 9.46593889508928E+0001	 5.81902206585725E-0004
 9.71504255022321E+0001	 5.86659478660131E-0004
 9.96414620535714E+0001	 5.86654083372946E-0004
 1.02132498604910E+0002	 5.80918783645235E-0004
 1.04623535156250E+0002	 5.68673437509700E-0004
 1.07114571707589E+0002	 5.49369901519261E-0004
 1.09605608258928E+0002	 5.22731352058232E-0004
 1.12096644810267E+0002	 4.88791006364953E-0004
 1.14587681361607E+0002	 4.47939056417120E-0004
 1.17078717912946E+0002	 4.00995986198128E-0004
 1.19569754464285E+0002	 3.49353433944122E-0004
 1.22060791015625E+0002	 2.95280660533038E-0004
 1.24551827566964E+0002	 2.42624105833665E-0004
 1.27042864118303E+0002	 1.98263726129366E-0004
 1.29533900669643E+0002	 1.73541449008370E-0004
 1.32024937220982E+0002	 1.79127507457080E-0004
 1.34515973772321E+0002	 2.12409592482273E-0004
 1.37007010323661E+0002	 2.61173387982828E-0004
 1.39498046875000E+0002	 3.15537945003968E-0004
 1.41989083426339E+0002	 3.69791541401462E-0004
 1.44480119977679E+0002	 4.20648126409256E-0004
 1.46971156529018E+0002	 4.66103233706064E-0004
 1.49462193080357E+0002	 5.04926415470127E-0004
 1.51953229631696E+0002	 5.36448099586363E-0004
 1.54444266183036E+0002	 5.60466776733173E-0004
 1.56935302734375E+0002	 5.77201690839368E-0004
 1.59426339285714E+0002	 5.87257256936852E-0004
 1.61917375837053E+0002	 5.91581408591035E-0004
 1.64408412388393E+0002	 5.91406091403127E-0004
 1.66899448939732E+0002	 5.88160768772172E-0004
 1.69390485491071E+0002	 5.83353027445656E-0004
 1.71881522042411E+0002	 5.78417393960435E-0004
 1.74372558593750E+0002	 5.74546043030631E-0004
 1.76863595145089E+0002	 5.72530661484224E-0004
 1.79354631696428E+0002	 5.72654680614924E-0004
 1.81845668247768E+0002	 5.74668863364610E-0004
 1.84336704799107E+0002	 5.77858808911153E-0004
 1.86827741350446E+0002	 5.81182652945562E-0004
 1.89318777901786E+0002	 5.83438858291816E-0004
 1.91809814453125E+0002	 5.83425277749326E-0004
 1.94300851004464E+0002	 5.80065223673074E-0004
 1.96791887555803E+0002	 5.72492609024053E-0004
 1.99282924107143E+0002	 5.60099192622361E-0004
 2.01773960658482E+0002	 5.42551594013382E-0004
 2.04264997209821E+0002	 5.19786207166637E-0004
 2.06756033761161E+0002	 4.91988819983442E-0004
 2.09247070312500E+0002	 4.59564108771359E-0004
 2.11738106863839E+0002	 4.23098833570037E-0004
 2.14229143415178E+0002	 3.83321635938754E-0004
 2.16720179966518E+0002	 3.41061775834035E-0004
 2.19211216517857E+0002	 2.97208864351864E-0004
 2.21702253069196E+0002	 2.52675669702945E-0004
 2.24193289620536E+0002	 2.08366662411360E-0004
 2.26684326171875E+0002	 1.65157210479416E-0004
 2.29175362723214E+0002	 1.23896740045458E-0004
 2.31666399274553E+0002	 8.54866527920521E-0005
 2.34157435825893E+0002	 5.13116264824813E-0005
 2.36648472377232E+0002	 2.63427922155595E-0005
 2.39139508928571E+0002	 2.85737697444996E-0005
 2.41630545479911E+0002	 4.84172692664107E-0005
 2.44121582031250E+0002	 6.84668872371857E-0005
 2.46612618582589E+0002	 8.57677947390442E-0005
 2.49103655133928E+0002	 9.98666787795563E-0005
 2.51594691685268E+0002	 1.10813906339948E-0004
 2.54085728236607E+0002	 1.18837210540717E-0004
 2.56576764787946E+0002	 1.24248568984865E-0004
 2.59067801339286E+0002	 1.27401920542398E-0004
 2.61558837890625E+0002	 1.28666735335028E-0004
 2.64049874441964E+0002	 1.28408804902609E-0004
 2.66540910993303E+0002	 1.26975879124104E-0004
 2.69031947544643E+0002	 1.24687458832366E-0004
 2.71522984095982E+0002	 1.21828397618084E-0004
 2.74014020647321E+0002	 1.18645834844701E-0004
 2.76505057198661E+0002	 1.15348691001762E-0004
 2.78996093750000E+0002	 1.12108696724481E-0004
 2.81487130301339E+0002	 1.09061854358791E-0004
 2.83978166852678E+0002	 1.06309455225438E-0004
 2.86469203404018E+0002	 1.03918307896893E-0004
 2.88960239955357E+0002	 1.01920540321425E-0004
 2.91451276506696E+0002	 1.00313955351345E-0004
 2.93942313058036E+0002	 9.90641479591683E-0005
