file FFTd=BaFe2P2_AngleSweep_40.dat
Selected B range, Bmin=6.040 T Bmax=7.000 T
Subtracted Poly order =5
Padding =8
F[T]	Amp
 0.00000000000000E+0000	 0.00000000000000E+0000
 4.45013300577799E+0000	 7.53124778816792E-0006
 8.90026601155598E+0000	 1.54846133810523E-0005
 1.33503990173339E+0001	 2.44514682308455E-0005
 1.78005320231120E+0001	 3.48829344879869E-0005
 2.22506650288900E+0001	 4.72016098976411E-0005
 2.67007980346679E+0001	 6.17795578788728E-0005
 3.11509310404459E+0001	 7.89242116672634E-0005
 3.56010640462239E+0001	 9.88656359450936E-0005
 4.00511970520019E+0001	 1.21744733007000E-0004
 4.45013300577799E+0001	 1.47602705943207E-0004
 4.89514630635579E+0001	 1.76372286845433E-0004
 5.34015960693359E+0001	 2.07871311604413E-0004
 5.78517290751139E+0001	 2.41799235280040E-0004
 6.23018620808919E+0001	 2.77737144381864E-0004
 6.67519950866699E+0001	 3.15151737217663E-0004
 7.12021280924479E+0001	 3.53403613458757E-0004
 7.56522610982258E+0001	 3.91760044490930E-0004
 8.01023941040038E+0001	 4.29412195262576E-0004
 8.45525271097818E+0001	 4.65496547305195E-0004
 8.90026601155598E+0001	 4.99120044734472E-0004
 9.34527931213378E+0001	 5.29388265237305E-0004
 9.79029261271158E+0001	 5.55435721994100E-0004
 1.02353059132893E+0002	 5.76457245941339E-0004
 1.06803192138671E+0002	 5.91739296062057E-0004
 1.11253325144449E+0002	 6.00690013198177E-0004
 1.15703458150227E+0002	 6.02866884768139E-0004
 1.20153591156005E+0002	 5.98001039785414E-0004
 1.24603724161783E+0002	 5.86017466825958E-0004
 1.29053857167562E+0002	 5.67050875368124E-0004
 1.33503990173340E+0002	 5.41457561871013E-0004
 1.37954123179118E+0002	 5.09824603422193E-0004
 1.42404256184896E+0002	 4.72979177060760E-0004
 1.46854389190674E+0002	 4.32003112523994E-0004
 1.51304522196452E+0002	 3.88261335485026E-0004
 1.55754655202230E+0002	 3.43457569059850E-0004
 1.60204788208008E+0002	 2.99733058625517E-0004
 1.64654921213786E+0002	 2.59806116163709E-0004
 1.69105054219564E+0002	 2.27050990664309E-0004
 1.73555187225342E+0002	 2.05138083906630E-0004
 1.78005320231120E+0002	 1.96660171262676E-0004
 1.82455453236898E+0002	 2.01250468010022E-0004
 1.86905586242676E+0002	 2.15454710471472E-0004
 1.91355719248454E+0002	 2.34756465192584E-0004
 1.95805852254232E+0002	 2.55344417677468E-0004
 2.00255985260010E+0002	 2.74578923997505E-0004
 2.04706118265788E+0002	 2.90800017050644E-0004
 2.09156251271566E+0002	 3.03041362022835E-0004
 2.13606384277344E+0002	 3.10813714916481E-0004
 2.18056517283122E+0002	 3.13961114186661E-0004
 2.22506650288900E+0002	 3.12565149759464E-0004
 2.26956783294678E+0002	 3.06877872256491E-0004
 2.31406916300456E+0002	 2.97271869669230E-0004
 2.35857049306234E+0002	 2.84201411382295E-0004
 2.40307182312011E+0002	 2.68171576799361E-0004
 2.44757315317789E+0002	 2.49713811072380E-0004
 2.49207448323567E+0002	 2.29367015239739E-0004
 2.53657581329345E+0002	 2.07663471624257E-0004
 2.58107714335123E+0002	 1.85118865848137E-0004
 2.62557847340901E+0002	 1.62225546369027E-0004
 2.67007980346679E+0002	 1.39448060227414E-0004
 2.71458113352457E+0002	 1.17219980212267E-0004
 2.75908246358235E+0002	 9.59411215100478E-0005
 2.80358379364013E+0002	 7.59744344459376E-0005
 2.84808512369791E+0002	 5.76421333538671E-0005
 2.89258645375569E+0002	 4.12209577902478E-0005
 2.93708778381347E+0002	 2.69369089880915E-0005
