B[T]	M*	Amp-other
6.009999999999999800e+00	1.153010242021935500e-04	1.472760720259959300e-04
6.092710000000000300e+00	8.991550102611008100e-06	6.117282305702324200e-05
6.177730000000000400e+00	-2.519361870269935200e-04	2.507997919764293600e-06
6.265150000000000200e+00	-4.116380262046147600e-01	1.345962883977552300e-06
6.355080000000000100e+00	-6.238982447368446300e-01	9.251044707077787800e-07
6.447639999999999800e+00	5.501999646913926500e-01	6.089189242770498000e-07
6.542930000000000100e+00	-2.414533067610418200e-01	3.920649058314986600e-07
6.641070000000000000e+00	3.790102930540924300e-05	3.327304608686522100e-07
6.742210000000000000e+00	-4.201385144323561100e-06	3.109829469400643600e-07
6.846479999999999700e+00	-1.376733707271729100e-05	2.863474010291991500e-07
6.954019999999999900e+00	1.511027072953637300e-05	2.609193936038954300e-07
7.064989999999999900e+00	1.426495286583565800e-05	2.418978442983346700e-07
7.179560000000000400e+00	3.736051779286774100e-05	2.276526336257589600e-07
7.297909999999999900e+00	-1.860901423536617000e-07	2.132085083298155700e-07
7.420230000000000100e+00	2.870504144812581900e-05	2.027670278113880000e-07
7.546710000000000000e+00	3.541585767804693700e-05	1.974548305689715200e-07
7.677590000000000400e+00	-6.327083043721431000e-06	1.992259030453870500e-07
7.813080000000000200e+00	-1.164872745016539400e-05	2.088105020011600600e-07
7.953439999999999600e+00	2.748051592090934300e-01	2.350126803052362300e-07
8.098940000000000700e+00	-4.760814268315728400e-01	2.769272916869021100e-07
8.249860000000000000e+00	-6.432373539919318300e-01	3.302124504509046300e-07
8.406510000000000800e+00	8.016705643492190200e-01	3.974990158983967900e-07
8.569219999999999600e+00	9.274616330262405200e-01	4.698712072503766400e-07
8.738360000000000100e+00	1.020139647949401800e+00	5.427438957103229900e-07
8.914310000000000400e+00	1.094320563813303300e+00	6.165892853213272900e-07
9.097490000000000500e+00	1.153354784178563400e+00	6.913285927528376000e-07
9.288349999999999400e+00	1.191554487525619700e+00	7.638665820491726000e-07
9.487399999999999200e+00	1.202764043757209800e+00	8.312544702615376200e-07
9.695169999999999200e+00	1.207724274209011100e+00	8.998155770475287300e-07
9.912229999999999200e+00	1.224983752155521100e+00	9.807650250704645300e-07
1.013925000000000100e+01	1.262298816544630700e+00	1.087509118224452100e-06
1.037689999999999900e+01	1.321106016596169400e+00	1.232889183078805300e-06
1.062595999999999900e+01	1.395564156518090500e+00	1.424601889487452100e-06
1.088726999999999900e+01	1.475153900301184900e+00	1.666156358350260900e-06
1.116175000000000000e+01	1.550207755226129100e+00	1.965599060789587400e-06
1.145044000000000000e+01	1.613570032232629200e+00	2.336940212291866200e-06
1.175445000000000000e+01	1.659777923613474400e+00	2.782143988759622900e-06
1.207504999999999900e+01	1.688843786217585100e+00	3.292528302795218500e-06
1.241362999999999900e+01	1.705607800736606900e+00	3.866630736429957400e-06
1.277173999999999900e+01	1.714974776707495400e+00	4.520006197905230300e-06
1.315113000000000000e+01	1.719694454229306200e+00	5.278258857400574700e-06
1.355373999999999900e+01	1.721137281583406300e+00	6.178797114097589600e-06
1.398179000000000000e+01	1.720582753836015900e+00	7.281509043608971300e-06
1.443776000000000100e+01	1.719220580175458500e+00	8.686649722528988700e-06
1.492446000000000000e+01	1.716877732723617300e+00	1.060847046572482300e-05
1.544513000000000100e+01	1.711697037942086200e+00	1.352052110040279400e-05
1.600344000000000100e+01	1.701388082544220500e+00	1.857261757993474700e-05
1.660361999999999900e+01	1.683390710691562000e+00	2.946195393272970500e-05
1.725057999999999900e+01	1.651178723145308100e+00	6.680223542020464000e-05
1.794999999999999900e+01	1.652084270934085300e+00	1.639668574211872300e-04
