B[T]	M*	Amp-other
6.009999999999999800e+00	2.446059161574643000e-06	5.302370153071741200e-05
6.092710000000000300e+00	1.684733200043274400e-05	1.105689325235028500e-05
6.177730000000000400e+00	7.104825253421878500e-06	2.139540224964832200e-06
6.265150000000000200e+00	9.571662117519277500e-05	1.076930286878194600e-06
6.355080000000000100e+00	-1.478017546430740800e-06	7.302746866271535600e-07
6.447639999999999800e+00	-2.366778259484483300e-06	5.365479278161896900e-07
6.542930000000000100e+00	4.793630041971736700e-06	3.989769264613666800e-07
6.641070000000000000e+00	-2.904273988888297400e-06	3.113365378561668400e-07
6.742210000000000000e+00	7.526746659013410600e-05	2.936598153286397500e-07
6.846479999999999700e+00	-2.292923057529290300e-01	3.269613625181103400e-07
6.954019999999999900e+00	-3.751423088714714300e-01	3.576949566603550400e-07
7.064989999999999900e+00	-4.055278571083522100e-01	3.587021551884740800e-07
7.179560000000000400e+00	-3.380408291335793000e-01	3.336562422585496200e-07
7.297909999999999900e+00	-1.660671735928526400e-01	3.046621803598504600e-07
7.420230000000000100e+00	-2.929633491835091800e-06	3.107518428188186100e-07
7.546710000000000000e+00	-7.968088476579746100e-05	3.307652579927750100e-07
7.677590000000000400e+00	1.439958387879189600e-05	3.329726549502572400e-07
7.813080000000000200e+00	-2.027116126618658500e-05	3.140652262915159700e-07
7.953439999999999600e+00	2.000143284558030200e-05	2.834601128482307100e-07
8.098940000000000700e+00	-3.886118829924832500e-05	2.552151300779744100e-07
8.249860000000000000e+00	4.104144176140890900e-01	2.526106791007019600e-07
8.406510000000000800e+00	7.093580519162102600e-01	2.783299165512831800e-07
8.569219999999999600e+00	8.822435527481867800e-01	3.309717065286506300e-07
8.738360000000000100e+00	9.059286955183205600e-01	3.719980400919531400e-07
8.914310000000000400e+00	8.607335889957077300e-01	3.820592864183175700e-07
9.097490000000000500e+00	7.448206429235994000e-01	3.531838458741915900e-07
9.288349999999999400e+00	5.352109768193712400e-01	3.017808003822612900e-07
9.487399999999999200e+00	3.309271171573784400e-01	2.668387266969747200e-07
9.695169999999999200e+00	3.839344597434994300e-01	2.671669534068130200e-07
9.912229999999999200e+00	7.351243091160130100e-01	3.205944702406613900e-07
1.013925000000000100e+01	1.170907843714877200e+00	4.374152560818799800e-07
1.037689999999999900e+01	1.499369796023002800e+00	5.925625134844897300e-07
1.062595999999999900e+01	1.796430916740597200e+00	7.507943601029185800e-07
1.088726999999999900e+01	2.144065751072298000e+00	9.152962358970335600e-07
1.116175000000000000e+01	2.432380913360663800e+00	1.044913367591344200e-06
1.145044000000000000e+01	2.632695949186155500e+00	1.127337568237552400e-06
1.175445000000000000e+01	2.705554240938679900e+00	1.149481586200550600e-06
1.207504999999999900e+01	2.681849485579959900e+00	1.146324951611479400e-06
1.241362999999999900e+01	2.650884576923649300e+00	1.172717698789884700e-06
1.277173999999999900e+01	2.674495461497901500e+00	1.286188998485958200e-06
1.315113000000000000e+01	2.754811718019424500e+00	1.545166742307266000e-06
1.355373999999999900e+01	2.816036601220978300e+00	1.951887189781665200e-06
1.398179000000000000e+01	2.833782954107069200e+00	2.492574893926633700e-06
1.443776000000000100e+01	2.849480432887195200e+00	3.224618039020562100e-06
1.492446000000000000e+01	2.912810273562385100e+00	4.255897793138977900e-06
1.544513000000000100e+01	3.008889695547309000e+00	5.744795626575038400e-06
1.600344000000000100e+01	3.089583805644620100e+00	8.062924324037881100e-06
1.660361999999999900e+01	3.090119407466636500e+00	1.241013785487479500e-05
1.725057999999999900e+01	2.997735726751110900e+00	2.585538847758738800e-05
1.794999999999999900e+01	2.930275953999812000e+00	9.475386351228338500e-05
