B[T]	M*	Amp-other
6.009999999999999800e+00	3.241632088864024900e-01	1.961228137881695600e+01
6.092710000000000300e+00	4.624406608118407600e-01	9.177641413608233400e+00
6.177730000000000400e+00	9.781127779766846100e-01	2.652147372380301100e+00
6.265150000000000200e+00	1.364370219388299200e+00	2.203494280545751600e+00
6.355080000000000100e+00	1.473954309709110300e+00	2.228806376804745700e+00
6.447639999999999800e+00	1.712389447810506600e+00	2.549991147893305500e+00
6.542930000000000100e+00	1.949232980177991500e+00	2.898941058942979600e+00
6.641070000000000000e+00	2.126216292022562900e+00	3.218086313728979700e+00
6.742210000000000000e+00	2.293561331571661600e+00	3.578812522506312100e+00
6.846479999999999700e+00	2.455515473314245200e+00	3.979984665962443400e+00
6.954019999999999900e+00	2.628345027362706700e+00	4.439382732993284000e+00
7.064989999999999900e+00	2.731577233397573000e+00	4.761634926647308100e+00
7.179560000000000400e+00	2.739928883317563000e+00	4.870669831877953500e+00
7.297909999999999900e+00	2.679365680038962700e+00	4.808395711662527100e+00
7.420230000000000100e+00	2.619560189453973300e+00	4.727990066288478000e+00
7.546710000000000000e+00	2.572403341079447800e+00	4.652876731959979800e+00
7.677590000000000400e+00	2.559113953274235500e+00	4.625539256518016500e+00
7.813080000000000200e+00	2.572493335847760400e+00	4.651086230894317300e+00
7.953439999999999600e+00	2.594131123680599500e+00	4.699733887923020600e+00
8.098940000000000700e+00	2.590879784971459100e+00	4.724544352669479300e+00
8.249860000000000000e+00	2.557602489330158300e+00	4.703811270228400500e+00
8.406510000000000800e+00	2.500690724992155300e+00	4.644000748720924500e+00
8.569219999999999600e+00	2.435606616109836000e+00	4.582433588653576500e+00
8.738360000000000100e+00	2.381723377577170000e+00	4.563182282922949400e+00
8.914310000000000400e+00	2.345136521575664100e+00	4.600530206573457000e+00
9.097490000000000500e+00	2.329596983799376600e+00	4.712803059092879100e+00
9.288349999999999400e+00	2.334955469955295000e+00	4.868690255136901800e+00
9.487399999999999200e+00	2.349010698008218600e+00	5.056798235565806500e+00
9.695169999999999200e+00	2.367357667856023100e+00	5.240944890042567500e+00
9.912229999999999200e+00	2.390101992590784700e+00	5.435413182860432200e+00
1.013925000000000100e+01	2.414412662072305900e+00	5.614183704473777700e+00
1.037689999999999900e+01	2.438159262339433900e+00	5.772805953804345700e+00
1.062595999999999900e+01	2.449591831651321900e+00	5.883175669230075400e+00
1.088726999999999900e+01	2.447153985412001900e+00	5.928417693238295700e+00
1.116175000000000000e+01	2.424359124291670700e+00	5.918331437028573600e+00
1.145044000000000000e+01	2.390934487053544300e+00	5.896509846683047200e+00
1.175445000000000000e+01	2.354816980169581100e+00	5.902630457494442600e+00
1.207504999999999900e+01	2.321044236525024600e+00	5.996216264979887400e+00
1.241362999999999900e+01	2.304600499887834900e+00	6.192545883682479200e+00
1.277173999999999900e+01	2.305994136568132900e+00	6.504683478393634000e+00
1.315113000000000000e+01	2.326525861584340000e+00	6.904580083480674100e+00
1.355373999999999900e+01	2.367724238617263700e+00	7.344708093368905300e+00
1.398179000000000000e+01	2.418425477891323900e+00	7.795837011534995800e+00
1.443776000000000100e+01	2.470759057871856800e+00	8.156218029438893100e+00
1.492446000000000000e+01	2.502610876124723200e+00	8.398080561636138700e+00
1.544513000000000100e+01	2.501547804787402500e+00	8.506243058759597600e+00
1.600344000000000100e+01	2.439170957658945800e+00	8.538600997087494100e+00
1.660361999999999900e+01	2.282842531877334700e+00	8.874762677930414500e+00
1.725057999999999900e+01	1.984014973650701100e+00	1.115581729486310700e+01
1.794999999999999900e+01	1.678091591376169400e+00	1.824304775034636400e+01
