B[T]	M*	Amp-other
6.009999999999999800e+00	2.726874676075678700e-04	1.526818707703858100e-04
6.092710000000000300e+00	-2.662538539458712500e-01	9.572739862467147000e-06
6.177730000000000400e+00	4.228164575139193900e-01	2.564967268834022400e-06
6.265150000000000200e+00	-6.834975556619504700e-02	1.143405614728562900e-06
6.355080000000000100e+00	1.696380796603780900e-06	7.021209113503612700e-07
6.447639999999999800e+00	3.476661234759042500e-01	5.782125445868156400e-07
6.542930000000000100e+00	3.663992503989494400e-01	4.402522251285824200e-07
6.641070000000000000e+00	1.382128339635674400e-04	3.544344100162029900e-07
6.742210000000000000e+00	9.061191285326215500e-06	4.035689694979331100e-07
6.846479999999999700e+00	-3.358488673690191400e-01	4.649252283790040700e-07
6.954019999999999900e+00	-6.125071894079589000e-01	5.197466868031850400e-07
7.064989999999999900e+00	6.148730648196317800e-01	5.220337915418756800e-07
7.179560000000000400e+00	-3.573499647968653200e-01	4.347197453687241300e-07
7.297909999999999900e+00	-1.217882181420282100e-05	3.759557690385497300e-07
7.420230000000000100e+00	4.664730365806410900e-05	3.527515105180748400e-07
7.546710000000000000e+00	1.181707676640703900e-05	3.157310504084894500e-07
7.677590000000000400e+00	-2.193238735384090300e-05	3.057083927024549000e-07
7.813080000000000200e+00	2.491768454441600300e-05	3.511167385829498900e-07
7.953439999999999600e+00	-3.761158836071139000e-01	4.413209738970068000e-07
8.098940000000000700e+00	5.555742092418940500e-01	5.519623020622349100e-07
8.249860000000000000e+00	4.319909363434866800e-01	5.855920248878582700e-07
8.406510000000000800e+00	-2.542649257835994400e-01	5.687753854940062700e-07
8.569219999999999600e+00	-1.576731300947209200e-01	5.089201596189679200e-07
8.738360000000000100e+00	-4.940918163259919700e-01	4.921729282507642900e-07
8.914310000000000400e+00	6.741472553282105200e-01	5.207008588537691700e-07
9.097490000000000500e+00	8.923755889279732000e-01	5.585274199740263400e-07
9.288349999999999400e+00	1.122181384944867600e+00	6.198895571425593600e-07
9.487399999999999200e+00	1.179486163312294600e+00	6.924825763471696300e-07
9.695169999999999200e+00	1.141003287726581200e+00	8.003732740350981100e-07
9.912229999999999200e+00	1.080254598783400500e+00	9.278961248010662300e-07
1.013925000000000100e+01	1.054888004959290400e+00	1.024059016821189600e-06
1.037689999999999900e+01	1.085282662036677300e+00	1.075615995919607200e-06
1.062595999999999900e+01	1.204531590528356500e+00	1.134922034183494500e-06
1.088726999999999900e+01	1.423452972786608100e+00	1.248184774175620400e-06
1.116175000000000000e+01	1.694974629470381600e+00	1.382253242776009100e-06
1.145044000000000000e+01	2.067965045392062600e+00	1.584621298880163000e-06
1.175445000000000000e+01	2.339714334382605000e+00	1.908291353952804400e-06
1.207504999999999900e+01	2.278291449670165800e+00	2.311217670035333500e-06
1.241362999999999900e+01	2.156610316732129600e+00	2.767641841163377900e-06
1.277173999999999900e+01	2.066067185943979200e+00	3.212666455435470400e-06
1.315113000000000000e+01	1.963101675250244100e+00	3.638706669394349700e-06
1.355373999999999900e+01	1.915877061629703600e+00	4.173850662844297000e-06
1.398179000000000000e+01	1.997971966302240800e+00	4.932702127584405300e-06
1.443776000000000100e+01	2.243619162187174200e+00	6.105531727416174200e-06
1.492446000000000000e+01	2.511646028571827400e+00	7.973658903236640800e-06
1.544513000000000100e+01	2.465673713041321800e+00	1.045664598229308500e-05
1.600344000000000100e+01	2.228942353383061500e+00	1.380207640650915000e-05
1.660361999999999900e+01	2.023560365598763500e+00	1.903349359114885500e-05
1.725057999999999900e+01	1.878997040319157400e+00	2.982477015693902100e-05
1.794999999999999900e+01	1.438794019465303900e+00	5.485601468790703700e-05
