Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.350489999999999800e+03	2.365499999999999900e-02	3.439699354065919900e-01	3.211109834396877700e-03
2.000000000000000000e+00	2.360280000000000200e+03	2.344200000000000100e-02	3.449772291336719600e-01	5.385564928240615500e-04
3.000000000000000000e+00	2.349969999999999800e+03	2.331799999999999800e-02	4.779295160324361100e-01	6.583115012897816800e-04
4.000000000000000000e+00	2.359820000000000200e+03	2.300999999999999900e-02	4.800545505944922000e-01	1.017857668212000500e-03
5.000000000000000000e+00	2.348869999999999900e+03	2.153199999999999900e-02	6.894715767280728000e-01	8.720327903771562100e-04
6.000000000000000000e+00	2.359540000000000000e+03	2.121599999999999900e-02	6.935897577761449600e-01	1.987502394496004800e-03
7.000000000000000000e+00	2.348290000000000000e+03	1.899299999999999900e-02	9.432264127229389400e-01	8.137775880004944400e-04
8.000000000000000000e+00	2.358020000000000000e+03	1.874700000000000000e-02	9.480461486556998100e-01	2.763218962518856700e-03
9.000000000000000000e+00	2.346340000000000100e+03	1.659400000000000100e-02	1.188224227340133100e+00	2.227871619268383700e-03
1.000000000000000000e+01	2.357699999999999800e+03	1.636999999999999900e-02	1.197626566915941800e+00	6.505971415150287600e-03
1.100000000000000000e+01	2.345250000000000000e+03	1.459300000000000000e-02	1.402738047871700900e+00	4.381524019376569300e-03
1.200000000000000000e+01	2.356760000000000200e+03	1.450800000000000000e-02	1.397933009213798300e+00	2.150582910040865000e-03
1.300000000000000000e+01	2.344820000000000200e+03	1.480600000000000000e-02	1.395422492871444300e+00	5.137007786336614600e-03
1.400000000000000000e+01	2.356210000000000000e+03	1.461700000000000000e-02	1.395947161987378700e+00	2.315514271131365500e-03
1.500000000000000000e+01	2.344590000000000100e+03	1.472700000000000100e-02	1.396588291827966000e+00	3.077979862582960600e-03
1.600000000000000000e+01	2.356540000000000000e+03	1.447599999999999900e-02	1.399250383602080000e+00	2.521943896780558700e-03
1.700000000000000000e+01	2.342829999999999900e+03	1.184600000000000100e-02	1.560000000000000100e+00	6.000000000000000100e-03
1.800000000000000000e+01	2.355159999999999900e+03	1.163500000000000000e-02	1.598000000000000100e+00	1.400000000000000000e-02
1.900000000000000000e+01	2.342020000000000000e+03	1.186800000000000000e-02	1.607000000000000000e+00	7.000000000000000100e-03
2.000000000000000000e+01	2.355599999999999900e+03	1.175799999999999900e-02	1.556999999999999900e+00	7.000000000000000100e-03
2.100000000000000000e+01	2.341040000000000000e+03	1.094000000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	2.353000000000000000e+03	1.076500000000000000e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	2.344000000000000000e+03	7.280000000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
