Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	1.926520000000000000e+03	8.877400000000000400e-04	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	1.933059999999999900e+03	9.602999999999999800e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	1.926619999999999900e+03	8.769000000000000100e-04	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	1.932480000000000000e+03	8.932400000000000100e-04	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	1.928609999999999900e+03	9.301199999999999900e-04	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	1.933910000000000100e+03	1.013999999999999900e-03	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	1.926319999999999900e+03	1.080900000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	1.935089999999999900e+03	2.900800000000000100e-04	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	1.927500000000000000e+03	1.651799999999999900e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	1.940040000000000000e+03	2.168999999999999900e-04	1.348992209996341600e+00	3.470509194511540200e-03
1.200000000000000000e+01	1.931119999999999900e+03	1.775600000000000000e-04	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	1.911849999999999900e+03	9.819900000000000000e-05	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	1.923730000000000000e+03	1.206699999999999900e-04	1.587000000000000000e+00	4.000000000000000100e-03
1.900000000000000000e+01	1.927650000000000100e+03	8.230699999999999600e-04	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	1.933829999999999900e+03	8.252799999999999600e-04	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	1.932660000000000100e+03	5.964100000000000200e-04	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	1.936670000000000100e+03	6.457400000000000100e-04	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	1.930079999999999900e+03	6.446600000000000200e-04	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	1.936300000000000000e+03	5.786100000000000200e-04	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	1.927940000000000100e+03	4.054199999999999800e-04	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	1.934589999999999900e+03	4.214500000000000300e-04	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	1.932960000000000000e+03	2.651600000000000200e-04	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	1.930930000000000100e+03	2.365100000000000000e-04	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	1.928730000000000000e+03	5.918400000000000500e-04	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	1.937059999999999900e+03	6.943799999999999800e-04	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	1.922690000000000100e+03	2.370999999999999900e-04	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	1.934460000000000000e+03	1.764900000000000100e-04	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	1.927750000000000000e+03	1.743399999999999900e-04	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	1.934900000000000100e+03	1.141600000000000000e-03	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	1.927960000000000000e+03	1.467700000000000000e-03	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	1.934670000000000100e+03	5.627899999999999700e-04	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	1.930150000000000100e+03	7.682999999999999700e-04	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	1.935710000000000000e+03	8.038099999999999600e-04	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	1.928200000000000000e+03	7.299900000000000200e-04	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	1.934950000000000000e+03	7.343099999999999500e-04	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	1.928640000000000100e+03	7.341000000000000100e-04	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	1.939140000000000100e+03	6.446499999999999800e-04	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	1.929430000000000100e+03	6.496300000000000000e-04	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	1.936670000000000100e+03	5.597300000000000400e-04	6.662421788864698600e-01	1.138412815060495500e-03
