Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	3.335389999999999900e+03	3.832900000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.350449999999999800e+03	3.715800000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	3.337150000000000100e+03	3.758600000000000000e-03	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	3.350219999999999800e+03	3.719200000000000200e-03	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	3.336639999999999900e+03	3.776400000000000100e-03	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	3.350989999999999800e+03	3.697499999999999800e-03	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	3.338239999999999800e+03	3.712399999999999800e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	3.351750000000000000e+03	1.223500000000000000e-03	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	3.338780000000000200e+03	8.208799999999999600e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.351679999999999800e+03	7.635300000000000000e-04	1.348992209996341600e+00	3.470509194511540200e-03
1.100000000000000000e+01	3.339190000000000100e+03	7.964499999999999800e-04	1.354759439897309100e+00	2.491990430430880500e-03
1.200000000000000000e+01	3.352469999999999800e+03	8.225900000000000000e-04	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	3.338900000000000100e+03	4.894699999999999900e-04	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	3.351880000000000100e+03	4.464100000000000000e-04	1.587000000000000000e+00	4.000000000000000100e-03
1.500000000000000000e+01	3.341840000000000100e+03	1.888000000000000100e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	3.348170000000000100e+03	2.246000000000000100e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	3.342449999999999800e+03	3.495700000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	3.356250000000000000e+03	3.385099999999999800e-03	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	3.343040000000000000e+03	2.638800000000000200e-03	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	3.356320000000000200e+03	2.588700000000000200e-03	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	3.343050000000000200e+03	2.513800000000000100e-03	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	3.356520000000000000e+03	2.476700000000000100e-03	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	3.343619999999999900e+03	1.644099999999999900e-03	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	3.355909999999999900e+03	1.619700000000000000e-03	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	3.343989999999999800e+03	1.052600000000000100e-03	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	3.356880000000000100e+03	1.029000000000000000e-03	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	3.343090000000000100e+03	2.568599999999999900e-03	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	3.356590000000000100e+03	2.764099999999999800e-03	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	3.343020000000000000e+03	1.041500000000000100e-03	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	3.356619999999999900e+03	1.017799999999999900e-03	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	3.343190000000000100e+03	1.023500000000000100e-03	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	3.356530000000000200e+03	4.694199999999999900e-03	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	3.343190000000000100e+03	6.237699999999999700e-03	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	3.356250000000000000e+03	2.391900000000000200e-03	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	3.342980000000000000e+03	3.217300000000000200e-03	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	3.356639999999999900e+03	3.149599999999999800e-03	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	3.342929999999999800e+03	3.050000000000000200e-03	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	3.356429999999999800e+03	3.011100000000000100e-03	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	3.343219999999999800e+03	2.926700000000000000e-03	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	3.356820000000000200e+03	2.805799999999999800e-03	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	3.343869999999999900e+03	2.541799999999999900e-03	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	3.356199999999999800e+03	2.443600000000000200e-03	6.662421788864698600e-01	1.138412815060495500e-03
