Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	1.269859999999999900e+03	6.398499999999999700e-03	3.490570749801976700e-01	2.347839079192191000e-03
2.000000000000000000e+00	1.274650000000000100e+03	6.316399999999999800e-03	3.509652695218146200e-01	1.175125834301940900e-03
3.000000000000000000e+00	1.269910000000000100e+03	6.363599999999999600e-03	3.628398291744403000e-01	1.392298728594358800e-03
4.000000000000000000e+00	1.274460000000000000e+03	6.311599999999999700e-03	3.639729312868331100e-01	1.093709875338751100e-03
5.000000000000000000e+00	1.269800000000000000e+03	6.051499999999999600e-03	5.084294794851954600e-01	2.344135798680459700e-03
6.000000000000000000e+00	1.274410000000000100e+03	6.006799999999999600e-03	5.106387299615979800e-01	1.691895361592936000e-03
7.000000000000000000e+00	1.269500000000000000e+03	5.295000000000000200e-03	7.320346567844898700e-01	9.950883049848343500e-04
8.000000000000000000e+00	1.274609999999999900e+03	5.243399999999999600e-03	7.360525003449489600e-01	2.258290779307839700e-03
9.000000000000000000e+00	1.269819999999999900e+03	4.364400000000000100e-03	9.951806154699751600e-01	1.971496880221117000e-03
1.000000000000000000e+01	1.274869999999999900e+03	4.246200000000000300e-03	1.006920042825401500e+00	6.147757591029547600e-03
1.100000000000000000e+01	1.269880000000000100e+03	3.491600000000000100e-03	1.266036914121047000e+00	2.523128338927393000e-03
1.200000000000000000e+01	1.274640000000000100e+03	3.430799999999999900e-03	1.274510627245381000e+00	3.918683642030038600e-03
1.300000000000000000e+01	1.270200000000000000e+03	2.967099999999999900e-03	1.458789996450986300e+00	8.213871416942153700e-03
1.400000000000000000e+01	1.274819999999999900e+03	2.916100000000000000e-03	1.467548016323659400e+00	4.712439392649948700e-03
1.500000000000000000e+01	1.270109999999999900e+03	2.895099999999999800e-03	1.467629387042273900e+00	9.079944918788515300e-03
1.600000000000000000e+01	1.273809999999999900e+03	2.857100000000000000e-03	1.475010162685629600e+00	6.765423349194854000e-03
1.700000000000000000e+01	1.269859999999999900e+03	2.941500000000000100e-03	1.462496714927370000e+00	7.664870909464005700e-03
1.800000000000000000e+01	1.274390000000000100e+03	2.900799999999999800e-03	1.474038804951531400e+00	4.250204799324988600e-03
1.900000000000000000e+01	1.269980000000000000e+03	2.333000000000000000e-03	1.712000000000000000e+00	2.000000000000000000e-02
2.000000000000000000e+01	1.274059999999999900e+03	2.318499999999999800e-03	1.597000000000000000e+00	1.400000000000000000e-02
2.100000000000000000e+01	1.270079999999999900e+03	2.381900000000000200e-03	1.622000000000000100e+00	8.000000000000000200e-03
2.200000000000000000e+01	1.274550000000000000e+03	2.414700000000000100e-03	1.570000000000000100e+00	2.000000000000000000e-03
2.300000000000000000e+01	1.270450000000000000e+03	2.083400000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	1.274599999999999900e+03	2.035400000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	1.275260000000000000e+03	1.352399999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	1.279240000000000000e+03	1.458000000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	1.273030000000000000e+03	1.450500000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	1.290099999999999900e+03	1.050500000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	1.262510000000000000e+03	1.045799999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+01	1.275369999999999900e+03	9.364300000000000300e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.100000000000000000e+01	1.258930000000000100e+03	1.255300000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000000000e+01	1.273180000000000100e+03	9.034200000000000500e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.400000000000000000e+01	1.295240000000000000e+03	9.352600000000000400e-04	0.000000000000000000e+00	0.000000000000000000e+00
