Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.021119999999999900e+03	3.141800000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	2.029230000000000000e+03	3.150800000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.023230000000000000e+03	3.157000000000000100e-03	3.601712218853606000e-01	9.309980431430348700e-04
4.000000000000000000e+00	2.028339999999999900e+03	3.144999999999999800e-03	3.602212830056473200e-01	8.986304497990204900e-04
5.000000000000000000e+00	2.022750000000000000e+03	3.151999999999999900e-03	3.399561937304510500e-01	7.401946617105803300e-04
6.000000000000000000e+00	2.029790000000000000e+03	3.293100000000000200e-03	3.302210907437908000e-01	6.105603984393033500e-03
7.000000000000000000e+00	2.024470000000000000e+03	3.052000000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	2.030599999999999900e+03	1.252000000000000100e-03	1.086563457249125200e+00	1.657714713534516300e-02
9.000000000000000000e+00	2.024369999999999900e+03	8.570200000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	2.031260000000000000e+03	8.519699999999999600e-04	1.348992209996341600e+00	3.470509194511540200e-03
1.100000000000000000e+01	2.025720000000000000e+03	8.423600000000000100e-04	1.354759439897309100e+00	2.491990430430880500e-03
1.200000000000000000e+01	2.032180000000000100e+03	8.762800000000000100e-04	1.354858088449972100e+00	2.223125769937168500e-03
1.300000000000000000e+01	2.026270000000000000e+03	4.891900000000000200e-04	1.588000000000000100e+00	1.000000000000000000e-03
1.400000000000000000e+01	2.030040000000000000e+03	5.412099999999999800e-04	1.587000000000000000e+00	4.000000000000000100e-03
1.500000000000000000e+01	2.028119999999999900e+03	2.227400000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	2.035579999999999900e+03	2.152800000000000100e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	2.030599999999999900e+03	1.015600000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	2.034700000000000000e+03	1.091700000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	2.027030000000000000e+03	3.092999999999999800e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	2.033650000000000100e+03	3.066199999999999800e-03	4.430560579347373500e-01	2.468592066058375700e-03
2.100000000000000000e+01	2.027650000000000100e+03	2.436100000000000100e-03	6.479378599028348100e-01	8.359255885819992800e-04
2.200000000000000000e+01	2.033640000000000100e+03	2.359500000000000100e-03	6.534261628124851100e-01	2.402811279307896200e-03
2.300000000000000000e+01	2.028319999999999900e+03	2.359000000000000000e-03	6.667835059603078900e-01	7.608055890428526100e-04
2.400000000000000000e+01	2.033890000000000100e+03	2.344199999999999800e-03	6.704744266705874300e-01	2.057866119610844900e-03
2.500000000000000000e+01	2.028109999999999900e+03	1.649300000000000000e-03	9.112415440646504100e-01	7.720374895454666000e-04
2.600000000000000000e+01	2.033690000000000100e+03	1.624599999999999900e-03	9.161271855280949100e-01	2.888425834665858200e-03
2.700000000000000000e+01	2.026700000000000000e+03	1.113600000000000000e-03	1.150465404116826700e+00	3.952637068295875200e-03
2.800000000000000000e+01	2.033859999999999900e+03	1.088999999999999900e-03	1.158600000503960100e+00	6.522906206909488000e-03
2.900000000000000000e+01	2.027000000000000000e+03	2.444700000000000200e-03	6.535795410546785300e-01	1.895826365273231800e-03
3.000000000000000000e+01	2.034190000000000100e+03	2.616199999999999900e-03	5.908360943667604300e-01	1.161601351813803400e-02
3.100000000000000000e+01	2.027520000000000000e+03	9.919200000000000800e-04	7.939977842866288200e-01	2.763752898948585200e-03
3.200000000000000000e+01	2.033500000000000000e+03	9.765799999999999000e-04	7.992382581951549300e-01	3.338840729685435800e-03
3.300000000000000000e+01	2.027000000000000000e+03	9.213199999999999900e-04	8.134000474966846000e-01	1.649463920672468500e-03
3.400000000000000000e+01	2.034089999999999900e+03	4.411499999999999600e-03	6.678921366200864000e-01	5.717469323742494800e-03
3.500000000000000000e+01	2.027990000000000000e+03	5.952700000000000000e-03	6.866794808667021600e-01	9.910669693282822200e-04
3.600000000000000000e+01	2.033400000000000100e+03	2.258099999999999900e-03	6.904897887051250100e-01	1.988582787966902700e-03
3.700000000000000000e+01	2.027450000000000000e+03	2.832200000000000000e-03	5.065215678302788000e-01	1.020518139336830900e-03
3.800000000000000000e+01	2.033960000000000000e+03	2.853899999999999900e-03	5.083286236761263000e-01	7.583556756002456100e-04
3.900000000000000000e+01	2.027510000000000000e+03	2.751200000000000100e-03	5.359614016985421200e-01	1.116988569907252600e-03
4.000000000000000000e+01	2.033520000000000000e+03	2.728800000000000000e-03	5.379662271858989300e-01	1.117108354677940100e-03
4.100000000000000000e+01	2.027550000000000000e+03	2.664600000000000000e-03	5.706672313973771800e-01	2.580201797028744100e-03
4.200000000000000000e+01	2.035260000000000000e+03	2.636599999999999800e-03	5.837428339437585900e-01	8.055574758386255900e-03
4.300000000000000000e+01	2.027700000000000000e+03	2.379699999999999800e-03	6.628017642022319100e-01	3.643933714059253800e-03
4.400000000000000000e+01	2.033380000000000100e+03	2.393100000000000000e-03	6.662421788864698600e-01	1.138412815060495500e-03
