Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	2.602440000000000100e+03	8.972799999999999500e-03	3.490570749801976700e-01	2.347839079192191000e-03
2.000000000000000000e+00	2.611090000000000100e+03	8.964400000000000800e-03	3.509652695218146200e-01	1.175125834301940900e-03
3.000000000000000000e+00	2.602309999999999900e+03	9.022900000000000400e-03	3.628398291744403000e-01	1.392298728594358800e-03
4.000000000000000000e+00	2.611710000000000000e+03	8.899700000000000000e-03	3.639729312868331100e-01	1.093709875338751100e-03
5.000000000000000000e+00	2.602239999999999800e+03	8.585499999999999400e-03	5.084294794851954600e-01	2.344135798680459700e-03
6.000000000000000000e+00	2.611290000000000000e+03	8.484099999999999600e-03	5.106387299615979800e-01	1.691895361592936000e-03
7.000000000000000000e+00	2.602239999999999800e+03	7.371299999999999900e-03	7.320346567844898700e-01	9.950883049848343500e-04
8.000000000000000000e+00	2.611110000000000100e+03	7.284399999999999900e-03	7.360525003449489600e-01	2.258290779307839700e-03
9.000000000000000000e+00	2.601989999999999800e+03	5.870600000000000100e-03	9.951806154699751600e-01	1.971496880221117000e-03
1.000000000000000000e+01	2.610929999999999800e+03	5.823499999999999700e-03	1.006920042825401500e+00	6.147757591029547600e-03
1.100000000000000000e+01	2.601590000000000100e+03	4.650200000000000200e-03	1.266036914121047000e+00	2.523128338927393000e-03
1.200000000000000000e+01	2.610420000000000100e+03	4.595799999999999700e-03	1.274510627245381000e+00	3.918683642030038600e-03
1.300000000000000000e+01	2.601550000000000200e+03	3.869099999999999900e-03	1.458789996450986300e+00	8.213871416942153700e-03
1.400000000000000000e+01	2.610239999999999800e+03	3.742000000000000100e-03	1.467548016323659400e+00	4.712439392649948700e-03
1.500000000000000000e+01	2.601400000000000100e+03	3.821300000000000100e-03	1.467629387042273900e+00	9.079944918788515300e-03
1.600000000000000000e+01	2.610300000000000200e+03	3.703100000000000000e-03	1.475010162685629600e+00	6.765423349194854000e-03
1.700000000000000000e+01	2.601349999999999900e+03	3.870900000000000000e-03	1.462496714927370000e+00	7.664870909464005700e-03
1.800000000000000000e+01	2.610179999999999800e+03	3.831100000000000000e-03	1.474038804951531400e+00	4.250204799324988600e-03
1.900000000000000000e+01	2.600400000000000100e+03	3.065000000000000000e-03	1.712000000000000000e+00	2.000000000000000000e-02
2.000000000000000000e+01	2.609360000000000100e+03	3.040000000000000200e-03	1.597000000000000000e+00	1.400000000000000000e-02
2.100000000000000000e+01	2.600469999999999800e+03	3.160300000000000000e-03	1.622000000000000100e+00	8.000000000000000200e-03
2.200000000000000000e+01	2.609420000000000100e+03	3.125499999999999800e-03	1.570000000000000100e+00	2.000000000000000000e-03
2.300000000000000000e+01	2.600070000000000200e+03	2.609100000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	2.608559999999999900e+03	2.545599999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	2.599130000000000100e+03	2.017900000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	2.604199999999999800e+03	2.432500000000000200e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	2.601579999999999900e+03	1.423800000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	2.608170000000000100e+03	1.367800000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	2.596570000000000200e+03	1.293600000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+01	2.602469999999999800e+03	1.173900000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.100000000000000000e+01	2.586730000000000000e+03	9.924599999999999100e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000000000e+01	2.603550000000000200e+03	1.178599999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
3.300000000000000000e+01	2.586260000000000200e+03	1.099399999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
