Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	1.367660000000000100e+03	4.734300000000000300e-03	3.490570749801976700e-01	2.347839079192191000e-03
2.000000000000000000e+00	1.372359999999999900e+03	4.622099999999999600e-03	3.509652695218146200e-01	1.175125834301940900e-03
3.000000000000000000e+00	1.367980000000000000e+03	4.749800000000000200e-03	3.628398291744403000e-01	1.392298728594358800e-03
4.000000000000000000e+00	1.372559999999999900e+03	4.743100000000000100e-03	3.639729312868331100e-01	1.093709875338751100e-03
5.000000000000000000e+00	1.367890000000000100e+03	4.486399999999999800e-03	5.084294794851954600e-01	2.344135798680459700e-03
6.000000000000000000e+00	1.372030000000000000e+03	4.374200000000000000e-03	5.106387299615979800e-01	1.691895361592936000e-03
7.000000000000000000e+00	1.367730000000000000e+03	3.805799999999999800e-03	7.320346567844898700e-01	9.950883049848343500e-04
8.000000000000000000e+00	1.372339999999999900e+03	3.709500000000000100e-03	7.360525003449489600e-01	2.258290779307839700e-03
9.000000000000000000e+00	1.366890000000000100e+03	2.976200000000000000e-03	9.951806154699751600e-01	1.971496880221117000e-03
1.000000000000000000e+01	1.372059999999999900e+03	2.813899999999999800e-03	1.006920042825401500e+00	6.147757591029547600e-03
1.100000000000000000e+01	1.367329999999999900e+03	2.244100000000000200e-03	1.266036914121047000e+00	2.523128338927393000e-03
1.200000000000000000e+01	1.372460000000000000e+03	2.279300000000000200e-03	1.274510627245381000e+00	3.918683642030038600e-03
1.300000000000000000e+01	1.366510000000000000e+03	1.867800000000000000e-03	1.458789996450986300e+00	8.213871416942153700e-03
1.400000000000000000e+01	1.371970000000000000e+03	1.828299999999999900e-03	1.467548016323659400e+00	4.712439392649948700e-03
1.500000000000000000e+01	1.367369999999999900e+03	1.831400000000000000e-03	1.467629387042273900e+00	9.079944918788515300e-03
1.600000000000000000e+01	1.372059999999999900e+03	1.751800000000000000e-03	1.475010162685629600e+00	6.765423349194854000e-03
1.700000000000000000e+01	1.367460000000000000e+03	1.825599999999999900e-03	1.462496714927370000e+00	7.664870909464005700e-03
1.800000000000000000e+01	1.372530000000000000e+03	1.767700000000000100e-03	1.474038804951531400e+00	4.250204799324988600e-03
1.900000000000000000e+01	1.367650000000000100e+03	1.369400000000000000e-03	1.712000000000000000e+00	2.000000000000000000e-02
2.000000000000000000e+01	1.372020000000000000e+03	1.384500000000000100e-03	1.597000000000000000e+00	1.400000000000000000e-02
2.100000000000000000e+01	1.366050000000000000e+03	1.450500000000000000e-03	1.622000000000000100e+00	8.000000000000000200e-03
2.200000000000000000e+01	1.370540000000000000e+03	1.453700000000000000e-03	1.570000000000000100e+00	2.000000000000000000e-03
2.300000000000000000e+01	1.367059999999999900e+03	1.204999999999999900e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	1.370960000000000000e+03	1.162400000000000100e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	1.377619999999999900e+03	9.627099999999999800e-04	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	1.380000000000000000e+03	6.199999999999999800e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	1.384000000000000000e+03	6.615800000000000500e-04	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	1.382020000000000000e+03	1.195200000000000000e-03	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	1.370940000000000100e+03	8.411399999999999900e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+01	1.380339999999999900e+03	4.594700000000000200e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.200000000000000000e+01	1.389920000000000100e+03	4.076800000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
3.400000000000000000e+01	1.399300000000000000e+03	4.122500000000000200e-04	0.000000000000000000e+00	0.000000000000000000e+00
