Run	FFreq	FAmp	TRuox	TCx
1.000000000000000000e+00	9.174700000000000300e+02	1.656200000000000000e-03	3.490570749801976700e-01	2.347839079192191000e-03
2.000000000000000000e+00	9.205599999999999500e+02	1.657099999999999900e-03	3.509652695218146200e-01	1.175125834301940900e-03
3.000000000000000000e+00	9.172400000000000100e+02	1.724099999999999900e-03	3.628398291744403000e-01	1.392298728594358800e-03
4.000000000000000000e+00	9.199500000000000500e+02	1.655599999999999900e-03	3.639729312868331100e-01	1.093709875338751100e-03
5.000000000000000000e+00	9.175599999999999500e+02	1.541700000000000000e-03	5.084294794851954600e-01	2.344135798680459700e-03
6.000000000000000000e+00	9.203600000000000100e+02	1.567700000000000000e-03	5.106387299615979800e-01	1.691895361592936000e-03
7.000000000000000000e+00	9.197599999999999900e+02	1.258500000000000100e-03	7.320346567844898700e-01	9.950883049848343500e-04
8.000000000000000000e+00	9.207500000000000000e+02	1.240500000000000100e-03	7.360525003449489600e-01	2.258290779307839700e-03
9.000000000000000000e+00	9.221000000000000200e+02	8.534900000000000400e-04	9.951806154699751600e-01	1.971496880221117000e-03
1.000000000000000000e+01	9.265900000000000300e+02	8.554800000000000400e-04	1.006920042825401500e+00	6.147757591029547600e-03
1.100000000000000000e+01	9.248899999999999900e+02	7.129700000000000500e-04	1.266036914121047000e+00	2.523128338927393000e-03
1.200000000000000000e+01	9.283400000000000300e+02	6.110000000000000000e-04	1.274510627245381000e+00	3.918683642030038600e-03
1.300000000000000000e+01	9.266300000000000000e+02	4.602499999999999900e-04	1.458789996450986300e+00	8.213871416942153700e-03
1.400000000000000000e+01	9.327000000000000500e+02	4.719999999999999800e-04	1.467548016323659400e+00	4.712439392649948700e-03
1.500000000000000000e+01	9.261399999999999900e+02	4.220100000000000100e-04	1.467629387042273900e+00	9.079944918788515300e-03
1.600000000000000000e+01	9.278800000000000000e+02	4.445900000000000200e-04	1.475010162685629600e+00	6.765423349194854000e-03
1.700000000000000000e+01	9.272899999999999600e+02	4.730700000000000200e-04	1.462496714927370000e+00	7.664870909464005700e-03
1.800000000000000000e+01	9.272500000000000000e+02	4.949000000000000500e-04	1.474038804951531400e+00	4.250204799324988600e-03
1.900000000000000000e+01	9.325099999999999900e+02	3.254099999999999900e-04	1.712000000000000000e+00	2.000000000000000000e-02
2.000000000000000000e+01	9.331100000000000100e+02	3.715699999999999900e-04	1.597000000000000000e+00	1.400000000000000000e-02
2.100000000000000000e+01	9.337300000000000200e+02	3.540099999999999800e-04	1.622000000000000100e+00	8.000000000000000200e-03
2.200000000000000000e+01	9.341300000000000000e+02	3.744800000000000100e-04	1.570000000000000100e+00	2.000000000000000000e-03
2.300000000000000000e+01	9.320599999999999500e+02	2.969200000000000000e-04	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	9.334900000000000100e+02	2.877800000000000100e-04	0.000000000000000000e+00	0.000000000000000000e+00
