Field	T\dRuOx\n	T\dCernox\n	T\dRuOx\n Corrected	T\dCernox\n Corrected
1.802250000000000100e+01	1.188299999999999900e+00	1.543199999999999900e+00	1.392228722572326700e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.188499999999999900e+00	1.543299999999999900e+00	1.392485737800598100e+00	1.404471397399902300e+00
1.802250000000000100e+01	1.186800000000000100e+00	1.543199999999999900e+00	1.390453457832336400e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.186600000000000100e+00	1.543099999999999900e+00	1.390240669250488300e+00	1.404113292694091800e+00
1.802250000000000100e+01	1.185800000000000000e+00	1.543199999999999900e+00	1.389305949211120600e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.186900000000000100e+00	1.542999999999999900e+00	1.390574693679809600e+00	1.404019355773925800e+00
1.802250000000000100e+01	1.188099999999999900e+00	1.543099999999999900e+00	1.391991376876831100e+00	1.404113292694091800e+00
1.802250000000000100e+01	1.189999999999999900e+00	1.543099999999999900e+00	1.394181489944458000e+00	1.404113292694091800e+00
1.802250000000000100e+01	1.187000000000000100e+00	1.543199999999999900e+00	1.390680909156799300e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.187500000000000000e+00	1.543199999999999900e+00	1.391288757324218700e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.187600000000000000e+00	1.543299999999999900e+00	1.391404390335083000e+00	1.404471397399902300e+00
1.802250000000000100e+01	1.187300000000000000e+00	1.543199999999999900e+00	1.391054511070251500e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.187700000000000000e+00	1.543199999999999900e+00	1.391539692878723100e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.187400000000000000e+00	1.543199999999999900e+00	1.391184449195861800e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.188900000000000100e+00	1.543199999999999900e+00	1.392920732498168900e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.187800000000000000e+00	1.543199999999999900e+00	1.391629815101623500e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.188199999999999900e+00	1.543299999999999900e+00	1.392083883285522500e+00	1.404471397399902300e+00
1.802250000000000100e+01	1.185900000000000000e+00	1.543199999999999900e+00	1.389406442642211900e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.189999999999999900e+00	1.543199999999999900e+00	1.394181489944458000e+00	1.404374122619628900e+00
1.802250000000000100e+01	1.188600000000000100e+00	1.543299999999999900e+00	1.392579555511474600e+00	1.404471397399902300e+00
1.802250000000000100e+01	1.188700000000000100e+00	1.543299999999999900e+00	1.392703413963317900e+00	1.404471397399902300e+00
1.801940000000000100e+01	1.187800000000000000e+00	1.543199999999999900e+00	1.391688942909240700e+00	1.404112815856933600e+00
1.801579999999999900e+01	1.186700000000000100e+00	1.543099999999999900e+00	1.390355348587036100e+00	1.404101848602294900e+00
1.801210000000000000e+01	1.190499999999999900e+00	1.543199999999999900e+00	1.394812107086181600e+00	1.404168128967285200e+00
1.800850000000000200e+01	1.190199999999999900e+00	1.542999999999999900e+00	1.394462227821350100e+00	1.403995990753173800e+00
1.800489999999999900e+01	1.190099999999999900e+00	1.542999999999999900e+00	1.394350647926330600e+00	1.403758049011230500e+00
1.800120000000000100e+01	1.189200000000000000e+00	1.543099999999999900e+00	1.393335938453674300e+00	1.404054164886474600e+00
1.799759999999999800e+01	1.187500000000000000e+00	1.543099999999999900e+00	1.391322851181030300e+00	1.404192447662353500e+00
1.799390000000000000e+01	1.188700000000000100e+00	1.542899999999999900e+00	1.392732739448547400e+00	1.403667926788330100e+00
1.799020000000000200e+01	1.188600000000000100e+00	1.542999999999999900e+00	1.392607450485229500e+00	1.403893470764160200e+00
1.798659999999999900e+01	1.187200000000000000e+00	1.542999999999999900e+00	1.390963673591613800e+00	1.404083728790283200e+00
1.798290000000000100e+01	1.186800000000000100e+00	1.542799999999999900e+00	1.390512824058532700e+00	1.403914928436279300e+00
1.797919999999999900e+01	1.187600000000000000e+00	1.542999999999999900e+00	1.391443848609924300e+00	1.403944015502929700e+00
1.797560000000000000e+01	1.187200000000000000e+00	1.542899999999999900e+00	1.390966653823852500e+00	1.403910636901855500e+00
