12	& 1210	& $\alpha_1$	& 17.0	& 11.0	& 1.75	& 0.03 &	1100--1240\\
28	& 1269	& $\alpha_1$	& 17.0	& 11.0	& 1.72	& 0.02 &	1200--1310\\
46	& 1532	& $\alpha_1$	& 17.0	& 9.0	& 1.92	& 0.02 &	1430--1585\\
12	& 1372	& $\alpha_2$	& 17.0	& 8.0	& 1.57	& 0.01 &	1320--1440\\
28	& 1530	& $\alpha_2$	& 17.0	& 8.0	& 1.75	& 0.02 &	1450--1650\\
46	& 2017	& $\alpha_2$	& 16.8	& 10.5	& 2.55	& 0.11 &	1970--2100\\
28	& 1365	& $\alpha_3$	& 17.0	& 9.5	& 1.97	& 0.03 &	1320--1440\\
46	& 1930	& $\alpha_3$	& 17.0	& 10.7	& 2.75	& 0.24 &	1890--1970\\
12	& 2180	& $\beta_1$	& 17.0	& 8.0	& 1.63	& 0.02 &	2100--2270\\
12	& 2350	& $\beta_2$	& 17.0	& 9.0	& 1.57	& 0.03 &	2270--2450\\
28	& 2605	& $\beta_2$	& 17.0	& 8.5	& 1.81	& 0.02 &	2555--2670\\
46	& 3347	& $\beta_2$	& 17.3	& 10.0	& 2.86	& 0.08 &	3250--3370\\
46	& 3381	& $\beta_2$	& 17.3	& 10.0	& 2.78	& 0.32 &	3365--2500\\
28	& 2475	& $\beta_3$	& 17.0	& 8.0	& 1.59	& 0.02 &	2400--2560\\
46	& 2970	& $\beta_3$	& 17.0	& 8.5	& 1.86	& 0.01 &	2850--3100\\
12	& 1270	& $\delta$	& 17.0	& 12.0	& 1.71	& 0.01 &	1250--1310\\
46	& 1626	& $\delta$	& 17.0	& 10.5	& 2.17	& 0.15 &	1590--1690\\
28	& 912	& $\gamma_1$	& 16.8	& 11.3	& 2.17	& 0.18 &	850--970  \\
46	& 1320	& $\gamma_1$	& 16.8	& 11.3	& 2.00	& 0.37 &	1270--1370\\
46	& 4497	& $\gamma_2$	& 16.8	& 12.2	& 3.31	& 0.13 &	4400--4600\\

