Angle	Freq	Label	m*	m*_retro	alpha	Field lim	m*_micro mean	Field max	Field min	Filt. width	m_b	m*/m_b	m*_retro/m_b	m*_micro/m_b
12	1210	$\alpha_1$	1.49(2)	1.69	58.68	8	NA	NA	NA	NA	1.04	1.43	1.63	NA
12	1210	$\alpha_1$	1.71(3)	1.75	58.68	12	1.75(3)	17.0	11.0	1100--1240	1.04	1.64	1.68	1.68
28	1269	$\alpha_1$	1.64(2)	1.68	59.60	12	1.72(2)	17.0	11.0	1200--1310	0.90	1.83	1.88	1.92
46	1532	$\alpha_1$	1.86(3)	1.90	48.79	12	1.92(2)	17.0	9.0	1430--1585	1.00	1.86	1.90	1.92
12	1372	$\alpha_2$	1.54(2)	1.58	45.99	12	1.57(1)	17.0	8.0	1320--1440	0.84	1.83	1.88	1.86
28	1530	$\alpha_2$	1.69(2)	1.74	72.35	12	1.75(2)	17.0	8.0	1450--1650	0.93	1.81	1.87	1.88
46	2017	$\alpha_2$	2.49(5)	2.56	61.06	12	2.55(11)	16.8	10.5	1970--2100	1.83	1.36	1.40	1.40
28	1365	$\alpha_3$	1.85(3)	1.93	115.49	12	1.97(3)	17.0	9.5	1320--1440	1.18	1.56	1.63	1.67
46	1930	$\alpha_3$	2.87(7)	3.04	149.39	12	2.75(24)	17.0	10.7	1890--1970	1.00	2.87	3.04	2.75
12	2180	$\beta_1$	1.61(2)	1.65	51.12	12	1.63(2)	17.0	8.0	2100--2270	0.98	1.64	1.68	1.66
12	2350	$\beta_2$	1.56(3)	1.62	102.36	12	1.57(3)	17.0	9.0	2270--2450	0.86	1.81	1.88	1.82
28	2605	$\beta_2$	1.30(2)	1.87	102.36	6	1.81(2)	17.0	8.5	2555--2670	1.03	1.68	1.71	1.76
46	3347	$\beta_2$	1.73(2)	1.76	34.08	12	2.86(8)	17.3	10.0	3250--3370	1.80	1.44	1.50	1.59
46	3381	$\beta_2$	2.59(6)	2.69	94.57	12	2.78(32)	17.3	10.0	3365--2500	1.80	0.88	0.90	1.55
28	2475	$\beta_3$	1.58(2)	1.61	48.81	12	1.59(2)	17.0	8.0	2400--2560	0.93	1.95	2.00	1.71
46	2970	$\beta_3$	1.82(3)	1.86	40.03	12	1.86(1)	17.0	8.5	2850--3100	1.03	2.07	2.15	1.80
28	912	$\gamma_1$	2.13(5)	2.22	104.38	12	2.17(18)	16.8	11.3	850--970  	-1.49	-1.03	-1.10	-1.46
46	1320	$\gamma_1$	2.19(3)	2.30	129.82	12	2.00(37)	16.8	11.3	1270--1370	-2.04	-0.91	-0.95	-0.98
46	4497	$\gamma_2$	3.31(8)	3.32	91.06	16	3.31(13)	16.8	12.2	4400--4600	-1.89	-1.17	-1.23	-1.75
12	1270	$\delta$	1.54(2)	1.64	173.00	12	1.71(1)	17.0	12.0	1250--1310	-0.91	-2.41	-2.53	-1.88
28	1370	$\delta$	1.85(3)	1.93	115.49	12	NA	NA	NA	NA	-0.98	-1.89	-1.97	NA
46	1626	$\delta$	2.22(4)	2.33	126.02	12	2.17(15)	17.0	10.5	1590--1690	-1.10	-3.00	-3.01	-1.96
